PLAYER_NAME,POSITION,TEAM,RATING,GP,TOP5,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Julius Randle,C-F,NYK,87,8,4.0,30.0,9.0,6.88,1.5,0.25,4.0,60.36,0.6
Nikola Jokic,C,DEN,95,8,5.0,25.88,11.38,8.75,0.75,0.75,3.25,63.9,0.57
Luka Doncic,F-G,DAL,94,8,0.0,29.5,7.0,8.62,1.25,0.88,3.88,53.34,0.57
Zion Williamson,F,NOP,90,8,2.0,30.12,8.38,4.25,0.62,0.75,3.38,51.3,0.53
Karl-Anthony Towns,C-F,MIN,88,6,6.0,24.83,9.67,6.0,0.33,1.17,3.5,58.43,0.53
Pascal Siakam,F,TOR,83,5,2.0,24.0,6.8,5.4,0.8,1.4,3.2,47.66,0.53
Malcolm Brogdon,G,IND,84,8,2.0,23.0,7.62,6.5,0.5,0.38,1.62,46.9,0.51
Brandon Ingram,F,NOP,85,8,2.0,26.88,4.88,5.5,1.12,0.38,3.0,46.48,0.5
Jimmy Butler,F,MIA,91,6,1.0,19.67,5.0,8.0,2.67,0.67,2.17,47.5,0.5
Giannis Antetokounmpo,F,MIL,96,4,1.0,25.75,10.0,4.5,1.5,0.5,2.75,49.75,0.5
Nikola Vucevic,C,CHI,87,8,2.0,21.12,9.62,3.5,1.38,0.88,1.5,47.18,0.5
Caris LeVert,G,IND,83,8,3.0,22.38,5.12,3.25,1.75,1.25,2.12,46.28,0.49
Rudy Gobert,C,UTA,88,7,1.0,13.57,15.43,1.43,0.57,2.57,1.29,44.37,0.48
Khris Middleton,F,MIL,85,7,0.0,19.71,6.57,6.0,1.29,0.14,2.0,38.89,0.46
Michael Porter Jr.,F,DEN,84,8,1.0,22.25,7.75,1.12,0.5,1.0,1.12,38.61,0.44
Bam Adebayo,C-F,MIA,88,7,2.0,18.71,7.0,4.0,2.14,0.71,3.86,41.83,0.43
Joe Ingles,F-G,UTA,81,7,1.0,17.71,4.43,6.29,0.86,0.29,1.71,36.17,0.42
John Wall,G,HOU,82,7,2.0,20.86,2.57,7.29,0.71,0.71,4.57,38.59,0.42
Kyle Lowry,G,TOR,83,2,0.0,16.5,7.0,5.5,1.5,0.0,3.0,34.65,0.42
Kelly Olynyk,C-F,HOU,78,8,1.0,18.62,8.38,1.75,1.25,0.25,2.88,34.92,0.42
Derrick White,G,SAS,77,8,0.0,17.25,3.62,4.62,0.5,1.0,0.88,32.16,0.42
Dejounte Murray,G,SAS,82,7,0.0,14.57,6.86,5.57,1.43,0.14,1.71,34.16,0.42
Anthony Edwards,G,MIN,81,8,1.0,21.12,4.12,3.12,1.5,0.25,1.88,36.14,0.42
Jae'Sean Tate,F,HOU,78,8,0.0,11.12,5.75,4.25,2.25,0.62,1.38,31.65,0.41
Mike Conley,G,UTA,84,6,0.0,14.5,3.0,9.0,1.17,0.33,1.83,34.27,0.41
Nerlens Noel,C-F,NYK,78,7,0.0,7.43,9.71,1.29,1.0,2.86,0.57,32.01,0.41
Jakob Poeltl,C,SAS,78,7,1.0,11.43,8.29,1.57,0.57,2.86,1.71,34.3,0.41
Jrue Holiday,G,MIL,87,7,2.0,16.71,4.29,6.71,1.43,0.57,2.14,39.79,0.41
