PLAYER_NAME,POSITION,TEAM,RATING,TOP5,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Russell Westbrook,G,WAS,88,9.0,22.4,10.3,10.4,1.5,0.4,4.8,69.25999999999999,0.58
Nikola Jokic,C,DEN,95,5.0,26.8,10.7,8.3,1.5,0.7,3.3,65.39,0.58
Karl-Anthony Towns,C-F,MIN,88,6.0,24.4,10.5,4.2,0.7,1.4,3.1,58.5,0.53
Paul George,F,LAC,90,5.0,26.8,6.8,6.4,1.3,0.6,3.7,56.56,0.52
Nikola Vucevic,C,CHI,87,2.0,23.8,10.7,3.4,0.9,0.8,1.8,49.04,0.52
Julius Randle,C-F,NYK,87,4.0,23.3,10.3,5.6,0.9,0.3,3.4,52.26,0.51
Jimmy Butler,F,MIA,91,1.0,22.3,6.6,7.1,2.0,0.4,2.2,47.87,0.5
Bradley Beal,G,WAS,90,0.0,29.2,4.8,4.9,1.2,0.3,3.3,43.51,0.48
Bam Adebayo,C-F,MIA,88,2.0,18.7,9.2,5.1,1.2,1.4,2.8,46.39,0.48
Rudy Gobert,C,UTA,88,1.0,14.8,13.8,1.4,0.5,2.7,1.8,43.26,0.47
Pascal Siakam,F,TOR,83,2.0,20.7,6.9,4.3,1.1,0.7,2.2,42.63,0.47
Zion Williamson,F,NOP,90,2.0,25.1,7.1,3.6,0.9,0.7,2.7,45.12,0.46
Brandon Ingram,F,NOP,85,2.0,24.2,5.0,4.9,0.8,0.6,2.5,43.25,0.46
Fred VanVleet,G,TOR,84,2.0,19.7,4.1,6.0,1.6,0.7,2.0,42.52,0.46
Andre Drummond,C,LAL,83,0.0,15.1,11.9,2.4,1.5,1.0,2.9,37.58,0.45
Clint Capela,C,ATL,86,5.0,14.7,12.8,0.9,0.7,2.0,1.2,48.31,0.45
Jonas Valanciunas,C,MEM,83,2.0,17.4,12.5,1.9,0.6,0.8,1.8,41.65,0.45
DeMar DeRozan,F-G,SAS,87,1.0,21.0,4.4,7.0,1.0,0.2,2.0,40.38,0.44
Kyle Lowry,G,TOR,83,0.0,17.5,5.1,7.2,1.2,0.2,2.8,35.82,0.43
Jarrett Allen,C,CLE,84,1.0,14.3,10.9,1.8,0.6,1.8,1.8,37.48,0.42
Devin Booker,G,PHX,89,3.0,25.3,4.1,4.6,0.8,0.3,3.2,43.22,0.42
Chris Paul,G,PHX,88,1.0,16.1,4.4,8.3,1.6,0.2,2.2,39.03,0.42
Dejounte Murray,G,SAS,82,0.0,15.8,6.2,5.0,1.6,0.2,1.9,34.24,0.42
Jerami Grant,F,DET,83,0.0,21.7,4.7,2.6,0.7,0.9,2.0,34.04,0.41
Jakob Poeltl,C,SAS,78,1.0,10.0,10.4,1.9,0.8,1.9,1.7,33.730000000000004,0.41
OG Anunoby,F,TOR,79,0.0,16.2,6.2,2.2,1.7,0.8,1.9,32.54,0.41
Mike Conley,G,UTA,84,0.0,17.5,3.6,6.2,1.5,0.2,2.1,34.12,0.41
Jaren Jackson Jr.,C-F,MEM,83,0.0,14.3,7.7,0.2,0.1,3.4,0.4,33.94,0.41
Kevin Love,C-F,CLE,80,0.0,16.3,8.5,2.8,0.8,0.1,1.8,31.6,0.4
Richaun Holmes,C-F,SAC,82,1.0,13.8,9.1,1.6,0.6,1.6,1.3,34.42,0.4
Ja Morant,G,MEM,85,2.0,18.5,3.7,7.2,0.8,0.2,3.0,37.74,0.4
Wendell Carter Jr.,C-F,ORL,82,0.0,13.4,9.7,2.2,0.8,1.0,1.9,31.84,0.39
Lonzo Ball,G,NOP,80,2.0,14.3,4.0,5.6,1.4,0.6,2.0,35.5,0.39
Darius Garland,G,CLE,79,1.0,17.3,2.7,6.1,1.2,0.1,3.0,32.59,0.39
John Collins,C-F,ATL,85,1.0,17.8,7.2,1.3,0.6,1.1,1.2,34.29,0.38
RJ Barrett,F-G,NYK,80,1.0,17.2,5.8,3.0,0.9,0.3,2.0,32.260000000000005,0.38
D'Angelo Russell,G,MIN,83,0.0,19.1,2.8,4.9,1.1,0.4,2.8,31.51,0.38
Michael Porter Jr.,F,DEN,84,2.0,17.3,7.8,1.1,0.6,0.9,1.2,35.61,0.38
Kyle Anderson,F-G,MEM,81,0.0,12.7,5.9,3.3,1.3,0.8,1.4,29.63,0.37
Deandre Ayton,C,PHX,84,0.0,14.1,10.3,1.2,0.5,1.1,1.6,31.46,0.37
Anthony Edwards,G,MIN,81,2.0,17.9,4.4,2.8,1.1,0.4,2.2,33.68,0.37
Harrison Barnes,F,SAC,80,0.0,15.4,6.0,3.5,0.7,0.2,1.5,29.05,0.36
Derrick White,G,SAS,77,0.0,15.2,3.0,3.2,0.8,0.9,1.4,27.3,0.35
Ivica Zubac,C,LAC,79,0.0,11.2,9.2,1.3,0.4,1.2,1.4,27.59,0.35
Buddy Hield,G,SAC,77,0.0,16.3,4.4,2.7,0.8,0.3,1.7,27.23,0.35
Kyle Kuzma,F,LAL,77,0.0,13.4,6.9,1.7,0.5,0.8,1.9,26.23,0.34
Reggie Jackson,G,LAC,77,0.0,14.0,3.6,4.2,0.8,0.1,1.5,25.82,0.34
Tyrese Haliburton,G,SAC,82,0.0,13.1,3.1,4.6,1.3,0.5,1.5,27.62,0.34
Aaron Gordon,F,DEN,80,0.0,13.1,5.4,3.6,0.7,0.6,2.0,26.88,0.34
Mason Plumlee,C-F,DET,81,1.0,9.5,8.4,3.1,0.8,0.8,1.7,29.33,0.34
Darius Bazley,F-G,OKC,76,0.0,12.7,7.2,1.6,0.5,0.6,2.1,24.94,0.33
Bojan Bogdanovic,F,UTA,76,0.0,16.2,4.2,1.9,0.7,0.1,1.5,24.99,0.33
Coby White,G,CHI,76,0.0,14.2,3.8,4.2,0.6,0.2,2.2,25.26,0.33
Nerlens Noel,C-F,NYK,78,0.0,6.6,7.3,1.0,1.1,2.2,1.3,25.46,0.33
Dillon Brooks,F-G,MEM,76,0.0,15.9,3.0,2.3,1.1,0.3,1.8,25.35,0.33
Naji Marshall,F,NOP,68,1.0,8.5,4.9,2.9,0.9,0.5,1.0,23.93,0.32
Bogdan Bogdanovic,G,ATL,79,4.0,14.6,3.7,2.9,0.8,0.3,1.1,33.59,0.32
Goran Dragic,G,MIA,78,0.0,14.0,3.6,4.5,0.7,0.2,2.6,25.17,0.32
Chuma Okeke,F,ORL,76,0.0,9.6,5.0,2.6,1.2,0.7,1.2,24.0,0.32
Larry Nance Jr.,C-F,CLE,77,0.0,8.5,5.9,2.6,1.8,0.4,1.4,24.68,0.32
Ricky Rubio,G,MIN,76,0.0,8.3,3.1,6.3,1.4,0.1,1.8,24.17,0.32
Tony Bradley,C-F,OKC,76,0.0,9.7,8.0,1.2,0.5,1.0,1.0,24.6,0.32
Derrick Rose,G,NYK,81,0.0,13.8,2.5,4.2,1.1,0.5,1.7,26.2,0.32
Jordan Clarkson,G,UTA,82,0.0,16.2,3.5,2.1,0.9,0.1,1.5,25.05,0.31
Aleksej Pokusevski,C,OKC,73,0.0,9.7,5.9,2.1,0.5,1.1,2.3,22.43,0.31
Keldon Johnson,F-G,SAS,80,0.0,12.9,6.3,1.6,0.6,0.4,1.2,24.66,0.31
Cole Anthony,G,ORL,74,0.0,10.8,4.4,3.8,0.6,0.4,1.9,22.88,0.31
Drew Eubanks,C-F,SAS,75,0.0,8.2,6.6,1.4,0.6,1.4,1.2,23.02,0.31
Moses Brown,C,OKC,77,1.0,8.7,8.0,0.3,0.6,1.2,1.0,25.15,0.3
Theo Maledon,G,OKC,75,0.0,10.7,4.0,3.8,1.1,0.1,2.4,22.4,0.3
Daniel Gafford,C-F,WAS,78,0.0,8.8,6.4,0.8,0.6,1.8,1.2,23.68,0.3
