PLAYER_NAME,POSITION,TEAM,RATING,GP,PTS,REB,AST,TOV,STL,BLK,SCR,AVG
Russell Westbrook,G,WAS,86,5,27.2,7.8,11.4,4.6,1.6,0.2,54.46,0.63
Damian Lillard,G,POR,94,5,37.4,5.2,7.8,3.2,0.4,0.4,54.54,0.58
Julius Randle,C-F,NYK,87,5,22.4,12.6,7.8,3.8,1.0,0.4,49.62,0.57
Rudy Gobert,C,UTA,88,5,17.6,14.2,1.6,1.8,1.0,4.0,50.24,0.57
Nikola Vucevic,C,ORL,87,5,29.2,12.0,4.6,3.4,0.6,0.2,49.5,0.57
Anthony Edwards,G,MIN,77,5,26.0,5.0,2.2,2.8,1.6,0.0,37.3,0.48
RJ Barrett,F-G,NYK,79,5,23.0,5.6,3.6,1.6,1.0,0.2,37.12,0.47
Trae Young,G,ATL,87,5,24.8,3.0,8.6,3.8,0.8,0.2,40.5,0.47
Karl-Anthony Towns,C-F,MIN,89,5,21.6,9.2,4.6,4.0,0.6,1.4,41.54,0.47
Moses Brown,C,OKC,67,4,12.5,10.25,0.25,1.0,0.5,2.0,31.67,0.47
Kyle Kuzma,F,LAL,76,4,20.5,8.5,2.25,1.5,1.0,0.0,35.58,0.47
Danilo Gallinari,F,ATL,79,5,21.4,6.4,1.6,0.4,1.2,0.6,36.48,0.46
Shai Gilgeous-Alexander,F-G,OKC,87,4,29.0,2.5,5.0,4.25,0.75,0.5,39.0,0.45
Ricky Rubio,G,MIN,75,5,14.0,3.2,8.8,2.4,1.6,0.2,34.04,0.45
Montrezl Harrell,C-F,LAL,82,5,20.2,5.8,2.0,0.8,1.0,1.2,35.96,0.44
Donovan Mitchell,G,UTA,88,5,25.4,4.2,6.2,3.0,0.6,0.2,39.14,0.44
Gordon Hayward,F,CHA,85,5,16.2,5.4,5.4,1.8,2.4,0.2,36.78,0.43
Bradley Beal,G,WAS,90,4,26.5,4.25,4.0,2.5,1.0,0.25,38.85,0.43
Terry Rozier,G,CHA,82,5,22.4,3.0,3.2,1.2,1.8,0.0,35.0,0.43
Enes Kanter,C,POR,80,5,14.4,11.8,1.6,1.8,0.6,0.8,33.36,0.42
Devin Booker,G,PHX,88,5,23.0,4.2,6.4,3.6,0.8,0.2,37.04,0.42
Brandon Ingram,F,NOP,85,5,22.2,5.0,4.8,3.0,0.6,0.6,36.0,0.42
Al Horford,C-F,OKC,81,2,18.5,7.0,1.0,1.0,0.5,1.5,33.4,0.41
Zion Williamson,F,NOP,89,4,25.5,4.5,3.75,1.75,0.25,0.25,36.28,0.41
Robert Covington,F,POR,77,5,11.4,6.0,2.2,1.4,1.8,1.6,30.7,0.4
Rui Hachimura,F,WAS,77,5,17.6,6.6,1.2,1.2,1.6,0.0,30.92,0.4
