PLAYER_NAME,POSITION,TEAM,RATING,GP,PTS,REB,AST,TOV,STL,BLK,SCR,AVG
Russell Westbrook,G,WAS,86,5,25.4,10.2,13.0,5.6,1.6,0.4,55.54,0.65
Julius Randle,C-F,NYK,87,5,26.2,10.0,7.2,3.4,1.8,0.0,49.2,0.57
Tobias Harris,F,PHI,86,5,24.6,8.6,4.4,1.8,1.4,0.8,44.12,0.51
De'Aaron Fox,G,SAC,86,5,28.0,3.0,5.4,2.6,2.2,0.2,41.9,0.49
Kawhi Leonard,F,LAC,96,5,21.8,6.4,5.2,1.2,3.2,0.4,43.28,0.45
Bam Adebayo,C-F,MIA,88,5,18.8,9.4,5.0,2.0,0.8,1.4,39.98,0.45
Damian Lillard,G,POR,94,5,31.6,3.8,5.8,3.0,0.2,0.0,42.26,0.45
Richaun Holmes,C-F,SAC,81,5,17.2,9.2,1.6,0.6,0.8,1.8,35.24,0.44
RJ Barrett,F-G,NYK,79,5,19.4,7.2,3.6,2.2,0.6,0.6,33.64,0.43
Jimmy Butler,F,MIA,90,5,20.8,10.6,3.6,2.8,1.2,0.0,38.52,0.43
Bradley Beal,G,WAS,90,5,29.6,4.0,4.8,4.2,0.4,0.0,38.2,0.42
Ben Simmons,F-G,PHI,88,4,16.75,9.75,6.75,4.75,1.0,0.75,37.33,0.42
DeMar DeRozan,F-G,SAS,87,4,22.25,2.25,7.0,2.0,0.75,0.5,35.95,0.41
Jordan Poole,G,GSW,72,5,21.4,2.6,2.4,1.2,0.8,0.0,28.52,0.4
Andrew Wiggins,F-G,GSW,79,5,21.2,5.4,1.8,2.0,1.6,0.2,31.98,0.4
Montrezl Harrell,C-F,LAL,82,5,19.2,8.4,1.4,1.0,0.2,1.0,32.78,0.4
Alec Burks,G,NYK,77,5,18.4,4.8,2.2,1.0,1.2,0.6,30.06,0.39
Dennis Schroder,G,LAL,77,5,18.2,3.4,5.6,3.0,1.2,0.0,30.08,0.39
Harrison Barnes,F,SAC,80,5,12.6,9.2,4.8,1.4,0.2,0.2,30.24,0.38
Draymond Green,F,GSW,80,5,6.6,9.2,7.6,3.4,1.0,1.4,30.44,0.38
Paul George,F,LAC,90,5,17.8,5.6,6.0,2.6,0.8,0.4,33.32,0.37
Buddy Hield,G,SAC,77,5,19.2,4.8,2.8,2.0,0.2,0.6,28.76,0.37
Enes Kanter,C,POR,80,5,12.6,10.4,1.8,1.2,0.6,0.6,28.98,0.36
Ivica Zubac,C,LAC,79,5,13.0,8.0,1.8,1.4,1.2,1.0,28.3,0.36
Rui Hachimura,F,WAS,77,5,16.4,8.0,1.2,1.6,0.6,0.0,27.4,0.36
Keldon Johnson,F-G,SAS,80,5,13.6,7.6,2.2,0.6,0.4,1.0,28.22,0.35
Robert Covington,F,POR,77,5,9.8,7.4,1.0,1.0,2.2,1.4,26.38,0.34
Dwight Howard,C-F,PHI,79,5,8.0,13.2,0.6,2.2,0.4,1.2,25.74,0.33
Dejounte Murray,G,SAS,83,4,13.5,6.5,4.0,2.25,0.75,0.25,27.05,0.33
Jakob Poeltl,C,SAS,78,5,9.6,10.2,1.2,1.8,0.4,1.6,25.84,0.33
Reggie Bullock,F-G,NYK,73,5,13.4,4.0,2.0,1.2,1.8,0.2,24.0,0.33
Kyle Kuzma,F,LAL,76,5,13.0,5.8,3.6,2.2,0.6,0.2,24.76,0.33
Derrick White,G,SAS,79,5,14.8,3.6,3.4,1.8,0.2,1.2,25.22,0.32
Kelly Oubre Jr.,F-G,GSW,79,5,14.2,5.2,1.6,1.4,0.8,1.0,25.04,0.32
Tyrese Haliburton,G,SAC,83,5,15.4,2.8,4.6,2.0,1.0,0.6,26.86,0.32
Marcus Morris Sr.,F,LAC,78,5,15.4,4.6,1.6,0.4,0.6,0.2,24.52,0.31
