PLAYER_NAME,POSITION,TEAM,RATING,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Trevor Ariza,F,MIA,74,5.7,3.1,1.1,0.8,0.2,0.7,13.37,0.18
Garrison Mathews,G,WAS,75,7.8,2.1,0.6,0.6,0.2,0.2,13.42,0.18
Damion Lee,F-G,GSW,75,6.0,3.0,1.2,0.6,0.1,0.4,13.1,0.17
Eric Paschall,F,GSW,79,6.8,2.2,0.9,0.3,0.2,0.7,11.59,0.15
Reggie Jackson,G,LAC,77,5.9,1.6,2.0,0.4,0.1,0.8,11.52,0.15
Kendrick Nunn,G,MIA,77,6.4,1.5,1.3,0.5,0.1,0.8,11.15,0.14
Kent Bazemore,F-G,GSW,76,4.1,2.1,1.1,0.7,0.2,0.9,10.07,0.13
Rodney Hood,F-G,POR,73,5.0,1.4,1.0,0.3,0.1,0.9,8.48,0.12
Wesley Matthews,F-G,LAL,73,3.4,1.2,0.9,0.3,0.3,0.3,7.69,0.11
Terance Mann,F-G,LAC,72,2.9,2.2,0.7,0.2,0.2,0.5,7.29,0.1
Devin Vassell,F-G,SAS,76,2.8,1.4,0.4,0.4,0.1,0.2,6.38,0.08
Mike Scott,F,PHI,71,2.3,1.6,0.2,0.4,0.0,0.4,5.32,0.07
Taj Gibson,F,NYK,75,1.3,1.6,0.2,0.2,0.2,0.2,4.52,0.06
Tyrese Maxey,G,PHI,76,1.9,0.5,0.4,0.1,0.0,0.2,3.2,0.04
Drew Eubanks,C-F,SAS,71,0.8,0.8,0.2,0.0,0.2,0.1,2.56,0.04
Jordan Poole,G,GSW,72,2.0,0.3,0.3,0.1,0.0,0.2,2.91,0.04
Obi Toppin,F,NYK,76,0.9,0.5,0.1,0.1,0.1,0.1,2.15,0.03
Mychal Mulder,G,GSW,72,0.8,0.2,0.1,0.1,0.0,0.1,1.39,0.02
