PLAYER_NAME,position,team,rating
Nicolas Batum,"['G', 'F']",LAC,77
Amir Coffey,"['G', 'F']",LAC,69
Mfiondu Kabengele,"['F', 'C']",LAC,72
Terance Mann,"['G', 'F']",LAC,72
Daniel Oturu,['C'],LAC,71
Jay Scrubb,['G'],LAC,67
Udonis Haslem,['F'],MIA,70
Avery Bradley,['G'],MIA,76
Bam Adebayo,"['C', 'F']",MIA,88
Goran Dragic,['G'],MIA,80
Kelly Olynyk,"['F', 'C']",MIA,74
Jimmy Butler,['F'],MIA,90
Andre Iguodala,"['G', 'F']",MIA,73
Maurice Harkless,"['F', 'G']",MIA,72
Precious Achiuwa,['F'],MIA,78
Tyler Herro,['G'],MIA,80
Kendrick Nunn,['G'],MIA,77
KZ Okpala,"['F', 'G']",MIA,71
Duncan Robinson,['F'],MIA,75
Chris Silva,['F'],MIA,72
Max Strus,"['G', 'F']",MIA,72
Gabe Vincent,['G'],MIA,69
Jrue Holiday,['G'],MIL,86
Giannis Antetokounmpo,['F'],MIL,96
Pat Connaughton,"['G', 'F']",MIL,76
Brook Lopez,['C'],MIL,78
Khris Middleton,['F'],MIL,86
D.J. Augustin,['G'],MIL,73
Bryn Forbes,['G'],MIL,75
D.J. Wilson,['F'],MIL,70
Thanasis Antetokounmpo,['F'],MIL,70
Bobby Portis,['F'],MIL,80
Torrey Craig,['F'],MIL,75
Mamadi Diakite,['F'],MIL,68
Donte DiVincenzo,['G'],MIL,77
Sam Merrill,['G'],MIL,68
Jordan Nwora,['F'],MIL,70
Karl-Anthony Towns,"['C', 'F']",MIN,89
Jake Layman,['F'],MIN,74
Malik Beasley,['G'],MIN,81
Juancho Hernangomez,['F'],MIN,73
Ed Davis,"['C', 'F']",MIN,74
Ricky Rubio,['G'],MIN,75
D'Angelo Russell,['G'],MIN,83
Jarrett Culver,"['G', 'F']",MIN,73
Anthony Edwards,['G'],MIN,77
Jaden McDaniels,['F'],MIN,72
Jordan McLaughlin,['G'],MIN,73
Jaylen Nowell,['G'],MIN,74
Josh Okogie,['G'],MIN,73
Naz Reid,"['C', 'F']",MIN,78
Jarred Vanderbilt,['F'],MIN,76
Lonzo Ball,['G'],NOP,80
Brandon Ingram,['F'],NOP,85
Eric Bledsoe,['G'],NOP,78
Steven Adams,['C'],NOP,80
Willy Hernangomez,"['C', 'F']",NOP,76
Josh Hart,['G'],NOP,77
