PLAYER_NAME,POSITION,TEAM,RATING,TOP_TEN,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Nikola Jokic,C,DEN,95,2.0,26.7,10.7,8.0,1.6,0.6,3.2,58.94,0.58
Russell Westbrook,G,WAS,86,3.0,20.9,8.5,9.2,1.3,0.4,4.5,51.5,0.53
Trae Young,G,ATL,87,0.0,25.1,4.1,8.9,0.9,0.2,4.0,42.67,0.49
Kawhi Leonard,F,LAC,96,0.0,24.9,6.0,4.7,1.8,0.4,1.9,43.85,0.46
Ben Simmons,F-G,PHI,88,0.0,15.0,7.6,7.8,1.5,0.6,3.5,38.62,0.44
Tobias Harris,F,PHI,86,0.0,20.1,7.3,3.3,0.9,0.8,1.8,37.11,0.43
Chris Paul,G,PHX,88,0.0,16.3,4.7,8.4,1.4,0.3,2.4,37.24,0.42
Gordon Hayward,F,CHA,85,0.0,20.7,5.2,4.0,1.3,0.3,2.1,35.64,0.42
Jamal Murray,G,DEN,86,0.0,21.4,4.1,4.8,1.3,0.3,2.2,36.12,0.42
Clint Capela,C,ATL,86,0.0,13.4,12.5,0.9,0.7,2.0,1.3,36.55,0.42
Terry Rozier,G,CHA,82,0.0,20.3,3.7,3.2,1.4,0.3,2.0,32.64,0.4
Devin Booker,G,PHX,88,1.0,23.4,3.8,4.6,0.8,0.2,3.3,36.56,0.39
Michael Porter Jr.,F,DEN,82,0.0,16.4,7.5,1.1,0.8,1.0,1.2,31.25,0.38
Aaron Gordon,F,DEN,80,0.0,14.7,6.6,4.2,0.7,0.7,2.6,30.52,0.38
Deandre Ayton,C,PHX,84,0.0,14.5,10.8,1.4,0.3,1.0,1.8,31.66,0.38
John Collins,C-F,ATL,84,1.0,16.7,7.1,1.5,0.5,1.1,1.3,32.97,0.37
Dwight Howard,C-F,PHI,79,0.0,10.2,11.4,1.0,0.8,1.3,2.5,29.18,0.37
Devonte' Graham,G,CHA,78,0.0,14.4,2.8,5.0,1.0,0.1,1.5,27.06,0.35
Wendell Carter Jr.,C-F,ORL,80,0.0,11.8,8.5,2.3,0.6,0.8,1.6,28.05,0.35
Rui Hachimura,F,WAS,77,0.0,14.2,6.2,1.7,0.9,0.1,1.3,25.89,0.34
