PLAYER_NAME,POSITION,TEAM,RATING,GP,TOP5,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Russell Westbrook,G,WAS,88,12,13.0,22.08,13.75,12.67,1.75,0.17,4.67,84.67,0.67
Domantas Sabonis,C-F,IND,87,6,3.0,23.33,15.17,7.33,1.33,0.17,4.0,59.03,0.61
Julius Randle,C-F,NYK,87,12,4.0,30.58,8.17,5.33,1.17,0.25,3.33,57.3,0.57
Jayson Tatum,F-G,BOS,89,11,4.0,30.18,8.82,5.0,0.64,0.27,3.18,55.81,0.54
Giannis Antetokounmpo,F,MIL,96,10,4.0,27.3,10.0,4.6,1.5,0.9,2.7,58.7,0.53
DeMar DeRozan,F-G,SAS,87,9,3.0,24.33,4.44,8.56,1.0,0.33,2.0,50.5,0.51
Karl-Anthony Towns,C-F,MIN,88,10,6.0,24.5,10.1,4.9,0.6,0.8,3.4,56.77,0.51
Trae Young,G,ATL,87,7,2.0,25.71,3.43,9.0,1.29,0.0,4.0,47.19,0.5
Caris LeVert,G,IND,83,12,3.0,23.92,4.5,3.92,1.33,1.08,2.08,46.36,0.49
Collin Sexton,G,CLE,83,8,0.0,26.75,5.5,4.25,0.75,0.62,3.5,40.35,0.49
Clint Capela,C,ATL,86,11,5.0,15.27,15.91,0.73,0.73,1.45,0.64,51.36,0.48
Kelly Olynyk,C-F,HOU,78,12,3.0,19.08,8.75,3.42,1.67,0.33,3.08,43.62,0.48
Joel Embiid,C-F,PHI,95,11,0.0,27.64,9.73,2.45,0.82,1.09,2.91,45.81,0.48
Christian Wood,F,HOU,84,11,1.0,21.09,10.64,2.36,0.82,0.91,2.36,42.22,0.48
Bradley Beal,G,WAS,90,12,0.0,30.75,4.17,3.33,1.25,0.33,2.92,42.58,0.47
Jrue Holiday,G,MIL,87,12,3.0,18.42,4.75,7.42,1.67,0.67,2.25,45.99,0.46
Chris Paul,G,PHX,88,12,2.0,17.58,4.0,9.58,1.42,0.5,2.17,44.34,0.46
Dejounte Murray,G,SAS,82,10,2.0,15.7,8.6,6.2,1.4,0.1,2.1,41.72,0.46
Michael Porter Jr.,F,DEN,84,12,2.0,24.92,6.83,1.5,0.42,1.17,1.58,42.53,0.46
Rudy Gobert,C,UTA,88,11,2.0,14.09,13.64,1.0,0.73,2.82,1.91,44.68,0.46
Anthony Edwards,G,MIN,81,12,2.0,21.25,5.75,3.25,1.67,0.5,2.33,41.19,0.46
Kemba Walker,G,BOS,83,6,0.0,20.83,5.5,5.17,1.0,0.33,1.67,37.52,0.45
Khris Middleton,F,MIL,85,12,1.0,20.92,6.08,5.58,1.25,0.0,2.08,40.26,0.45
Ja Morant,G,MEM,85,12,2.0,19.92,5.5,6.75,1.08,0.25,3.08,41.56,0.44
Buddy Hield,G,SAC,77,11,0.0,17.36,5.36,3.73,1.09,0.91,1.73,33.66,0.44
