PLAYER_NAME,POSITION,TEAM,RATING,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Nikola Jokic,C,DEN,96,36.0,11.0,5.0,0.0,0.0,2.0,54.7,0.57
Damian Lillard,G,POR,94,37.0,2.0,5.0,2.0,0.0,1.0,51.9,0.55
Facundo Campazzo,G,DEN,74,11.0,8.0,8.0,2.0,1.0,3.0,38.6,0.52
Anthony Davis,C-F,LAL,94,34.0,11.0,0.0,1.0,1.0,5.0,48.2,0.51
Jusuf Nurkic,C,POR,82,13.0,13.0,6.0,0.0,1.0,1.0,39.6,0.48
Giannis Antetokounmpo,F,MIL,96,17.0,17.0,5.0,1.0,0.0,3.0,44.9,0.47
Deandre Ayton,C,PHX,85,22.0,11.0,0.0,1.0,2.0,4.0,40.2,0.47
CJ McCollum,G,POR,86,22.0,9.0,3.0,1.0,0.0,1.0,39.3,0.46
Cameron Payne,G,PHX,77,15.0,3.0,6.0,4.0,0.0,4.0,35.6,0.46
Jrue Holiday,G,MIL,86,19.0,3.0,12.0,0.0,0.0,2.0,38.6,0.45
Austin Rivers,G,DEN,74,21.0,4.0,2.0,0.0,1.0,0.0,31.8,0.43
Bam Adebayo,C-F,MIA,87,17.0,8.0,4.0,1.0,1.0,2.0,36.6,0.42
Jimmy Butler,F,MIA,92,19.0,8.0,6.0,1.0,0.0,2.0,38.6,0.42
Dennis Schroder,G,LAL,77,20.0,3.0,4.0,2.0,0.0,3.0,32.6,0.42
Khris Middleton,F,MIL,85,22.0,8.0,5.0,0.0,0.0,4.0,35.1,0.41
Norman Powell,G,POR,81,18.0,4.0,2.0,1.0,2.0,2.0,32.8,0.4
Robert Covington,F,POR,77,6.0,11.0,4.0,1.0,1.0,1.0,30.2,0.39
LeBron James,F-G,LAL,97,21.0,6.0,9.0,1.0,0.0,7.0,37.7,0.39
Jae Crowder,F,PHX,77,9.0,3.0,2.0,2.0,2.0,1.0,26.6,0.35
Nemanja Bjelica,F,MIA,75,14.0,4.0,2.0,1.0,0.0,0.0,24.8,0.33
Kyle Kuzma,F,LAL,77,8.0,10.0,3.0,0.0,0.0,0.0,24.5,0.32
Devin Booker,G,PHX,89,19.0,4.0,6.0,0.0,0.0,4.0,28.799999999999997,0.32
Goran Dragic,G,MIA,77,8.0,1.0,2.0,3.0,1.0,0.0,24.2,0.31
Aaron Gordon,F,DEN,79,13.0,4.0,3.0,0.0,0.0,0.0,22.3,0.28
Brook Lopez,C,MIL,79,13.0,5.0,0.0,0.0,2.0,3.0,22.0,0.28
Andre Drummond,C,LAL,83,6.0,11.0,0.0,1.0,1.0,2.0,23.2,0.28
Monte Morris,G,DEN,79,8.0,5.0,5.0,1.0,0.0,3.0,21.5,0.27
Carmelo Anthony,F,POR,79,17.0,2.0,0.0,1.0,0.0,1.0,21.4,0.27
Chris Paul,G,PHX,89,7.0,5.0,6.0,1.0,0.0,2.0,23.0,0.26
Michael Porter Jr.,F,DEN,85,15.0,5.0,1.0,1.0,0.0,3.0,22.5,0.26
Bobby Portis,F,MIL,81,11.0,9.0,0.0,0.0,0.0,1.0,20.799999999999997,0.26
Bryn Forbes,G,MIL,76,11.0,3.0,0.0,1.0,0.0,0.0,17.6,0.23
Torrey Craig,F,PHX,79,11.0,4.0,1.0,0.0,0.0,0.0,17.3,0.22
Alex Caruso,G,LAL,73,4.0,2.0,1.0,1.0,2.0,1.0,15.899999999999999,0.22
Kentavious Caldwell-Pope,G,LAL,75,5.0,4.0,0.0,2.0,0.0,0.0,15.8,0.21
Pat Connaughton,G,MIL,73,9.0,3.0,1.0,0.0,0.0,0.0,14.1,0.19
JaMychal Green,C-F,DEN,78,8.0,5.0,0.0,0.0,0.0,0.0,14.0,0.18
