PLAYER_NAME,POSITION,TEAM,RATING,GP,PTS,REB,AST,TOV,STL,BLK,SCR,AVG
Jimmy Butler,F,MIA,90,8,26.5,6.38,8.62,2.38,2.75,0.62,54.84,0.61
Julius Randle,C-F,NYK,87,10,23.1,11.5,6.3,3.6,1.2,0.4,47.55,0.55
Kenyon Martin Jr.,F,HOU,67,3,16.33,7.67,1.33,1.67,1.67,1.67,35.87,0.54
Victor Oladipo,G,HOU,81,6,24.33,5.17,5.0,2.5,1.67,0.5,42.03,0.52
Rudy Gobert,C,UTA,88,10,15.8,14.3,1.4,1.9,0.8,3.1,44.86,0.51
Damian Lillard,G,POR,94,10,30.1,4.5,8.4,3.8,0.8,0.3,47.6,0.51
Kevin Porter Jr.,F-G,HOU,75,3,17.0,3.33,8.33,3.33,1.33,1.0,37.17,0.5
Donovan Mitchell,G,UTA,88,10,26.2,5.5,6.3,3.2,1.4,0.2,43.85,0.5
Karl-Anthony Towns,C-F,MIN,89,10,21.9,10.5,4.6,3.8,0.7,1.5,44.2,0.5
Trae Young,G,ATL,87,10,25.7,4.6,9.0,4.4,0.8,0.2,43.32,0.5
LeBron James,F-G,LAL,97,9,25.11,7.22,7.89,4.0,1.33,0.78,47.94,0.49
Zion Williamson,F,NOP,89,9,27.22,7.78,4.11,2.89,0.44,0.67,43.17,0.49
Shai Gilgeous-Alexander,F-G,OKC,87,9,27.44,4.0,5.56,3.0,0.56,0.67,41.24,0.47
Jarrett Allen,C,CLE,84,10,15.3,12.6,1.8,1.3,0.5,1.9,39.02,0.46
Jayson Tatum,F-G,BOS,90,10,23.3,6.9,3.9,2.7,1.5,0.6,41.03,0.46
Zach LaVine,F-G,CHI,88,10,27.1,4.4,4.9,4.1,0.7,0.5,39.23,0.45
Collin Sexton,G,CLE,83,10,25.8,2.7,4.3,3.7,1.6,0.0,36.59,0.44
Brandon Ingram,F,NOP,85,10,24.0,4.7,4.7,2.1,0.5,0.4,37.29,0.44
Tobias Harris,F,PHI,86,8,18.38,6.88,4.62,1.38,0.88,0.75,37.06,0.43
Anthony Edwards,G,MIN,77,10,19.5,5.3,2.8,2.8,1.5,0.5,33.26,0.43
Enes Kanter,C,POR,80,10,13.6,13.8,1.5,1.0,0.4,0.6,34.41,0.43
