PLAYER_NAME,POSITION,TEAM,RATING,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Justin Patton,C,HOU,69,11.1,9.6,0.0,3.7,3.7,0.0,44.82,0.65
LeBron James,F-G,LAL,97,27.1,8.2,8.6,1.4,0.7,4.1,52.04,0.54
Jimmy Butler,F,MIA,90,22.1,7.2,8.1,2.0,0.4,2.4,47.69,0.53
Karl-Anthony Towns,C-F,MIN,89,23.3,10.8,3.8,0.8,1.8,3.2,46.56,0.52
Trae Young,G,ATL,87,26.6,4.3,9.4,0.8,0.3,4.3,44.86,0.52
Julius Randle,C-F,NYK,87,23.0,10.9,5.1,0.8,0.3,3.2,43.83,0.5
Damian Lillard,G,POR,94,28.9,4.2,7.5,1.1,0.3,3.0,46.39,0.49
Brandon Ingram,F,NOP,85,25.1,5.5,4.9,0.8,0.7,2.4,41.15,0.48
Zach LaVine,F-G,CHI,88,27.1,5.1,5.1,1.1,0.4,3.7,41.67,0.47
Zion Williamson,F,NOP,89,24.8,7.0,3.4,0.9,0.7,2.5,40.6,0.46
Victor Oladipo,G,HOU,81,20.0,5.2,4.7,1.5,0.5,2.3,36.99,0.46
Ben Simmons,F-G,PHI,88,15.7,7.8,7.6,1.6,0.6,3.3,39.76,0.45
Jayson Tatum,F-G,BOS,90,23.9,6.6,4.1,1.3,0.5,2.5,40.87,0.45
Donovan Mitchell,G,UTA,88,24.8,4.7,5.3,1.0,0.3,2.9,39.39,0.45
Shai Gilgeous-Alexander,F-G,OKC,87,22.6,5.1,5.8,0.9,0.6,2.9,39.02,0.45
Jaylen Brown,F-G,BOS,89,24.5,5.4,4.0,1.1,0.5,2.7,39.08,0.44
Enes Kanter,C,POR,80,14.4,12.9,1.2,0.6,1.0,1.4,35.08,0.44
Lonzo Ball,G,NOP,80,16.8,4.5,6.3,1.4,0.6,2.3,35.35,0.44
Tobias Harris,F,PHI,86,19.7,7.7,3.0,0.8,0.9,1.8,36.74,0.43
Rudy Gobert,C,UTA,88,13.3,12.4,1.2,0.5,2.4,1.6,37.08,0.42
Jarrett Allen,C,CLE,84,14.3,10.7,1.7,0.5,2.0,1.6,35.59,0.42
Thaddeus Young,F,CHI,80,13.5,6.4,4.8,1.5,0.7,2.3,32.68,0.41
Collin Sexton,G,CLE,83,22.9,2.9,4.1,1.1,0.1,2.8,33.33,0.4
Dennis Schroder,G,LAL,77,16.4,3.8,5.0,1.0,0.3,2.6,29.76,0.39
Marcus Smart,G,BOS,80,13.1,3.1,5.7,1.7,0.5,1.8,30.17,0.38
Kemba Walker,G,BOS,85,19.0,3.8,4.5,1.0,0.3,2.1,32.11,0.38
John Collins,C-F,ATL,84,17.3,7.5,1.4,0.4,1.1,1.3,31.6,0.38
Lauri Markkanen,C-F,CHI,83,20.1,6.6,1.0,0.7,0.4,1.8,31.02,0.37
Nerlens Noel,C-F,NYK,77,7.2,8.2,1.2,1.2,2.3,1.6,27.74,0.36
Anthony Edwards,G,MIN,77,16.3,4.4,2.6,1.1,0.4,2.1,27.88,0.36
Mike Conley,G,UTA,85,16.4,3.5,5.4,1.3,0.1,1.9,31.0,0.36
Kyle Kuzma,F,LAL,76,13.3,7.4,1.6,0.5,0.7,1.8,26.38,0.35
Darius Garland,G,CLE,77,15.0,2.4,5.6,1.1,0.1,2.8,27.08,0.35
Robert Covington,F,POR,77,9.2,6.9,1.8,1.7,1.1,1.3,27.28,0.35
RJ Barrett,F-G,NYK,79,15.8,5.9,2.8,0.7,0.2,1.9,27.88,0.35
Montrezl Harrell,C-F,LAL,82,15.1,7.6,1.1,0.6,0.9,1.3,29.07,0.35
Jordan Clarkson,G,UTA,84,18.8,3.9,2.4,1.0,0.2,1.8,28.88,0.34
Larry Nance Jr.,C-F,CLE,78,9.4,6.3,3.0,1.8,0.5,1.5,26.86,0.34
Kenyon Martin Jr.,F,HOU,67,8.3,6.2,2.1,0.0,2.1,2.1,23.09,0.34
Josh Hart,G,NOP,77,10.5,7.8,2.0,0.9,0.3,0.9,25.56,0.33
