PLAYER_NAME,POSITION,TEAM,RATING,GP,PTS,REB,AST,TOV,STL,BLK,SCR,AVG
Domantas Sabonis,C-F,IND,87,15,18.6,11.0,7.4,3.87,1.6,0.73,46.03,0.53
Karl-Anthony Towns,C-F,MIN,89,15,23.87,9.73,4.47,3.67,0.8,1.33,44.98,0.51
Victor Oladipo,G,HOU,81,9,24.67,4.67,5.0,2.78,1.33,0.44,40.32,0.5
De'Aaron Fox,G,SAC,86,15,24.4,3.47,8.6,3.27,1.4,0.27,43.19,0.5
Donovan Mitchell,G,UTA,88,15,27.07,4.8,5.8,3.0,1.4,0.13,43.13,0.49
Fred VanVleet,G,TOR,85,10,19.8,4.5,6.6,1.9,1.9,1.0,41.9,0.49
Kyle Lowry,G,TOR,84,11,17.55,6.18,9.45,3.18,1.09,0.27,40.05,0.48
Clint Capela,C,ATL,86,12,15.42,14.42,0.75,1.25,0.58,2.33,41.34,0.48
Christian Wood,F,HOU,85,3,22.0,9.33,2.0,2.0,0.67,1.67,41.2,0.48
DeMar DeRozan,F-G,SAS,87,10,19.9,3.2,9.1,1.7,1.3,0.2,40.19,0.46
Anthony Edwards,G,MIN,77,15,20.87,5.73,3.13,2.87,1.33,0.53,35.18,0.46
Zach LaVine,F-G,CHI,88,15,28.47,4.2,4.47,3.73,0.8,0.47,40.27,0.46
Jayson Tatum,F-G,BOS,90,15,24.27,6.47,3.87,2.67,1.47,0.47,40.96,0.46
Kawhi Leonard,F,LAC,96,12,24.5,7.08,4.58,2.0,1.58,0.17,43.12,0.45
John Wall,G,HOU,82,10,24.0,2.2,6.4,3.8,0.9,0.7,37.24,0.45
Richaun Holmes,C-F,SAC,81,13,16.0,10.23,1.77,0.85,0.77,1.38,36.55,0.45
Pascal Siakam,F,TOR,84,9,17.67,6.22,5.56,1.78,1.11,0.78,37.36,0.44
Malcolm Brogdon,G,IND,84,14,22.07,5.64,5.29,2.71,0.71,0.14,36.63,0.44
Collin Sexton,G,CLE,83,15,26.33,3.07,4.0,3.4,1.33,0.0,36.61,0.44
Jaylen Brown,F-G,BOS,89,14,22.14,5.21,4.71,2.71,1.29,0.43,37.9,0.43
Moses Brown,C,OKC,67,6,11.33,9.67,0.17,1.0,0.67,1.5,28.68,0.43
Dejounte Murray,G,SAS,83,14,17.29,6.64,5.21,1.64,1.21,0.07,35.29,0.43
Jarrett Allen,C,CLE,84,15,14.33,11.93,1.8,1.53,0.33,1.67,35.82,0.43
Jonas Valanciunas,C,MEM,82,15,15.0,13.73,1.4,1.67,0.6,0.6,35.51,0.43
Thaddeus Young,F,CHI,80,15,13.47,7.53,4.73,2.07,1.4,0.73,33.94,0.42
