PLAYER_NAME,POSITION,TEAM,RATING,GP,TOP5,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Jrue Holiday,G,MIL,86,2,6.0,20.0,4.5,12.0,0.5,2.0,1.0,61.9,0.58
Giannis Antetokounmpo,F,MIL,96,2,9.0,27.5,12.0,5.0,0.5,0.5,1.0,69.4,0.54
Nikola Jokic,C,DEN,96,3,9.0,24.0,10.67,5.67,0.67,0.33,1.33,64.97,0.49
Bruce Brown,F-G,BKN,78,3,0.0,14.0,9.0,2.67,1.33,1.33,1.0,35.8,0.46
Khris Middleton,F,MIL,85,2,1.0,21.5,5.5,6.5,1.0,0.0,3.0,39.85,0.45
Jordan Nwora,F,MIL,73,2,1.0,17.0,7.5,0.0,1.0,1.5,1.5,34.0,0.44
James Harden,G,BKN,95,2,6.0,11.5,6.0,9.0,1.5,2.0,2.0,52.7,0.43
Cameron Payne,G,PHX,77,3,0.0,17.33,4.0,5.67,0.67,0.33,1.0,32.63,0.42
Kevin Durant,F,BKN,96,3,5.0,16.33,8.0,8.67,0.0,1.0,2.67,49.27,0.41
Chris Paul,G,PHX,89,2,2.0,21.0,2.5,8.5,0.5,0.0,1.5,40.75,0.41
Kyrie Irving,G,BKN,91,2,8.0,19.5,4.0,1.0,2.0,2.0,0.5,53.3,0.41
Jeff Teague,G,MIL,74,2,0.0,15.5,2.0,4.0,1.5,0.5,2.0,27.9,0.38
Markus Howard,G,DEN,67,3,0.0,19.33,2.67,2.0,0.33,0.33,2.33,25.2,0.38
Brook Lopez,C,MIL,79,2,0.0,19.5,7.0,0.0,0.0,1.0,2.0,28.9,0.37
Mike James,G,BKN,71,3,0.0,11.33,3.33,6.0,0.67,0.0,1.33,25.0,0.35
JaVale McGee,C-F,DEN,78,3,0.0,9.0,8.67,1.0,0.0,1.67,0.0,25.9,0.33
Mikal Bridges,F,PHX,83,3,1.0,15.33,5.33,1.0,1.33,0.0,0.67,28.57,0.32
Nicolas Claxton,C-F,BKN,76,3,0.0,10.67,6.0,0.0,0.33,2.33,1.33,24.53,0.32
Devin Booker,G,PHX,89,2,4.0,22.5,3.5,3.0,0.0,0.0,3.0,36.2,0.32
Torrey Craig,F,PHX,79,3,0.0,10.67,5.33,2.0,1.0,0.67,0.0,25.07,0.32
Dario Saric,C-F,PHX,79,3,0.0,12.67,5.0,2.0,1.67,0.0,1.0,25.67,0.32
Paul Millsap,F,DEN,79,2,0.0,8.5,4.0,3.5,2.5,0.0,1.5,24.55,0.31
Landry Shamet,G,BKN,74,3,0.0,13.67,2.33,2.0,0.33,0.33,0.33,21.13,0.29
Jevon Carter,G,PHX,74,3,1.0,9.33,4.33,3.0,1.0,0.0,0.67,23.37,0.29
Jalen Smith,C-F,PHX,72,2,0.0,7.5,7.5,1.0,0.0,1.0,0.5,20.5,0.28
Frank Kaminsky,C-F,PHX,79,3,0.0,6.0,6.67,4.0,0.33,0.33,0.67,21.33,0.27
E'Twaun Moore,G,PHX,73,2,0.0,14.5,1.0,2.5,0.0,0.5,2.0,18.95,0.26
Jae Crowder,F,PHX,77,2,0.0,6.5,5.0,1.5,1.0,1.0,1.0,19.75,0.26
Jeff Green,F,BKN,76,3,0.0,16.0,1.0,0.0,0.33,0.33,0.33,18.87,0.25
Monte Morris,G,DEN,79,2,1.0,11.5,0.0,3.5,1.0,0.0,0.5,21.25,0.24
Bobby Portis,F,MIL,81,2,0.0,13.0,3.5,1.0,0.5,0.0,0.5,19.7,0.24
Vlatko Cancar,F,DEN,70,3,0.0,9.67,3.0,0.67,0.67,0.0,0.33,15.93,0.23
Zeke Nnaji,C-F,DEN,73,2,0.0,7.0,3.5,1.0,1.0,0.0,0.0,15.7,0.22
Mamadi Diakite,F,MIL,68,2,0.0,6.5,3.5,1.0,1.0,0.0,0.0,15.2,0.22
Facundo Campazzo,G,DEN,74,2,1.0,4.0,2.5,5.5,0.5,0.0,1.5,17.25,0.21
Blake Griffin,F,BKN,77,3,1.0,8.0,2.67,2.33,0.33,0.33,0.67,18.03,0.21
Pat Connaughton,G,MIL,73,3,0.0,7.0,3.67,0.33,1.0,0.33,0.33,15.57,0.21
Michael Porter Jr.,F,DEN,85,2,3.0,9.0,4.5,1.5,0.5,0.0,1.0,23.15,0.2
Aaron Gordon,F,DEN,79,2,0.0,8.5,2.5,2.0,0.5,0.0,0.5,15.5,0.2
Austin Rivers,G,DEN,74,3,0.0,8.0,2.67,2.33,0.33,0.0,1.67,14.03,0.19
Langston Galloway,G,PHX,76,2,0.0,10.0,1.5,1.0,0.0,0.0,0.0,13.3,0.18
JaMychal Green,C-F,DEN,78,3,0.0,6.67,3.0,2.33,0.0,0.33,0.33,14.43,0.18
Tyler Johnson,G,BKN,71,3,0.0,5.0,2.67,2.0,0.0,0.0,0.67,10.53,0.15
Bryn Forbes,G,MIL,76,2,1.0,11.5,0.0,0.5,0.0,0.0,1.5,12.75,0.14
Sam Merrill,G,MIL,70,2,0.0,1.0,1.5,0.5,1.5,0.0,0.0,8.05,0.12
P.J. Tucker,F,MIL,74,2,0.0,2.5,2.0,1.5,0.5,0.0,0.0,8.65,0.12
Shaquille Harrison,G,DEN,73,3,0.0,1.33,3.0,1.0,0.67,0.0,0.33,8.1,0.11
Timothe Luwawu-Cabarrot,F-G,BKN,71,3,0.0,2.33,0.67,1.0,0.33,0.0,0.33,5.3,0.07
Bol Bol,C-F,DEN,72,2,0.0,1.5,1.5,0.0,0.0,0.0,0.0,3.3,0.05
Thanasis Antetokounmpo,F,MIL,73,2,1.0,0.0,0.5,1.0,0.5,0.0,0.5,5.1,0.04
Alize Johnson,F,BKN,74,3,1.0,0.67,0.33,0.0,0.0,0.33,0.0,4.07,0.03
Reggie Perry,C-F,BKN,72,3,0.0,0.0,1.33,0.0,0.0,0.0,0.33,1.27,0.02
