PLAYER_NAME,POSITION,TEAM,RATING,GP,TOP_TEN,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Russell Westbrook,G,WAS,86,5,4.0,21.0,15.4,13.2,1.2,1.2,6.4,68.08,0.7
Karl-Anthony Towns,C-F,MIN,89,5,4.0,27.0,15.2,5.0,0.4,1.8,2.8,64.53999999999999,0.64
Bam Adebayo,C-F,MIA,88,5,2.0,20.2,10.0,5.2,0.8,2.0,1.8,50.6,0.53
De'Aaron Fox,G,SAC,86,5,2.0,27.2,2.0,5.4,1.8,1.2,2.2,48.5,0.52
Kristaps Porzingis,C-F,DAL,86,4,1.0,21.0,10.75,2.75,0.75,1.75,1.75,45.78,0.51
Moses Brown,C,OKC,67,5,1.0,13.4,12.6,0.0,1.0,1.2,1.0,36.12,0.51
Jrue Holiday,G,MIL,86,4,1.0,22.75,4.75,6.75,2.5,0.5,4.0,45.58,0.51
Giannis Antetokounmpo,F,MIL,96,4,1.0,30.0,9.0,3.5,0.25,1.75,4.25,49.8,0.5
Damian Lillard,G,POR,94,4,2.0,27.25,3.5,8.75,1.0,0.5,2.25,50.82,0.5
CJ McCollum,G,POR,88,5,2.0,24.4,3.6,6.6,1.2,1.4,2.2,48.22,0.5
Anthony Edwards,G,MIN,77,5,1.0,21.6,5.0,2.6,1.8,1.4,2.4,40.7,0.5
Rudy Gobert,C,UTA,88,5,1.0,17.2,13.0,1.4,0.6,2.4,0.8,45.1,0.49
Jimmy Butler,F,MIA,90,4,1.0,21.75,5.0,6.75,1.75,0.5,1.25,45.38,0.48
Richaun Holmes,C-F,SAC,81,5,2.0,16.6,11.8,0.8,0.2,2.4,0.8,42.96,0.48
DeMar DeRozan,F-G,SAS,87,5,1.0,23.8,4.2,6.6,1.2,0.2,2.4,42.54,0.47
Luka Doncic,F-G,DAL,93,3,0.0,29.0,6.33,6.33,1.0,0.0,5.33,43.77,0.47
Donovan Mitchell,G,UTA,88,4,1.0,28.75,3.0,5.5,0.75,0.5,3.0,43.35,0.47
Jakob Poeltl,C,SAS,78,5,0.0,14.8,10.4,1.4,0.6,2.2,0.8,36.98,0.47
Dejounte Murray,G,SAS,83,5,0.0,16.6,7.4,6.0,1.6,0.2,1.6,38.28,0.46
Robert Covington,F,POR,77,5,1.0,14.4,7.8,1.6,1.6,1.8,0.6,37.76,0.46
Collin Sexton,G,CLE,83,3,0.0,23.33,4.0,3.0,2.0,0.0,1.33,37.3,0.45
Chuma Okeke,F,ORL,72,5,0.0,15.8,5.8,2.6,1.2,0.6,1.2,30.86,0.43
Julius Randle,C-F,NYK,87,4,0.0,17.5,9.25,6.0,0.5,0.25,3.5,36.35,0.42
Isaiah Hartenstein,C-F,CLE,74,2,0.0,8.5,10.5,4.0,0.0,1.5,0.5,31.1,0.42
Tobias Harris,F,PHI,86,5,0.0,19.0,6.0,4.0,0.8,1.0,2.4,35.2,0.41
Tyler Herro,G,MIA,80,5,1.0,19.4,3.8,4.0,0.8,0.4,1.0,34.56,0.41
Theo Maledon,G,OKC,75,5,2.0,18.0,6.0,2.8,1.0,0.2,3.0,34.0,0.4
Derrick White,G,SAS,79,5,0.0,18.6,3.4,3.0,1.0,0.8,1.0,31.58,0.4
Khris Middleton,F,MIL,86,4,0.0,17.75,4.75,5.75,1.5,0.25,2.75,34.58,0.4
Rui Hachimura,F,WAS,77,5,1.0,20.2,5.8,2.0,0.6,0.2,2.0,32.56,0.4
Cory Joseph,G,DET,71,5,0.0,11.0,3.2,5.4,2.0,0.4,2.2,27.94,0.39
Hamidou Diallo,G,DET,77,3,0.0,14.67,6.33,2.0,0.67,1.0,1.33,28.93,0.38
Mike Conley,G,UTA,85,4,1.0,15.5,3.75,6.25,1.5,0.25,2.25,34.38,0.38
RJ Barrett,F-G,NYK,79,5,1.0,16.8,6.0,3.6,1.0,0.2,2.6,32.4,0.38
Caris LeVert,G,IND,83,5,0.0,15.2,4.2,4.4,2.0,0.0,2.0,30.84,0.37
Darius Garland,G,CLE,77,5,0.0,15.6,3.6,5.8,1.2,0.0,3.8,28.42,0.37
Alec Burks,G,NYK,77,5,1.0,17.4,4.6,2.0,0.6,0.4,0.8,30.12,0.37
Aleksej Pokusevski,C,OKC,71,4,0.0,15.5,4.0,4.0,0.5,0.5,3.0,26.3,0.37
Myles Turner,C-F,IND,81,5,0.0,8.4,6.2,1.2,0.8,3.6,2.0,28.84,0.36
Mason Plumlee,C-F,DET,80,5,0.0,12.0,8.0,3.4,0.6,0.8,1.8,29.1,0.36
Dean Wade,C-F,CLE,70,5,0.0,10.0,5.6,2.4,1.0,0.6,0.2,24.92,0.36
Rudy Gay,F-G,SAS,78,5,1.0,12.4,5.8,1.8,1.2,1.0,0.8,29.86,0.36
Dwayne Bacon,F-G,ORL,71,5,0.0,15.2,3.8,2.2,0.8,0.0,0.6,24.86,0.35
Enes Kanter,C,POR,80,5,1.0,11.0,10.6,0.6,0.6,0.8,1.2,29.62,0.35
Duncan Robinson,F,MIA,75,5,0.0,17.4,4.0,2.8,0.2,0.2,1.2,26.4,0.35
Danny Green,F-G,PHI,75,5,1.0,15.0,3.4,1.2,1.0,0.8,0.4,27.88,0.35
Jaden McDaniels,F,MIN,72,5,0.0,13.2,4.0,2.2,0.2,1.4,0.6,25.5,0.35
Harrison Barnes,F,SAC,80,5,0.0,12.8,7.6,3.4,0.8,0.4,2.4,28.22,0.35
Ben Simmons,F-G,PHI,88,5,0.0,12.4,7.4,5.2,1.4,0.2,4.0,29.88,0.34
Norman Powell,"['G', 'G']",POR,81,4,0.0,15.25,2.75,1.25,2.25,0.75,2.0,27.42,0.34
Mo Bamba,C,ORL,74,4,0.0,11.25,6.0,1.25,0.25,1.25,0.75,24.08,0.33
Buddy Hield,G,SAC,77,5,0.0,13.4,4.0,2.4,1.2,0.4,1.2,25.4,0.33
Isaiah Roby,F,OKC,76,5,0.0,8.8,7.2,2.4,1.2,0.8,2.2,24.84,0.33
Wendell Carter Jr.,C-F,ORL,80,4,0.0,11.75,8.75,1.5,0.25,1.0,1.5,26.75,0.33
Jerami Grant,F,DET,83,5,1.0,15.4,3.0,3.0,0.4,1.4,1.4,29.5,0.33
Jordan Clarkson,G,UTA,84,5,0.0,18.8,5.2,1.4,0.6,0.0,1.4,27.54,0.33
Tim Hardaway Jr.,F-G,DAL,79,5,0.0,17.2,3.8,1.6,0.4,0.0,0.4,24.96,0.32
Taj Gibson,F,NYK,75,5,0.0,6.4,6.4,1.2,0.6,2.2,0.4,23.88,0.32
T.J. McConnell,G,IND,78,5,0.0,9.4,2.6,6.0,1.0,0.6,1.6,24.72,0.32
Nerlens Noel,C-F,NYK,77,4,0.0,5.0,7.5,0.5,1.5,2.25,2.5,23.5,0.31
Tony Bradley,C-F,OKC,75,4,0.0,10.0,7.25,0.5,0.75,1.0,1.75,22.95,0.31
Kendrick Nunn,G,MIA,77,2,0.0,16.0,2.5,2.5,0.5,0.0,0.0,24.25,0.31
Saben Lee,G,DET,75,5,0.0,8.6,3.6,4.4,0.8,0.6,1.4,22.32,0.3
Shake Milton,F-G,PHI,78,5,0.0,15.6,3.0,3.0,0.6,0.2,2.6,23.5,0.3
Dwight Howard,C-F,PHI,79,5,1.0,9.0,9.6,0.6,0.6,0.8,1.8,25.82,0.3
Bojan Bogdanovic,F,UTA,78,5,0.0,12.8,4.6,2.0,0.6,0.0,0.4,22.72,0.29
Robin Lopez,C,WAS,76,5,0.0,10.4,5.0,1.0,0.2,1.4,1.0,21.7,0.29
Kenrich Williams,F-G,OKC,76,5,0.0,10.2,4.0,2.6,0.6,0.8,1.0,22.1,0.29
Tyrese Haliburton,G,SAC,83,5,0.0,15.2,1.8,3.4,0.8,0.2,1.2,24.26,0.29
Jusuf Nurkic,C,POR,80,4,0.0,8.25,7.25,2.75,0.75,0.5,2.75,22.08,0.28
Maxi Kleber,F,DAL,75,5,0.0,6.8,6.2,1.4,0.8,0.8,0.4,20.74,0.28
