PLAYER_NAME,POSITION,TEAM,RATING,TOP_TEN,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Giannis Antetokounmpo,F,MIL,96,1.0,28.7,11.5,6.4,1.2,1.3,3.7,57.9,0.58
Luka Doncic,F-G,DAL,93,0.0,27.9,8.1,8.6,1.1,0.7,4.1,51.82,0.56
Moses Brown,C,OKC,67,1.0,13.3,11.9,0.7,0.9,2.3,1.2,39.03,0.55
Russell Westbrook,G,WAS,86,4.0,20.9,8.7,9.5,1.3,0.4,4.6,54.09,0.54
Karl-Anthony Towns,C-F,MIN,89,4.0,24.6,10.3,4.1,0.9,1.7,3.3,55.61,0.53
Jimmy Butler,F,MIA,90,1.0,21.7,7.3,7.6,2.1,0.4,2.4,48.96,0.52
De'Aaron Fox,G,SAC,86,2.0,25.0,3.9,7.5,1.4,0.4,3.4,46.93,0.5
Julius Randle,C-F,NYK,87,0.0,22.3,10.4,5.6,0.9,0.3,3.1,43.68,0.5
Kristaps Porzingis,C-F,DAL,86,1.0,22.8,9.6,1.8,0.6,1.8,1.5,44.72,0.5
Damian Lillard,G,POR,94,2.0,29.4,4.4,7.3,0.9,0.2,3.1,49.83,0.49
Ben Simmons,F-G,PHI,88,0.0,16.9,8.2,8.3,1.7,0.8,3.7,42.99,0.49
Rudy Gobert,C,UTA,88,1.0,15.2,13.8,1.4,0.5,2.8,1.8,43.96,0.48
Bam Adebayo,C-F,MIA,88,2.0,18.6,9.3,5.1,0.9,1.4,2.8,45.51,0.47
Richaun Holmes,C-F,SAC,81,2.0,16.2,10.1,2.0,0.8,1.9,1.4,42.02,0.47
Khris Middleton,F,MIL,86,0.0,21.5,5.9,5.9,1.3,0.2,2.8,39.13,0.46
Donovan Mitchell,G,UTA,88,1.0,25.4,4.4,5.5,1.0,0.3,2.8,42.03,0.45
Tobias Harris,F,PHI,86,0.0,21.1,7.8,3.6,0.9,0.8,2.0,38.96,0.45
DeMar DeRozan,F-G,SAS,87,1.0,20.2,4.3,6.8,1.1,0.3,1.9,39.86,0.44
Jrue Holiday,G,MIL,86,1.0,17.5,4.7,5.6,1.9,0.6,2.2,38.84,0.43
Caris LeVert,G,IND,83,0.0,18.6,4.3,5.5,1.4,0.3,2.1,35.01,0.42
Isaiah Roby,F,OKC,76,0.0,13.3,7.7,2.5,1.3,1.0,2.4,30.79,0.41
Dejounte Murray,G,SAS,83,0.0,15.4,6.2,5.0,1.5,0.2,1.8,33.64,0.41
Collin Sexton,G,CLE,83,0.0,23.0,3.0,4.1,1.0,0.1,2.7,33.35,0.4
Myles Turner,C-F,IND,81,0.0,12.5,6.3,1.1,0.8,3.1,1.3,32.11,0.4
Aleksej Pokusevski,C,OKC,71,0.0,11.9,7.7,2.6,0.6,1.5,2.6,28.74,0.4
Mike Conley,G,UTA,85,1.0,16.7,3.9,5.8,1.6,0.1,2.0,35.18,0.39
Anthony Edwards,G,MIN,77,1.0,18.5,4.6,2.8,1.1,0.3,2.3,32.120000000000005,0.39
RJ Barrett,F-G,NYK,79,1.0,17.8,6.3,3.0,0.7,0.3,2.0,32.86,0.39
Jakob Poeltl,C,SAS,78,0.0,8.9,9.7,1.9,0.8,1.9,1.5,29.99,0.38
Buddy Hield,G,SAC,77,0.0,17.1,4.9,3.2,0.7,0.4,1.8,29.28,0.38
Tyrese Haliburton,G,SAC,83,0.0,14.7,3.8,5.2,1.4,0.6,1.7,31.36,0.38
Jerami Grant,F,DET,83,1.0,20.0,4.5,2.3,0.6,0.8,1.7,33.35,0.38
Darius Garland,G,CLE,77,0.0,16.0,2.3,5.7,1.1,0.1,2.8,28.11,0.37
Jaden McDaniels,F,MIN,72,0.0,9.9,6.1,1.5,1.0,1.9,1.4,26.77,0.37
Mason Plumlee,C-F,DET,80,0.0,9.8,8.9,3.4,0.9,0.9,1.9,29.08,0.36
Harrison Barnes,F,SAC,80,0.0,15.1,5.9,3.4,0.7,0.2,1.4,28.58,0.36
Enes Kanter,C,POR,80,1.0,11.4,10.6,1.1,0.5,0.9,1.4,30.57,0.36
Victor Oladipo,G,MIA,81,0.0,15.8,4.0,3.7,1.1,0.4,2.0,28.65,0.35
Malik Beasley,G,MIN,81,0.0,18.8,4.3,2.2,0.8,0.2,1.6,28.66,0.35
Derrick White,G,SAS,79,0.0,14.8,3.2,3.4,0.8,1.1,1.8,27.64,0.35
Dean Wade,C-F,CLE,70,0.0,10.4,6.4,1.6,0.8,0.8,0.8,24.48,0.35
Norman Powell,"['G', 'G']",POR,81,0.0,19.0,2.9,1.9,1.2,0.2,1.7,27.83,0.34
Donte DiVincenzo,G,MIL,77,0.0,12.3,5.5,3.3,1.2,0.2,1.5,26.55,0.34
Robert Covington,F,POR,77,1.0,9.3,6.8,1.8,1.5,1.0,1.2,28.46,0.34
Nerlens Noel,C-F,NYK,77,0.0,6.5,7.6,1.0,1.1,2.2,1.4,25.62,0.33
Maxi Kleber,F,DAL,75,0.0,9.7,6.7,1.4,0.7,1.0,0.9,24.04,0.32
Isaiah Hartenstein,C-F,CLE,74,0.0,6.9,7.4,1.5,0.8,1.5,1.5,23.43,0.32
Jusuf Nurkic,C,POR,80,0.0,9.4,7.3,2.3,0.9,1.0,1.9,25.41,0.32
Josh Richardson,F-G,DAL,78,0.0,13.7,3.7,2.7,1.0,0.4,1.5,24.89,0.32
Rui Hachimura,F,WAS,77,1.0,13.0,5.6,1.6,0.8,0.1,1.2,25.62,0.31
Saddiq Bey,F,DET,78,0.0,14.1,5.2,1.6,0.8,0.1,1.0,24.44,0.31
Tyler Herro,G,MIA,80,1.0,14.1,4.9,3.1,0.4,0.3,2.1,26.63,0.31
Brook Lopez,C,MIL,78,0.0,11.9,5.3,0.8,0.5,1.5,0.9,24.56,0.31
Derrick Rose,G,NYK,81,0.0,13.0,2.3,4.2,1.0,0.3,1.9,24.06,0.3
Carmelo Anthony,F,POR,79,0.0,13.4,3.5,1.7,0.8,0.7,1.0,23.65,0.3
Danny Green,F-G,PHI,75,1.0,9.9,3.9,1.7,1.3,0.9,1.1,24.63,0.3
Trevor Ariza,F,MIA,74,0.0,8.3,5.5,2.1,0.7,1.0,0.8,22.35,0.3
Goran Dragic,G,MIA,80,0.0,13.2,3.1,4.7,0.7,0.2,2.5,24.17,0.3
Bojan Bogdanovic,F,UTA,78,0.0,15.1,3.9,1.9,0.5,0.1,1.4,23.03,0.3
Keldon Johnson,F-G,SAS,80,0.0,12.0,5.5,1.7,0.5,0.5,1.2,22.95,0.29
Bobby Portis,F,MIL,80,0.0,11.3,6.3,1.0,0.7,0.5,0.8,23.16,0.29
Alec Burks,G,NYK,77,1.0,12.5,4.1,1.9,0.8,0.3,1.1,24.47,0.29
Joe Ingles,F-G,UTA,80,0.0,11.8,3.4,4.1,0.6,0.2,1.4,23.03,0.29
Robin Lopez,C,WAS,76,0.0,10.9,6.1,1.1,0.3,0.9,1.3,22.17,0.29
Theo Maledon,G,OKC,75,2.0,9.9,3.6,4.1,1.2,0.1,2.3,25.97,0.29
Dorian Finney-Smith,F,DAL,74,0.0,9.6,5.2,1.4,1.0,0.4,0.7,21.44,0.29
Jordan Clarkson,G,UTA,84,0.0,15.8,3.6,2.1,0.8,0.2,1.6,24.67,0.29
Royce O'Neale,F,UTA,76,0.0,8.0,6.2,2.4,0.8,0.5,1.1,21.84,0.29
Pat Connaughton,F-G,MIL,76,0.0,9.1,5.5,1.8,0.9,0.4,0.7,21.6,0.28
Delon Wright,G,SAC,77,0.0,7.8,3.3,3.9,1.3,0.4,1.2,21.51,0.28
Hamidou Diallo,G,DET,77,0.0,10.3,4.8,2.4,1.0,0.2,1.5,21.76,0.28
