,Name,PTS,REB,AST,STL,BLK,TOV
91,Thaddeus Young,9.0,4.3,3.4,0.9,0.4,1.4
92,Hamidou Diallo,10.4,4.5,2.1,0.9,0.5,1.4
93,Daniel Theis,9.3,5.3,1.5,0.6,1.0,1.0
94,Davis Bertans,13.8,3.6,1.0,0.7,0.2,0.7
95,Rudy Gay,11.1,4.6,1.4,0.7,0.6,1.0
96,Royce O'Neale,7.4,6.4,2.5,0.8,0.5,1.2
97,Terance Mann,8.8,5.2,2.4,0.8,0.4,0.8
98,Dorian Finney-Smith,9.6,5.5,1.5,0.8,0.4,0.7
99,Patrick Williams,10.0,4.6,1.4,1.0,0.7,1.5
100,Lou Williams,11.8,2.2,3.5,0.9,0.1,1.5
101,Brandon Goodwin,9.9,3.0,3.9,0.9,0.2,1.5
102,Shake Milton,12.9,2.4,2.8,0.6,0.3,1.6
103,Duncan Robinson,12.9,3.5,1.7,0.5,0.3,1.2
104,Joe Ingles,10.5,3.0,3.8,0.6,0.2,1.4
105,Naz Reid,10.3,4.5,1.0,0.5,1.0,1.0
106,Jae Crowder,9.9,4.7,1.8,0.7,0.4,0.9
107,Seth Curry,12.1,2.3,2.6,0.8,0.2,1.3
108,Paul Millsap,9.0,4.8,1.5,0.8,0.6,0.9
109,Maxi Kleber,8.2,5.8,1.3,0.5,0.8,0.7
110,Danny Green,9.0,3.5,1.5,1.2,0.7,0.9
111,Kendrick Nunn,11.6,2.8,2.4,0.8,0.2,1.4
112,Isaiah Stewart,7.3,6.3,1.0,0.6,1.0,1.0
113,Grayson Allen,11.3,3.2,2.0,0.9,0.1,1.0
114,Isaiah Hartenstein,6.4,5.6,1.4,0.7,1.2,1.2
115,Saddiq Bey,11.8,3.7,1.3,0.7,0.1,0.9
116,Lauri Markkanen,12.0,4.5,0.8,0.3,0.3,0.9
117,Monte Morris,10.4,2.1,3.1,0.7,0.2,0.8
118,Trevor Ariza,8.9,4.0,1.6,0.7,0.6,0.7
119,Garrett Temple,8.8,3.5,2.2,0.9,0.4,1.0
120,Jaden McDaniels,8.3,4.3,1.2,0.6,1.0,0.9
121,Killian Hayes,7.0,2.7,4.4,1.1,0.4,2.5
122,Markieff Morris,9.0,5.4,1.3,0.3,0.5,1.0
123,James Johnson,7.0,3.7,1.9,0.9,0.9,1.2
124,Taj Gibson,5.6,5.7,0.8,0.8,1.0,0.7
125,Kira Lewis Jr.,8.8,1.8,2.7,1.0,0.3,0.8
126,Isaac Okoro,8.7,3.0,1.8,1.1,0.4,1.4
127,Delon Wright,6.9,2.7,3.1,1.1,0.3,0.9
128,Elfrid Payton,9.0,2.9,3.0,0.6,0.2,1.4
129,Josh Jackson,9.8,3.1,1.7,0.7,0.5,1.7
130,Derrick Favors,6.0,5.8,0.8,0.4,1.1,0.7
131,Cameron Payne,8.3,2.4,3.7,0.6,0.2,1.3
132,Gary Harris,9.5,2.5,1.8,0.9,0.3,1.0
133,Sviatoslav Mykhailiuk,9.3,2.9,2.1,0.9,0.2,1.5
134,Rajon Rondo,6.1,2.6,5.0,0.9,0.1,2.0
135,Talen Horton-Tucker,7.8,2.7,2.5,1.0,0.4,1.3
136,Khem Birch,5.7,5.5,1.1,0.7,0.7,0.7
137,Kentavious Caldwell-Pope,9.0,2.8,1.8,0.8,0.3,1.0
138,Josh Okogie,7.2,3.2,1.3,1.2,0.5,1.0
139,Maurice Harkless,6.2,3.7,1.6,0.8,0.8,0.8
140,Dwight Howard,5.6,6.7,0.6,0.4,0.9,1.4
141,Reggie Bullock,9.2,3.1,1.3,0.7,0.2,0.7
142,JaMychal Green,8.2,4.6,0.8,0.5,0.4,0.9
143,Isaiah Roby,7.0,4.5,1.4,0.7,0.5,1.5
144,Cameron Johnson,9.2,3.1,1.2,0.6,0.2,0.7
145,Jaxson Hayes,7.3,4.4,0.7,0.4,0.7,0.8
146,Wayne Ellington,10.2,2.2,1.4,0.4,0.2,0.7
147,Freddie Gillespie,5.8,3.9,0.6,0.5,1.2,0.5
148,George Hill,9.1,1.7,2.1,0.7,0.1,0.8
149,Gary Trent Jr.,10.6,1.8,1.0,0.6,0.1,0.6
150,Montrezl Harrell,7.8,4.0,0.7,0.4,0.5,0.7
151,P.J. Dozier,7.0,3.3,1.6,0.6,0.4,0.9
152,Alex Caruso,6.0,2.6,2.4,1.1,0.2,1.2
153,Ty Jerome,7.8,2.2,2.7,0.5,0.1,1.0
154,Patrick Mills,9.6,1.5,1.9,0.5,0.1,0.8
155,Andre Iguodala,4.8,3.8,1.9,0.9,0.4,1.1
156,Tomas Satoransky,6.0,1.7,3.7,0.6,0.2,1.2
157,Matisse Thybulle,4.3,2.0,0.9,1.4,0.9,0.5
158,Terence Davis II,7.7,2.3,1.2,0.7,0.3,0.9
159,Ish Smith,4.9,2.6,3.4,0.5,0.1,0.9
160,Justise Winslow,5.7,3.6,1.4,0.6,0.3,1.1
161,Dean Wade,6.1,3.2,1.1,0.4,0.4,0.4
162,Torrey Craig,4.8,3.7,1.0,0.6,0.5,0.5
163,Facundo Campazzo,5.2,1.6,2.5,0.9,0.2,0.9
164,Desmond Bane,6.8,2.3,1.2,0.5,0.2,0.6
165,Yuta Watanabe,4.5,3.6,0.9,0.5,0.5,0.5
166,Alex Len,5.4,3.2,0.6,0.2,0.9,0.8
167,Lonnie Walker,7.7,1.8,1.1,0.4,0.2,0.8
168,Saben Lee,4.6,1.7,2.8,0.6,0.2,0.8
169,Juan Hernangomez,6.4,3.4,0.6,0.4,0.1,0.5
170,Willie Cauley-Stein,4.7,3.7,0.6,0.3,0.6,0.4
171,De'Anthony Melton,5.6,1.8,1.6,0.7,0.2,0.7
