Name,Team,Pos,Projection,Salary,Pts/$1k,FPPM,USG%,Opp,OPP Rank,DVP,Spread,Total,O/U,Minutes,PTS,AST,REB,STL,BLK,FT,FGA,FGM,PER,FG%,eFG%
"Derrick Jones Jr.","POR","SF",20.4,4100,5,0.9,12,"BKN",17,19,-1.5,119,236.5,23,7.8,0.9,4.3,0.8,0.9,1.1,5.3,2.8,12.6,50,57.2
"Tony Bradley","PHI","PF",20.2,3900,5.2,1,12.7,"GSW",13,14,-3,"N/A","",20,6.2,1,6.3,0.3,0.9,0.5,3.8,2.3,19.7,60,64.2
"Gary Trent Jr.","POR","SG",20.2,5200,3.9,0.8,20.2,"BKN",17,2,-1.5,119,236.5,25,10.7,1.1,1.7,0.6,0.1,1.1,9.6,4.1,12.7,40,52.8
"Kendrick Nunn","MIA","PG",20,4600,4.3,1.1,21,"PHX",13,5,1,"N/A","",19,9.9,2,2.3,0.8,0.2,1.1,10.2,4.4,12.1,40,52.8
"Terrence Ross","ORL","SF",19.9,5900,3.4,0.9,24.2,"DEN",10,11,7.5,104.5,216.5,22,15.3,1.9,3.2,0.9,0.3,1.9,12,5.1,13.4,40,49.6
"Michael Carter-Williams","ORL","PG",19.7,4700,4.2,0.8,19.5,"DEN",10,27,7.5,104.5,216.5,25,8.8,4,3.9,0.7,0.4,1.3,6.5,2.8,9.7,40,43.4
"Markieff Morris","LAL","PF",19.4,4700,4.1,0.8,14.9,"NOP",16,3,6,108,222,24,8.6,1.5,5.3,0.5,0.4,1.1,8,3.4,9.8,40,50.3
"Alex Caruso","LAL","PG",19.3,3600,5.4,0.7,14.1,"NOP",16,28,6,108,222,26,8.8,3.5,3.6,1.5,0.3,1.5,8.5,3.5,10.7,40,50.6
"Blake Griffin","BKN","PF",19.3,5100,3.8,0.8,5.8,"POR",21,17,1.5,117.5,236.5,23,9.8,2.5,3.5,0.4,0.2,1.9,7.8,3.9,4.5,50,50
"Deni Avdija","WAS","SF",19.3,3500,5.5,0.9,12.1,"NYK",24,15,2,111.75,225.5,22,6.8,1.3,5.3,0.8,0.3,0.3,6,2.5,7.6,40,52.5
"Nickeil Alexander-Walker","NOP","SG",19.1,4900,3.9,0.7,22.7,"LAL",2,29,-6,114,222,26,8.9,2.3,3.2,1.1,0.3,0.7,6.3,2.6,12.9,40,49.3
