Name,Team,Pos,Projection,Salary,Pts/$1k,FPPM,USG%,Opp,OPP Rank,DVP,Spread,Total,O/U,Minutes,PTS,AST,REB,STL,BLK,FT,FGA,FGM,PER,FG%,eFG%
"Cedi Osman","CLE","SF",21.9,5500,4,0.9,20.2,"NOP",16,3,8,109.25,226.5,24,9.3,2,2.9,0.8,0.2,1.1,9.7,3.8,11,40,46.8
"Kevin Love","CLE","PF",21.8,6600,3.3,1,21.7,"NOP",16,4,8,109.25,226.5,21,9.3,1.9,5.3,0.4,0.2,1.6,5.7,2.4,11.1,40,41.7
"JaeSean Tate","HOU","SF",21.8,5800,3.8,0.8,14.5,"UTA",12,15,15.5,"N/A","",27,9.6,1.7,5.1,0.9,0.6,1.1,8,4.2,13.3,50,57.9
"Patty Mills","SAS","PG",21.7,4500,4.8,0.9,20.3,"ORL",19,30,-7,"N/A","",25,13.1,2.9,1.9,0.7,0.1,1.2,10.4,4.6,14.4,40,58.2
"Jeremy Lamb","IND","SG",21.6,4100,5.3,1.3,18.1,"LAL",2,30,4.5,106.5,217.5,17,10.3,1.5,3.7,0.9,0.4,1.9,9.3,4.1,16.8,40,57.6
"Doug McDermott","IND","SF",21.3,5000,4.3,1,19.7,"LAL",2,1,4.5,106.5,217.5,22,12.9,1.3,3.5,0.3,0.1,1.1,10.4,4.9,14.2,50,58.6
"Tyus Jones","MEM","PG",20.7,3100,6.7,1.7,17.4,"DEN",10,26,3.5,112,227.5,12,5.7,3.1,1.6,0.9,0.2,0.5,5.4,2.3,15.6,40,48.6
"Monte Morris","DEN","PG",20.5,4600,4.5,0.7,16.1,"MEM",11,12,-3.5,115.5,227.5,28,9.3,3,2,0.8,0.2,1,7.7,3.7,13.8,50,54.4
"Patrick Williams","CHI","SF",20.5,4600,4.5,0.7,15.7,"MIA",7,7,3,"N/A","",30,9.3,1.2,4.5,0.6,0.7,1.5,7.1,3.2,10.3,50,53
"Justise Winslow","MEM","PG",20.5,4500,4.6,1.3,25.1,"DEN",10,26,3.5,112,227.5,16,7.6,1.7,3.7,0.5,0.3,0.6,5.9,2.4,6.1,40,38.3
"Danny Green","PHI","SF",20.2,4400,4.6,0.7,13.5,"WAS",23,23,-5,"N/A","",29,9.6,1.9,4.1,1.3,0.8,0.5,8.2,3.3,9.8,40,54.1
"JaMychal Green","DEN","PF",20.2,4900,4.1,1.3,18.8,"MEM",11,8,-3.5,115.5,227.5,16,7.4,0.8,4.8,0.5,0.3,0.6,5.1,2.4,14.7,50,55.8
"Davis Bertans","WAS","SF",19.7,4500,4.4,0.9,16.4,"PHI",6,29,5,"N/A","",23,13.2,1.2,3.8,0.7,0.3,1.8,9.5,4,11.3,40,56.2
"Lonnie Walker","SAS","SG",19.6,4400,4.5,0.7,19.5,"ORL",19,25,-7,"N/A","",28,11.4,1.9,3.1,0.5,0.4,1.1,11.1,4.6,9,40,49.2
"Danuel House","HOU","SF",19.6,5200,3.8,1.2,15.7,"UTA",12,15,15.5,"N/A","",17,9.6,1.8,4.2,0.7,0.6,1.1,8,3.1,9,40,46.7
"Grayson Allen","MEM","SG",18.9,4200,4.5,0.9,15.4,"DEN",10,9,3.5,112,227.5,22,8,1.6,2.3,0.8,0.1,1.1,6.2,2.6,12.5,40,54.9
"Willy Hernangomez","NOP","C",18.9,4100,4.6,1.4,16.2,"CLE",26,4,-8,117.25,226.5,14,3.9,0.7,3.5,0.2,0.3,1.5,5.4,2.9,19.9,50,55
"Dwight Howard","PHI","C",18.8,6000,3.1,1.6,18,"WAS",22,29,-5,"N/A","",12,6,0.8,6.5,0.4,0.9,1.5,4,2.5,15.7,60,60.1
"Garrett Temple","CHI","SG",18.7,4000,4.7,0.8,13.7,"MIA",7,16,3,"N/A","",24,6.2,1.3,2.3,0.6,0.3,0.6,5.2,2.2,9.5,40,51.8
