PLAYER_NAME,POSITION,TEAM,RATING,GP,TOP5,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Luka Doncic,F-G,DAL,94,11,1.0,29.27,7.64,9.82,1.18,0.55,4.18,56.16,0.58
Stephen Curry,G,GSW,96,12,0.0,37.17,5.42,5.25,0.67,0.25,4.08,50.21,0.52
Paul George,F,LAC,90,9,5.0,27.56,7.89,4.89,1.56,0.44,4.0,56.36,0.52
Giannis Antetokounmpo,F,MIL,96,9,4.0,26.33,9.78,4.67,1.56,1.0,2.44,58.29,0.52
Draymond Green,F,GSW,80,12,2.0,8.0,9.0,9.83,2.17,1.08,3.33,43.97,0.5
Kyrie Irving,G,BKN,91,10,4.0,23.5,5.4,7.6,1.9,0.6,3.6,53.28,0.5
Jimmy Butler,F,MIA,91,10,2.0,21.3,5.9,7.4,2.2,0.3,1.8,49.18,0.5
Terry Rozier,G,CHA,82,11,1.0,20.64,4.91,7.18,1.09,0.55,1.73,42.48,0.49
Miles Bridges,F,CHA,75,12,2.0,20.0,7.33,3.25,0.75,0.92,1.67,41.01,0.49
Pascal Siakam,F,TOR,83,10,3.0,21.9,7.0,4.3,1.2,0.8,3.3,45.45,0.48
Collin Sexton,G,CLE,83,7,0.0,26.43,5.29,3.86,0.86,0.71,3.29,39.99,0.48
Zion Williamson,F,NOP,90,12,2.0,28.25,7.08,3.67,0.75,0.58,3.33,46.92,0.48
Bam Adebayo,C-F,MIA,88,11,2.0,18.73,7.82,5.09,2.09,0.64,2.91,45.02,0.47
Kevin Durant,F,BKN,96,7,1.0,28.29,5.29,5.0,0.86,0.71,2.71,46.13,0.46
Luguentz Dort,G,OKC,77,7,1.0,23.71,4.71,2.14,1.14,0.43,2.14,37.16,0.46
Lonzo Ball,G,NOP,80,10,4.0,13.4,6.8,6.6,2.1,0.6,2.8,44.76,0.46
Khris Middleton,F,MIL,85,12,1.0,20.75,6.17,5.67,1.17,0.08,2.08,40.32,0.45
Kyle Lowry,G,TOR,83,7,1.0,18.14,5.0,7.71,0.71,0.57,2.14,39.43,0.45
Brandon Ingram,F,NOP,85,12,2.0,24.67,4.83,5.25,0.67,0.33,3.0,42.34,0.45
Jrue Holiday,G,MIL,87,12,3.0,17.5,4.5,7.17,1.67,0.67,2.25,44.4,0.44
LaMelo Ball,G,CHA,85,2,0.0,12.5,6.5,6.5,2.5,1.5,5.0,37.05,0.44
Buddy Hield,G,SAC,77,11,0.0,17.45,4.82,4.0,1.09,0.82,1.64,33.33,0.43
Kawhi Leonard,F,LAC,96,3,0.0,20.67,7.0,7.33,0.33,0.33,2.0,40.07,0.42
Chris Paul,G,PHX,88,12,1.0,16.42,3.83,9.08,1.25,0.33,2.17,39.22,0.42
Andrew Wiggins,F-G,GSW,80,12,1.0,19.0,4.33,2.33,1.17,1.17,1.67,35.03,0.41
P.J. Washington,F,CHA,80,9,1.0,19.11,5.44,1.67,0.89,1.22,1.56,34.92,0.41
Isaiah Stewart,C-F,DET,78,12,1.0,11.83,9.83,0.83,0.75,2.08,1.25,34.13,0.41
Deandre Ayton,C,PHX,84,12,0.0,13.42,10.08,1.25,1.17,0.92,0.92,32.72,0.39
Devin Booker,G,PHX,89,12,3.0,23.75,4.17,4.0,0.75,0.33,3.25,40.75,0.39
Saddiq Bey,F,DET,77,12,0.0,15.75,6.0,1.58,1.33,0.5,1.25,29.58,0.38
Khem Birch,C,TOR,76,12,1.0,10.75,7.67,1.75,0.92,1.17,0.92,29.91,0.37
Darius Bazley,F-G,OKC,76,12,0.0,17.92,6.83,1.92,0.58,0.17,2.83,28.41,0.37
Marvin Bagley III,F,SAC,80,2,0.0,17.0,6.5,2.0,1.5,0.0,2.5,29.8,0.37
Dorian Finney-Smith,F,DAL,73,11,0.0,13.09,6.0,1.73,1.27,0.27,1.18,26.34,0.36
Kendrick Nunn,G,MIA,76,11,0.0,17.18,3.36,3.0,0.82,0.18,1.36,27.35,0.36
Marcus Morris Sr.,F,LAC,78,10,0.0,17.8,5.0,1.2,1.0,0.3,1.1,28.4,0.36
Jarrett Allen,C,CLE,84,11,1.0,13.45,10.27,1.36,0.64,0.91,1.82,32.65,0.36
Josh Jackson,F-G,DET,76,11,0.0,15.82,3.82,2.82,0.55,0.91,2.64,26.35,0.35
Trevor Ariza,F,MIA,73,12,0.0,11.17,5.58,2.08,1.17,0.75,0.92,25.82,0.35
Kent Bazemore,F-G,GSW,76,9,1.0,10.67,5.67,1.89,2.0,0.67,1.89,28.41,0.35
Reggie Jackson,G,LAC,77,11,0.0,14.64,3.82,4.36,0.82,0.09,1.36,27.13,0.35
Naji Marshall,F,NOP,68,12,1.0,8.67,5.67,3.58,1.0,0.33,1.42,25.42,0.34
Cedi Osman,F,CLE,73,7,0.0,12.71,3.43,4.71,0.86,0.29,2.29,25.04,0.34
Bruce Brown,F-G,BKN,77,9,0.0,10.11,7.44,1.67,1.44,0.44,1.11,26.1,0.34
Goran Dragic,G,MIA,78,10,0.0,12.9,4.0,4.6,1.1,0.2,1.6,26.9,0.34
Jeff Green,F,BKN,76,12,0.0,12.58,4.67,2.75,0.58,0.67,0.75,25.31,0.33
Brook Lopez,C,MIL,79,12,0.0,13.75,4.58,0.75,0.5,1.83,1.0,26.38,0.33
Kevin Love,C-F,CLE,80,12,0.0,12.58,7.75,2.83,0.5,0.08,1.5,26.38,0.33
Richaun Holmes,C-F,SAC,82,7,1.0,16.71,6.14,1.0,0.14,0.71,1.29,28.87,0.33
Malachi Flynn,G,TOR,71,12,0.0,10.75,3.58,3.92,0.92,0.08,1.33,22.59,0.32
DeAndre Jordan,C,BKN,79,9,0.0,8.78,9.33,1.78,0.33,1.0,1.33,25.31,0.32
Killian Hayes,G,DET,73,9,0.0,6.89,2.78,6.78,1.89,0.33,3.56,23.5,0.32
Landry Shamet,G,BKN,71,12,0.0,15.08,2.25,3.0,0.42,0.25,1.25,23.03,0.32
Ivica Zubac,C,LAC,79,12,0.0,11.33,7.58,1.92,0.25,0.67,1.5,24.56,0.31
Juan Toscano-Anderson,F,GSW,74,10,1.0,7.9,5.2,3.5,1.0,0.7,1.5,24.99,0.31
Isaiah Roby,F,OKC,76,11,0.0,9.73,6.27,2.27,1.09,0.45,2.09,23.21,0.31
Mikal Bridges,F,PHX,83,12,1.0,13.0,2.92,1.92,1.58,0.75,0.75,27.62,0.31
Joe Harris,F-G,BKN,79,12,0.0,15.17,2.83,2.08,1.0,0.33,1.25,24.44,0.31
Paul Watson,G,TOR,67,3,0.0,13.0,3.33,2.0,0.33,0.33,1.0,21.0,0.31
Blake Griffin,F,BKN,78,11,0.0,10.82,5.73,2.45,0.82,0.64,1.36,24.37,0.31
Eric Bledsoe,G,NOP,77,12,0.0,12.08,3.17,3.0,1.08,0.33,1.67,22.97,0.3
Moses Brown,C,OKC,77,12,1.0,8.33,8.58,0.25,1.0,0.67,1.5,24.51,0.29
Jalen McDaniels,C-F,CHA,70,12,0.0,9.17,4.75,1.5,1.25,0.42,1.58,20.53,0.29
Rajon Rondo,G,LAC,75,9,0.0,8.11,3.11,5.67,1.0,0.11,1.67,22.01,0.29
Frank Jackson,G,DET,72,12,0.0,15.08,3.17,1.0,0.25,0.08,1.0,20.38,0.28
Theo Maledon,G,OKC,75,12,0.0,11.17,3.0,4.0,0.83,0.25,2.67,21.35,0.28
Gabriel Deck,F,OKC,67,3,0.0,7.0,6.0,2.33,0.67,0.0,0.67,19.03,0.28
Duncan Robinson,F,MIA,75,12,0.0,12.67,2.58,1.67,0.58,0.25,0.75,20.02,0.27
Terance Mann,F-G,LAC,72,12,0.0,9.58,3.83,2.42,0.75,0.08,0.67,19.64,0.27
Josh Richardson,F-G,DAL,77,9,0.0,10.11,2.78,2.22,1.0,0.67,1.22,20.56,0.27
Torrey Craig,F,PHX,75,12,0.0,8.17,5.75,0.92,0.5,0.92,0.75,19.94,0.27
