PLAYER_NAME,POSITION,TEAM,RATING,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Luka Doncic,F-G,DAL,94,31.0,10.0,11.0,1.0,2.0,3.0,65.5,0.7
Robert Williams III,C-F,BOS,81,11.0,9.0,1.0,1.0,9.0,0.0,53.3,0.66
Giannis Antetokounmpo,F,MIL,96,26.0,18.0,5.0,3.0,0.0,5.0,59.099999999999994,0.62
Kawhi Leonard,F,LAC,96,26.0,10.0,5.0,4.0,0.0,0.0,57.5,0.6
James Harden,G,BKN,95,21.0,9.0,8.0,4.0,1.0,3.0,55.8,0.59
Damian Lillard,G,POR,94,34.0,2.0,13.0,0.0,0.0,2.0,53.9,0.57
Khris Middleton,F,MIL,85,27.0,6.0,6.0,2.0,0.0,2.0,47.2,0.56
Nikola Jokic,C,DEN,96,34.0,16.0,1.0,0.0,0.0,1.0,53.7,0.56
Kevin Durant,F,BKN,96,32.0,12.0,1.0,1.0,1.0,4.0,49.9,0.52
Jusuf Nurkic,C,POR,82,16.0,12.0,5.0,1.0,0.0,0.0,40.9,0.5
Jrue Holiday,G,MIL,86,20.0,11.0,3.0,3.0,0.0,5.0,41.7,0.48
Jimmy Butler,F,MIA,92,17.0,10.0,8.0,2.0,1.0,6.0,44.0,0.48
Michael Porter Jr.,F,DEN,85,25.0,9.0,0.0,0.0,2.0,2.0,39.8,0.47
Bam Adebayo,C-F,MIA,87,9.0,12.0,5.0,3.0,0.0,1.0,38.9,0.45
Paul George,F,LAC,88,23.0,6.0,5.0,1.0,0.0,3.0,37.7,0.43
Kyrie Irving,G,BKN,91,29.0,6.0,1.0,0.0,1.0,2.0,38.7,0.43
CJ McCollum,G,POR,86,21.0,6.0,3.0,0.0,1.0,0.0,35.7,0.42
Jayson Tatum,F-G,BOS,90,22.0,3.0,5.0,1.0,1.0,4.0,35.1,0.39
Trevor Ariza,F,MIA,75,8.0,12.0,1.0,1.0,1.0,1.0,28.9,0.39
Dorian Finney-Smith,F,DAL,75,18.0,5.0,2.0,1.0,0.0,2.0,28.0,0.37
Brook Lopez,C,MIL,79,18.0,8.0,0.0,1.0,0.0,1.0,29.6,0.37
Facundo Campazzo,G,DEN,74,8.0,3.0,5.0,2.0,1.0,1.0,27.1,0.37
Aaron Gordon,F,DEN,79,16.0,8.0,1.0,0.0,1.0,1.0,29.1,0.37
Goran Dragic,G,MIA,77,25.0,2.0,1.0,1.0,0.0,4.0,27.9,0.36
Duncan Robinson,F,MIA,77,24.0,2.0,2.0,0.0,0.0,2.0,27.4,0.36
Rajon Rondo,G,LAC,76,11.0,4.0,4.0,1.0,1.0,1.0,26.8,0.35
Tristan Thompson,C-F,BOS,78,4.0,10.0,2.0,2.0,1.0,1.0,27.0,0.35
Evan Fournier,F-G,BOS,80,10.0,6.0,2.0,2.0,0.0,0.0,26.2,0.33
Carmelo Anthony,F,POR,79,18.0,3.0,1.0,1.0,0.0,0.0,26.1,0.33
Marcus Smart,G,BOS,79,17.0,3.0,5.0,0.0,0.0,3.0,25.1,0.32
Donte DiVincenzo,G,MIL,76,3.0,10.0,4.0,1.0,1.0,3.0,24.0,0.32
Serge Ibaka,F,LAC,81,8.0,4.0,2.0,1.0,2.0,0.0,24.8,0.31
Maxi Kleber,F,DAL,73,6.0,9.0,4.0,0.0,0.0,0.0,22.799999999999997,0.31
Tim Hardaway Jr.,F-G,DAL,80,21.0,4.0,1.0,0.0,0.0,3.0,24.3,0.3
Nicolas Batum,F-G,LAC,76,11.0,7.0,2.0,0.0,0.0,0.0,22.4,0.29
Austin Rivers,G,DEN,74,6.0,4.0,3.0,0.0,2.0,0.0,21.3,0.29
Anfernee Simons,G,POR,76,14.0,4.0,2.0,0.0,0.0,0.0,21.8,0.29
Norman Powell,G,POR,81,10.0,3.0,4.0,1.0,0.0,1.0,21.6,0.27
Kristaps Porzingis,C-F,DAL,86,14.0,4.0,1.0,0.0,1.0,1.0,22.3,0.26
Monte Morris,G,DEN,79,10.0,2.0,5.0,0.0,0.0,1.0,18.9,0.24
Tyler Herro,G,MIA,78,10.0,2.0,3.0,0.0,1.0,1.0,18.9,0.24
Robert Covington,F,POR,77,8.0,5.0,1.0,0.0,1.0,1.0,17.5,0.23
