PLAYER_NAME,POSITION,TEAM,RATING,GP,TOP_TEN,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Kristaps Porzingis,C-F,DAL,86,4,1.0,24.75,11.0,3.5,1.0,2.0,1.25,52.95,0.59
Karl-Anthony Towns,C-F,MIN,89,5,3.0,25.4,13.0,5.8,0.2,1.6,3.2,57.9,0.58
Moses Brown,C,OKC,67,5,1.0,14.0,14.8,0.0,1.0,1.6,1.2,40.36,0.57
De'Aaron Fox,G,SAC,86,5,2.0,32.2,2.2,5.0,1.6,1.2,2.4,52.34,0.56
Jayson Tatum,F-G,BOS,90,5,2.0,27.6,7.4,4.6,1.6,0.6,1.8,52.18,0.54
Clint Capela,C,ATL,86,5,1.0,19.4,14.6,0.4,0.8,2.0,0.6,47.32,0.53
Dennis Schroder,G,LAL,77,5,1.0,18.6,4.0,7.8,2.4,0.4,3.8,41.7,0.52
Stephen Curry,G,GSW,96,2,0.0,34.0,8.0,4.5,0.5,0.0,2.0,49.85,0.52
Richaun Holmes,C-F,SAC,81,5,2.0,17.6,12.0,1.0,0.4,2.8,0.8,46.3,0.52
Nikola Vucevic,C,CHI,87,4,1.0,23.25,10.5,4.0,0.75,0.75,0.75,47.6,0.52
Anthony Edwards,G,MIN,77,5,1.0,23.0,5.4,2.0,1.8,1.0,1.8,41.08,0.51
Trae Young,G,ATL,87,5,1.0,23.6,3.0,11.2,1.4,0.2,4.8,46.0,0.51
Robert Covington,F,POR,77,5,1.0,13.4,8.2,2.0,2.0,2.2,0.6,40.24,0.5
Kelly Olynyk,C-F,HOU,74,3,1.0,18.33,5.33,3.33,1.33,1.33,1.33,38.4,0.49
OG Anunoby,F,TOR,78,5,1.0,19.2,7.8,3.0,1.4,1.0,2.4,39.86,0.49
Devin Booker,G,PHX,88,5,2.0,28.4,5.2,3.8,1.4,0.2,3.2,45.94,0.48
Jonas Valanciunas,C,MEM,82,5,0.0,17.8,14.6,2.0,0.4,0.6,1.6,39.72,0.48
Pascal Siakam,F,TOR,84,5,2.0,21.4,8.0,4.6,0.6,0.4,1.8,43.1,0.47
CJ McCollum,G,POR,88,5,2.0,24.0,4.2,6.0,0.6,1.4,2.4,45.64,0.47
Andrew Wiggins,F-G,GSW,79,5,1.0,22.6,6.0,3.4,0.6,1.2,2.8,39.5,0.47
Rudy Gobert,C,UTA,88,5,1.0,15.0,12.6,1.2,0.6,2.6,0.6,42.92,0.46
Enes Kanter,C,POR,80,5,1.0,14.4,13.2,1.8,0.6,0.8,1.0,38.14,0.45
Nickeil Alexander-Walker,G,NOP,76,5,1.0,20.0,6.4,3.0,0.8,0.8,2.6,36.38,0.45
Damian Lillard,G,POR,94,4,1.0,24.75,3.25,9.75,0.25,0.25,2.25,44.52,0.45
Jrue Holiday,G,MIL,86,4,1.0,20.5,4.25,5.0,2.5,0.5,3.5,40.6,0.45
Terry Rozier,G,CHA,82,5,1.0,22.4,6.0,4.6,0.2,0.4,2.2,38.1,0.44
Bogdan Bogdanovic,G,ATL,76,5,2.0,18.0,3.0,3.6,1.8,0.6,0.6,37.6,0.44
Kemba Walker,G,BOS,85,4,0.0,22.25,3.25,5.25,1.75,0.25,2.5,37.52,0.44
Julius Randle,C-F,NYK,87,4,0.0,24.5,8.75,3.75,0.25,0.0,3.25,38.12,0.44
Robert Williams III,C-F,BOS,77,4,1.0,7.25,9.5,3.5,1.0,2.5,1.0,35.4,0.43
Ja Morant,G,MEM,86,5,1.0,20.6,3.4,7.4,1.0,0.4,2.8,39.18,0.43
Kyle Kuzma,F,LAL,76,5,0.0,16.4,9.0,4.2,0.6,0.0,3.2,32.1,0.42
Fred VanVleet,G,TOR,85,5,2.0,20.2,3.6,4.2,1.4,0.8,1.8,39.62,0.42
Montrezl Harrell,C-F,LAL,82,5,0.0,19.8,8.0,0.8,1.2,0.8,2.0,34.6,0.42
Marcus Smart,G,BOS,80,5,0.0,15.0,4.0,5.4,1.2,0.8,1.4,32.5,0.41
Chris Paul,G,PHX,88,5,0.0,17.8,4.2,7.6,1.4,0.0,2.2,36.24,0.41
Luka Doncic,F-G,DAL,93,3,0.0,25.33,5.0,5.33,1.0,0.33,5.0,38.33,0.41
Christian Wood,F,HOU,85,3,0.0,16.33,9.0,1.33,0.67,1.33,1.0,34.13,0.4
Giannis Antetokounmpo,F,MIL,96,4,0.0,21.5,8.0,4.75,0.25,1.25,4.5,38.22,0.4
Khris Middleton,F,MIL,86,4,0.0,19.5,6.25,4.75,0.75,0.25,2.75,34.38,0.4
Draymond Green,F,GSW,80,4,1.0,8.25,6.5,8.0,1.75,0.75,3.5,34.05,0.4
Caris LeVert,G,IND,83,5,0.0,15.8,4.4,4.4,2.0,0.0,1.2,32.48,0.39
Kelly Oubre Jr.,F-G,GSW,79,5,0.0,16.6,7.0,1.6,0.8,0.4,0.4,30.6,0.39
Mike Conley,G,UTA,85,4,1.0,16.75,4.25,5.5,1.75,0.0,2.0,35.35,0.39
Myles Turner,C-F,IND,81,4,0.0,8.75,5.75,1.25,0.75,4.25,1.75,30.78,0.38
Brandon Clarke,F-G,MEM,81,4,0.0,10.0,6.25,3.0,1.5,1.5,0.5,30.5,0.38
Jaden McDaniels,F,MIN,72,5,0.0,13.6,4.6,1.8,0.4,1.6,0.4,27.42,0.38
Jae'Sean Tate,F,HOU,77,5,0.0,12.2,5.8,2.8,0.8,1.4,0.6,29.36,0.38
