PLAYER_NAME,POSITION,TEAM,RATING,TOP_TEN,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Giannis Antetokounmpo,F,MIL,96,0.0,28.2,11.5,6.3,1.2,1.3,3.6,55.35,0.58
Luka Doncic,F-G,DAL,93,0.0,28.4,8.2,8.7,1.1,0.6,4.1,52.29,0.56
Karl-Anthony Towns,C-F,MIN,89,3.0,26.1,10.5,4.1,1.0,1.8,3.5,55.75,0.56
Moses Brown,C,OKC,67,1.0,13.1,11.8,0.8,1.1,2.0,1.4,38.36,0.54
Trae Young,G,ATL,87,1.0,25.4,4.3,9.4,0.9,0.2,4.0,45.96,0.51
Christian Wood,F,HOU,85,0.0,23.1,10.5,1.4,1.0,1.5,2.1,43.2,0.51
Fred VanVleet,G,TOR,85,2.0,22.2,4.7,6.2,1.9,0.7,2.2,46.74,0.5
Julius Randle,C-F,NYK,87,0.0,23.0,10.3,5.5,0.9,0.2,3.2,43.71,0.5
Damian Lillard,G,POR,94,1.0,29.6,4.3,7.4,1.0,0.3,3.2,48.56,0.5
Nikola Vucevic,C,CHI,87,1.0,22.9,10.7,3.5,0.8,0.6,1.9,45.29,0.5
Rudy Gobert,C,UTA,88,1.0,15.4,14.2,1.3,0.6,3.0,1.8,45.39,0.49
Stephen Curry,G,GSW,96,0.0,28.3,5.5,6.4,1.3,0.1,3.2,45.5,0.47
De'Aaron Fox,G,SAC,86,2.0,23.9,3.6,6.9,1.4,0.4,3.4,44.57,0.47
Pascal Siakam,F,TOR,84,2.0,20.7,7.3,4.6,1.2,0.7,2.2,43.86,0.47
Jayson Tatum,F-G,BOS,90,2.0,24.3,6.5,4.3,1.3,0.5,2.5,45.45,0.46
Kyle Kuzma,F,LAL,76,0.0,19.7,8.4,2.0,0.5,0.9,2.1,34.88,0.46
Kristaps Porzingis,C-F,DAL,86,1.0,21.5,8.8,1.6,0.4,1.8,1.5,41.56,0.46
Jaylen Brown,F-G,BOS,89,0.0,24.5,5.6,4.0,1.3,0.5,2.7,39.92,0.45
Richaun Holmes,C-F,SAC,81,2.0,15.0,9.7,2.0,0.8,1.9,1.4,40.34,0.45
Clint Capela,C,ATL,86,1.0,14.2,13.1,1.0,0.6,2.0,1.4,39.82,0.44
Malcolm Brogdon,G,IND,84,0.0,20.5,4.3,5.8,1.0,0.2,2.2,35.76,0.43
Montrezl Harrell,C-F,LAL,82,0.0,18.5,8.3,1.4,1.0,1.1,1.4,35.46,0.43
