PLAYER_NAME,POSITION,TEAM,RATING,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Jayson Tatum,F-G,BOS,90,40.0,7.0,5.0,1.0,2.0,2.0,62.900000000000006,0.7
James Harden,G,BKN,95,23.0,5.0,18.0,2.0,3.0,6.0,65.0,0.68
Kyrie Irving,G,BKN,91,39.0,11.0,2.0,2.0,0.0,1.0,60.2,0.66
Kevin Durant,F,BKN,96,42.0,4.0,5.0,1.0,2.0,1.0,62.3,0.65
Kawhi Leonard,F,LAC,96,29.0,10.0,3.0,2.0,2.0,3.0,54.5,0.57
Jae Crowder,F,PHX,77,17.0,7.0,4.0,2.0,1.0,0.0,40.4,0.52
Julius Randle,C-F,NYK,89,23.0,10.0,7.0,2.0,0.0,5.0,46.5,0.52
Marcus Smart,G,BOS,79,16.0,6.0,9.0,2.0,0.0,2.0,40.7,0.52
Deandre Ayton,C,PHX,85,14.0,17.0,0.0,2.0,1.0,0.0,43.4,0.51
Chris Paul,G,PHX,89,18.0,3.0,9.0,3.0,0.0,0.0,44.1,0.5
Trae Young,G,ATL,87,27.0,1.0,9.0,1.0,0.0,2.0,42.7,0.49
Marc Gasol,C,LAL,75,12.0,8.0,3.0,1.0,3.0,1.0,37.1,0.49
RJ Barrett,F-G,NYK,83,21.0,6.0,4.0,2.0,0.0,0.0,40.2,0.48
LeBron James,F-G,LAL,97,25.0,12.0,6.0,1.0,0.0,6.0,45.4,0.47
Bogdan Bogdanovic,G,ATL,81,12.0,8.0,6.0,2.0,0.0,2.0,34.6,0.43
Nicolas Batum,F-G,LAC,76,10.0,5.0,0.0,4.0,2.0,2.0,32.0,0.42
John Collins,C-F,ATL,85,22.0,8.0,1.0,0.0,0.0,0.0,33.1,0.39
Cameron Payne,G,PHX,77,13.0,4.0,4.0,1.0,1.0,1.0,28.8,0.37
Danilo Gallinari,F,ATL,81,21.0,4.0,1.0,0.0,1.0,0.0,30.3,0.37
Paul George,F,LAC,88,20.0,9.0,3.0,0.0,0.0,3.0,32.3,0.37
Luka Doncic,F-G,DAL,94,19.0,6.0,6.0,1.0,0.0,4.0,34.2,0.36
Derrick Rose,G,NYK,82,18.0,2.0,6.0,0.0,0.0,0.0,29.4,0.36
Devin Booker,G,PHX,89,17.0,7.0,5.0,1.0,0.0,5.0,30.9,0.35
Bruce Brown,F-G,BKN,78,14.0,7.0,1.0,0.0,1.0,0.0,26.9,0.34
Clint Capela,C,ATL,86,10.0,15.0,2.0,0.0,0.0,2.0,29.0,0.34
Kristaps Porzingis,C-F,DAL,86,18.0,5.0,0.0,0.0,1.0,0.0,27.0,0.31
Alec Burks,G,NYK,78,12.0,6.0,1.0,1.0,0.0,0.0,23.7,0.3
Rajon Rondo,G,LAC,76,7.0,5.0,4.0,1.0,1.0,2.0,23.0,0.3
Reggie Jackson,G,LAC,79,15.0,5.0,2.0,0.0,0.0,0.0,24.0,0.3
Joe Harris,F-G,BKN,79,14.0,4.0,3.0,0.0,0.0,0.0,23.3,0.29
Payton Pritchard,G,BOS,75,12.0,3.0,3.0,1.0,0.0,1.0,22.1,0.29
Evan Fournier,F-G,BOS,80,16.0,0.0,2.0,1.0,0.0,0.0,22.0,0.28
Marcus Morris Sr.,F,LAC,79,9.0,8.0,2.0,0.0,0.0,0.0,21.6,0.27
Jabari Parker,F,BOS,75,10.0,6.0,1.0,0.0,1.0,2.0,19.7,0.26
Taj Gibson,F,NYK,77,6.0,3.0,1.0,2.0,1.0,1.0,19.1,0.25
Mikal Bridges,F,PHX,83,11.0,4.0,2.0,1.0,0.0,1.0,20.8,0.25
Tristan Thompson,C-F,BOS,78,5.0,6.0,1.0,2.0,0.0,0.0,19.7,0.25
Boban Marjanovic,C,DAL,75,12.0,6.0,0.0,0.0,0.0,1.0,18.2,0.24
Obi Toppin,F,NYK,75,13.0,3.0,1.0,0.0,0.0,1.0,17.1,0.23
Anthony Davis,C-F,LAL,94,6.0,4.0,3.0,1.0,1.0,0.0,21.3,0.23
Kyle Kuzma,F,LAL,77,11.0,4.0,2.0,0.0,0.0,2.0,16.8,0.22
Dennis Schroder,G,LAL,77,8.0,4.0,3.0,0.0,0.0,1.0,16.3,0.21
Kevin Huerter,F-G,ATL,76,11.0,3.0,1.0,0.0,0.0,0.0,16.1,0.21
Dorian Finney-Smith,F,DAL,75,8.0,8.0,1.0,0.0,0.0,3.0,16.1,0.21
Jalen Brunson,G,DAL,80,7.0,4.0,3.0,0.0,0.0,0.0,16.3,0.2
Alex Caruso,G,LAL,73,10.0,3.0,1.0,0.0,1.0,4.0,14.100000000000001,0.19
Andre Drummond,C,LAL,83,5.0,10.0,0.0,0.0,0.0,1.0,16.0,0.19
Grant Williams,F,BOS,70,5.0,2.0,2.0,0.0,1.0,0.0,13.4,0.19
Aaron Nesmith,F-G,BOS,72,11.0,2.0,0.0,0.0,0.0,1.0,12.4,0.17
Nicolas Claxton,C-F,BKN,76,0.0,1.0,0.0,0.0,4.0,0.0,13.2,0.17
Landry Shamet,G,BKN,74,5.0,2.0,0.0,2.0,0.0,1.0,12.4,0.17
Maxi Kleber,F,DAL,73,0.0,5.0,2.0,1.0,0.0,0.0,12.0,0.16
Torrey Craig,F,PHX,79,5.0,5.0,0.0,0.0,1.0,1.0,13.0,0.16
Ivica Zubac,C,LAC,79,5.0,7.0,0.0,0.0,0.0,1.0,12.4,0.16
Romeo Langford,F-G,BOS,70,9.0,1.0,1.0,0.0,0.0,1.0,10.7,0.15
Josh Richardson,G,DAL,77,5.0,3.0,0.0,1.0,0.0,0.0,11.6,0.15
Wesley Matthews,F-G,LAL,73,6.0,2.0,1.0,0.0,0.0,0.0,9.9,0.14
Cameron Johnson,F,PHX,77,5.0,2.0,0.0,1.0,0.0,1.0,9.4,0.12
Kevin Knox II,F,NYK,72,2.0,1.0,1.0,0.0,1.0,0.0,7.7,0.11
Solomon Hill,F,ATL,70,3.0,2.0,1.0,0.0,0.0,0.0,6.9,0.1
De'Andre Hunter,F-G,ATL,81,5.0,2.0,0.0,0.0,1.0,2.0,8.4,0.1
Blake Griffin,F,BKN,77,2.0,2.0,0.0,0.0,1.0,0.0,7.4,0.1
Lou Williams,G,ATL,79,0.0,0.0,3.0,1.0,0.0,0.0,7.5,0.09
Reggie Bullock,F-G,NYK,75,0.0,4.0,2.0,0.0,0.0,1.0,6.8,0.09
Dwight Powell,C-F,DAL,77,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.09
Tim Hardaway Jr.,F-G,DAL,80,4.0,1.0,1.0,0.0,0.0,0.0,6.7,0.08
Ben McLemore,G,LAL,72,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.08
Amir Coffey,F-G,LAC,71,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.07
Tyler Johnson,G,BKN,71,2.0,0.0,0.0,1.0,0.0,0.0,5.0,0.07
Daniel Oturu,C,LAC,71,2.0,0.0,0.0,0.0,1.0,0.0,5.0,0.07
Onyeka Okongwu,C-F,ATL,76,2.0,3.0,0.0,0.0,0.0,1.0,4.6,0.06
