PLAYER_NAME,POSITION,TEAM,RATING,GP,TOP_TEN,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Jrue Holiday,G,MIL,86,3,2.0,27.67,6.33,9.0,2.33,0.67,3.0,58.77,0.64
Robert Williams III,C-F,BOS,77,2,2.0,18.0,8.5,5.0,1.5,1.5,0.0,48.7,0.58
Draymond Green,F,GSW,80,2,2.0,13.5,8.5,9.5,4.0,0.0,4.0,49.95,0.57
Bogdan Bogdanovic,G,ATL,76,3,3.0,21.33,5.0,5.67,1.33,1.0,1.33,47.5,0.55
Nikola Vucevic,C,CHI,87,3,2.0,20.67,10.33,3.0,1.33,1.33,0.33,49.23,0.52
Stephen Curry,G,GSW,96,2,0.0,36.5,8.0,2.5,1.0,0.5,5.5,48.85,0.51
Damian Lillard,G,POR,94,3,2.0,27.0,3.67,7.0,2.33,0.33,2.67,51.23,0.5
Pascal Siakam,F,TOR,84,3,3.0,24.0,6.33,4.0,1.67,0.33,1.67,47.93,0.5
Kawhi Leonard,F,LAC,96,3,0.0,23.67,9.0,5.67,1.67,0.33,2.33,46.63,0.49
Jimmy Butler,F,MIA,90,3,1.0,18.33,5.33,7.67,2.67,0.33,1.33,45.9,0.49
Jamal Murray,G,DEN,86,3,1.0,25.0,6.33,3.33,1.67,0.0,1.0,43.6,0.48
Michael Porter Jr.,F,DEN,82,3,1.0,22.33,9.33,1.67,0.33,1.33,1.67,41.37,0.48
James Johnson,F,NOP,77,3,1.0,17.0,4.67,3.67,1.33,2.33,2.0,39.1,0.48
Bam Adebayo,C-F,MIA,88,3,2.0,17.67,9.0,6.0,0.67,1.33,2.0,45.47,0.47
OG Anunoby,F,TOR,78,3,1.0,18.33,6.67,2.33,1.67,0.67,1.33,37.5,0.46
Caris LeVert,G,IND,83,3,1.0,18.67,3.0,6.67,3.0,0.33,4.0,40.27,0.46
Mason Plumlee,C-F,DET,80,2,0.0,11.0,10.5,4.0,1.0,1.5,1.0,36.1,0.45
CJ McCollum,G,POR,88,3,2.0,20.67,3.0,5.67,1.67,1.0,1.33,43.43,0.45
Jayson Tatum,F-G,BOS,90,3,2.0,24.33,8.67,2.33,1.0,0.33,2.33,43.9,0.44
Thaddeus Young,F,CHI,80,3,0.0,18.67,7.33,4.0,0.67,0.33,1.0,35.47,0.44
Danilo Gallinari,F,ATL,79,2,0.0,20.5,11.0,0.5,0.5,0.0,1.0,34.95,0.44
Kyle Anderson,F-G,MEM,81,3,0.0,11.67,8.33,3.33,1.0,2.33,1.0,35.67,0.44
Gary Trent Jr.,F-G,TOR,78,3,0.0,23.67,3.0,1.0,1.0,0.67,0.0,33.77,0.43
Khris Middleton,F,MIL,86,3,0.0,17.67,5.33,7.0,2.0,0.0,3.33,37.23,0.43
Dennis Schroder,G,LAL,77,3,1.0,14.0,3.33,7.67,2.0,0.33,3.33,35.17,0.43
Malachi Flynn,G,TOR,71,3,0.0,11.33,3.67,3.67,2.67,1.0,1.67,30.57,0.43
Jonas Valanciunas,C,MEM,82,3,0.0,17.0,12.33,2.0,0.33,0.0,0.33,35.47,0.43
