PLAYER_NAME,POSITION,TEAM,RATING,TOP_TEN,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Russell Westbrook,G,WAS,86,7.0,23.1,11.5,10.8,1.4,0.4,4.8,67.7,0.62
Kyrie Irving,G,BKN,91,3.0,28.6,5.1,7.5,1.3,0.6,2.6,55.07,0.54
Donovan Mitchell,G,UTA,88,3.0,29.3,4.6,5.7,1.1,0.3,2.8,50.77,0.51
Stephen Curry,G,GSW,96,0.0,31.4,5.3,6.5,1.3,0.1,3.3,48.41,0.5
Rudy Gobert,C,UTA,88,1.0,16.2,14.0,1.2,0.6,2.9,1.7,45.6,0.5
De'Aaron Fox,G,SAC,87,3.0,25.1,3.9,7.3,1.4,0.5,3.2,49.23,0.5
Christian Wood,F,HOU,85,0.0,20.9,10.4,1.7,1.0,1.7,2.1,41.93,0.49
John Wall,G,HOU,82,1.0,20.7,4.1,7.0,1.2,0.8,3.5,40.62,0.47
Damian Lillard,G,POR,94,2.0,27.3,4.5,7.4,0.9,0.2,3.0,48.1,0.47
Andre Drummond,C,LAL,83,0.0,16.0,12.0,2.5,1.5,1.1,2.9,39.05,0.47
Pascal Siakam,F,TOR,83,5.0,20.8,7.0,4.5,1.1,0.5,2.2,48.55,0.46
Devin Booker,G,PHX,89,3.0,28.2,4.3,4.8,0.9,0.3,3.4,46.76,0.46
Tobias Harris,F,PHI,86,1.0,20.8,8.0,3.6,0.9,0.9,2.0,41.2,0.46
Ben Simmons,F-G,PHI,88,0.0,15.2,7.9,7.6,1.5,0.7,3.4,39.28,0.45
Moses Brown,C,OKC,77,1.0,12.7,11.5,0.7,0.7,1.7,1.3,35.45,0.43
Deandre Ayton,C,PHX,84,2.0,16.5,11.0,1.4,0.4,1.3,1.7,39.2,0.42
Chris Paul,G,PHX,88,2.0,16.0,4.8,8.4,1.5,0.2,2.3,41.16,0.42
Andrew Wiggins,F-G,GSW,79,1.0,19.5,5.2,2.4,0.8,0.9,2.1,34.34,0.41
Enes Kanter,C,POR,81,2.0,11.9,13.7,1.4,0.4,1.1,1.4,37.54,0.41
Kelly Olynyk,C-F,HOU,74,3.0,13.0,7.6,2.7,1.2,0.9,1.9,36.57,0.41
Draymond Green,F,GSW,80,2.0,7.8,6.6,8.9,1.7,0.7,3.1,37.17,0.41
Collin Sexton,G,CLE,83,0.0,23.4,2.9,3.7,1.1,0.1,2.5,33.53,0.4
Mike Conley,G,UTA,84,2.0,17.3,3.8,6.0,1.3,0.2,2.0,37.36,0.4
Kevin Porter Jr.,F-G,HOU,75,1.0,14.6,3.3,6.2,1.2,0.4,3.0,31.66,0.4
Dennis Schroder,G,LAL,77,1.0,16.2,3.9,5.3,1.2,0.2,2.9,32.129999999999995,0.39
Richaun Holmes,C-F,SAC,82,2.0,13.6,8.8,1.7,0.6,1.6,1.4,35.91,0.39
OG Anunoby,F,TOR,79,1.0,14.4,5.9,1.8,1.7,0.8,1.7,31.98,0.38
Chris Boucher,C-F,TOR,80,2.0,13.9,6.9,1.1,0.5,1.9,0.8,34.230000000000004,0.38
Robert Covington,F,POR,77,1.0,10.1,7.3,1.8,1.6,1.3,1.2,31.06,0.38
Tyrese Haliburton,G,SAC,82,0.0,14.3,3.7,4.8,1.3,0.6,1.6,30.04,0.37
Isaiah Hartenstein,C-F,CLE,76,0.0,8.1,8.3,1.6,0.8,2.0,1.6,27.26,0.36
Aleksej Pokusevski,C,OKC,73,0.0,11.0,7.1,2.4,0.7,1.2,2.5,26.32,0.36
Darius Garland,G,CLE,79,1.0,16.3,2.6,5.9,1.1,0.1,3.1,30.77,0.36
Buddy Hield,G,SAC,77,0.0,15.3,4.4,2.8,0.8,0.4,1.7,26.68,0.35
Jae'Sean Tate,F,HOU,77,0.0,11.8,6.0,2.2,1.3,0.7,1.3,27.0,0.35
Kevin Love,C-F,CLE,80,0.0,13.0,8.2,2.4,0.4,0.4,2.0,26.84,0.34
Harrison Barnes,F,SAC,80,0.0,13.4,6.3,3.6,0.7,0.2,1.6,27.46,0.34
Saddiq Bey,F,DET,77,0.0,15.4,5.5,1.9,0.8,0.1,1.2,26.35,0.34
Norman Powell,"['G', 'G']",POR,82,0.0,17.1,3.5,2.1,1.5,0.2,1.9,27.65,0.34
Joe Ingles,F-G,UTA,81,0.0,13.2,4.1,5.3,1.0,0.2,1.9,27.77,0.34
LaMarcus Aldridge,C-F,BKN,81,0.0,14.1,5.7,1.7,0.5,1.0,1.1,26.89,0.33
Jae Crowder,F,PHX,77,0.0,11.8,5.3,2.2,1.0,0.4,1.0,24.66,0.32
James Wiseman,C,GSW,79,0.0,12.3,7.2,0.9,0.4,1.3,1.9,25.49,0.32
Markieff Morris,F,LAL,74,0.0,10.9,7.0,1.7,0.3,0.7,1.2,23.65,0.32
Dean Wade,C-F,CLE,74,0.0,10.6,6.0,2.4,0.4,0.4,0.4,23.4,0.32
Rui Hachimura,F,WAS,77,1.0,13.6,5.9,1.6,0.8,0.1,1.3,26.48,0.32
Mikal Bridges,F,PHX,83,1.0,13.1,4.8,2.2,0.9,0.7,0.9,28.06,0.31
Bojan Bogdanovic,F,UTA,76,0.0,15.1,3.8,2.0,0.6,0.1,1.3,23.46,0.31
