PLAYER_NAME,POSITION,TEAM,RATING,GP,TOP_TEN,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Kentavious Caldwell-Pope,G,LAL,75,5,0.0,12.8,4.6,1.8,0.6,0.4,1.6,22.42,0.3
Tony Bradley,C-F,OKC,76,5,0.0,9.8,6.8,1.4,0.4,1.0,1.4,22.86,0.3
Blake Griffin,F,BKN,78,3,0.0,10.33,5.33,2.67,0.67,0.67,1.33,23.4,0.3
Killian Hayes,G,DET,73,3,0.0,6.67,3.67,4.0,1.33,1.0,2.0,22.07,0.3
Josh Jackson,F-G,DET,76,5,0.0,13.4,4.0,2.2,1.2,0.0,2.0,23.1,0.3
Jae Crowder,F,PHX,77,5,0.0,7.6,5.0,2.4,0.8,1.2,1.2,22.0,0.29
Moses Brown,C,OKC,77,5,1.0,8.0,9.4,0.0,0.4,1.0,1.2,24.28,0.29
Talen Horton-Tucker,G,LAL,75,4,0.0,12.75,3.0,2.0,1.75,0.0,2.5,22.1,0.29
Alex Len,C,WAS,75,5,0.0,8.8,5.4,0.4,0.8,1.4,0.8,21.68,0.29
Kenyon Martin Jr.,F,HOU,67,5,0.0,8.8,4.4,1.0,0.2,1.0,0.2,18.98,0.28
Shake Milton,F-G,PHI,78,5,0.0,14.0,2.8,2.0,0.6,0.0,1.4,20.76,0.27
Andre Drummond,C,LAL,83,2,0.0,9.5,6.5,2.5,1.0,0.5,3.0,22.55,0.27
Mikal Bridges,F,PHX,83,5,1.0,12.6,2.6,1.0,0.8,1.0,0.4,24.22,0.27
Davis Bertans,F,WAS,77,4,0.0,14.0,3.25,1.0,0.75,0.0,1.0,20.65,0.27
Jaylen Hoard,F,OKC,69,3,0.0,11.67,4.0,1.0,0.33,0.33,1.67,18.3,0.27
