PLAYER_NAME,POSITION,TEAM,RATING,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Kelly Oubre Jr.,F-G,GSW,79,20.0,11.0,2.0,2.0,3.0,1.0,50.2,0.64
Clint Capela,C,ATL,86,24.0,18.0,0.0,1.0,2.0,1.0,53.599999999999994,0.62
James Johnson,F,NOP,77,18.0,7.0,3.0,2.0,4.0,1.0,47.9,0.62
Lonzo Ball,G,NOP,80,27.0,4.0,9.0,3.0,0.0,6.0,48.3,0.6
Nikola Vucevic,C,CHI,87,22.0,13.0,2.0,2.0,2.0,1.0,51.6,0.59
Kyrie Irving,G,BKN,91,24.0,2.0,15.0,2.0,0.0,1.0,53.9,0.59
Chuma Okeke,F,ORL,72,19.0,7.0,5.0,2.0,1.0,2.0,41.9,0.58
Kelly Olynyk,C-F,HOU,74,26.0,8.0,3.0,0.0,1.0,0.0,43.1,0.58
Draymond Green,F,GSW,80,11.0,7.0,11.0,4.0,0.0,4.0,43.9,0.55
Tomas Satoransky,F-G,CHI,75,19.0,1.0,11.0,2.0,0.0,2.0,40.7,0.54
Nikola Jokic,C,DEN,95,17.0,9.0,16.0,1.0,0.0,4.0,50.8,0.53
Wendell Carter Jr.,C-F,ORL,80,16.0,9.0,4.0,3.0,1.0,2.0,42.8,0.53
Aaron Gordon,F,DEN,80,24.0,7.0,2.0,0.0,2.0,1.0,40.4,0.5
Robert Williams III,C-F,BOS,77,16.0,8.0,2.0,2.0,1.0,0.0,37.6,0.49
Kawhi Leonard,F,LAC,96,19.0,10.0,8.0,2.0,0.0,2.0,47.0,0.49
Stephen Curry,G,GSW,96,37.0,5.0,2.0,2.0,1.0,8.0,47.0,0.49
Terry Rozier,G,CHA,82,22.0,7.0,4.0,1.0,1.0,3.0,39.4,0.48
Steven Adams,C,NOP,80,12.0,11.0,3.0,2.0,1.0,1.0,37.7,0.47
Danilo Gallinari,F,ATL,79,25.0,10.0,0.0,0.0,0.0,1.0,36.0,0.46
Will Barton,G,DEN,75,15.0,8.0,4.0,1.0,1.0,3.0,33.6,0.45
Grayson Allen,G,MEM,76,15.0,5.0,2.0,2.0,2.0,2.0,34.0,0.45
Terrence Ross,F-G,ORL,77,19.0,3.0,4.0,1.0,1.0,1.0,33.6,0.44
Michael Porter Jr.,F,DEN,82,20.0,12.0,0.0,0.0,1.0,1.0,36.4,0.44
Jamal Murray,G,DEN,86,22.0,5.0,4.0,2.0,0.0,2.0,38.0,0.44
Montrezl Harrell,C-F,LAL,82,19.0,6.0,2.0,0.0,2.0,1.0,34.2,0.42
R.J. Hampton,G,ORL,72,16.0,4.0,3.0,2.0,0.0,1.0,30.3,0.42
Kyle Anderson,F-G,MEM,81,10.0,6.0,2.0,2.0,3.0,1.0,34.2,0.42
Tobias Harris,F,PHI,86,21.0,8.0,3.0,0.0,1.0,2.0,36.1,0.42
Jayson Tatum,F-G,BOS,90,22.0,8.0,4.0,0.0,0.0,0.0,37.6,0.42
Christian Wood,F,HOU,85,15.0,12.0,3.0,1.0,0.0,2.0,34.9,0.41
Willy Hernangomez,C-F,NOP,76,15.0,12.0,1.0,1.0,0.0,3.0,30.9,0.41
James Ennis III,F,ORL,76,17.0,2.0,5.0,2.0,0.0,2.0,30.9,0.41
Evan Fournier,F-G,BOS,82,17.0,0.0,6.0,2.0,1.0,1.0,34.0,0.41
Jae'Sean Tate,F,HOU,77,19.0,5.0,3.0,1.0,0.0,2.0,30.5,0.4
Eric Bledsoe,G,NOP,78,19.0,4.0,2.0,1.0,1.0,2.0,30.799999999999997,0.39
Zach LaVine,F-G,CHI,88,25.0,3.0,5.0,0.0,0.0,2.0,34.1,0.39
Andrew Wiggins,F-G,GSW,79,16.0,5.0,2.0,2.0,0.0,0.0,31.0,0.39
Dillon Brooks,F-G,MEM,76,17.0,5.0,3.0,0.0,1.0,2.0,28.5,0.38
Jonas Valanciunas,C,MEM,82,16.0,12.0,1.0,0.0,0.0,1.0,30.9,0.38
Paul Reed,F,PHI,69,10.0,6.0,2.0,1.0,1.0,1.0,25.2,0.37
Naji Marshall,F,NOP,68,12.0,4.0,5.0,0.0,1.0,2.0,25.3,0.37
Jaxson Hayes,C-F,NOP,76,11.0,7.0,2.0,1.0,1.0,0.0,28.4,0.37
Dwight Howard,C-F,PHI,79,9.0,12.0,3.0,0.0,1.0,2.0,28.9,0.37
Talen Horton-Tucker,G,LAL,75,16.0,5.0,0.0,2.0,0.0,0.0,28.0,0.37
Marcus Morris Sr.,F,LAC,78,22.0,7.0,0.0,0.0,0.0,2.0,28.4,0.36
