PLAYER_NAME,POSITION,TEAM,RATING,GP,TOP5,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Luka Doncic,F-G,DAL,94,11,1.0,28.0,8.82,10.09,1.09,0.36,4.73,55.35,0.57
Nikola Jokic,C,DEN,95,12,6.0,27.5,11.0,6.83,1.17,1.0,3.08,66.37,0.57
Julius Randle,C-F,NYK,87,12,4.0,29.58,8.17,5.33,1.17,0.33,3.33,56.55,0.56
Jayson Tatum,F-G,BOS,89,11,4.0,30.09,8.55,5.09,0.73,0.45,3.0,56.53,0.55
Giannis Antetokounmpo,F,MIL,96,11,4.0,26.91,9.91,4.91,1.36,1.0,3.0,58.25,0.52
Nikola Vucevic,C,CHI,87,10,4.0,22.7,12.3,3.9,0.9,0.5,2.0,53.51,0.52
Zion Williamson,F,NOP,90,12,2.0,27.67,7.58,3.92,1.08,0.5,3.58,47.81,0.49
Anthony Edwards,G,MIN,81,12,3.0,23.5,5.83,3.67,1.5,0.58,2.42,45.83,0.49
Damian Lillard,G,POR,94,9,1.0,26.78,4.22,7.22,1.44,0.22,2.67,47.01,0.48
Joel Embiid,C-F,PHI,95,11,0.0,27.45,10.18,2.45,0.73,1.18,3.09,45.99,0.48
Karl-Anthony Towns,C-F,MIN,88,10,6.0,24.0,9.3,4.6,0.7,0.6,3.4,54.56,0.48
DeMar DeRozan,F-G,SAS,87,9,3.0,22.89,4.11,7.67,1.0,0.33,1.67,47.66,0.48
Jrue Holiday,G,MIL,87,12,3.0,19.58,4.83,7.58,1.42,0.75,2.5,46.76,0.47
Kemba Walker,G,BOS,83,6,0.0,23.83,5.17,4.83,1.0,0.17,1.67,39.12,0.47
Collin Sexton,G,CLE,83,9,0.0,25.44,4.89,4.22,0.89,0.56,3.22,38.76,0.47
Lonzo Ball,G,NOP,80,11,4.0,15.18,6.73,6.36,2.0,0.55,2.82,45.62,0.47
Bam Adebayo,C-F,MIA,88,11,2.0,18.73,7.73,5.64,2.0,0.55,2.82,45.27,0.47
Terry Rozier,G,CHA,82,12,1.0,19.58,4.75,6.67,0.92,0.42,1.58,39.7,0.46
Michael Porter Jr.,F,DEN,84,12,2.0,24.33,6.58,1.58,0.42,1.17,1.5,41.86,0.45
Chris Paul,G,PHX,88,12,2.0,17.92,4.0,9.33,1.25,0.5,2.25,43.72,0.45
Rudy Gobert,C,UTA,88,11,2.0,13.91,13.27,0.82,0.73,2.82,1.82,43.88,0.45
Khris Middleton,F,MIL,85,11,1.0,20.36,5.91,5.45,1.27,0.0,2.0,39.45,0.44
Buddy Hield,G,SAC,77,12,0.0,17.25,5.58,4.08,1.17,0.83,1.83,34.24,0.44
Jusuf Nurkic,C,POR,80,11,1.0,13.91,10.55,3.27,0.73,1.18,1.82,37.38,0.44
Mo Bamba,C,ORL,75,10,1.0,12.2,9.5,1.3,0.7,2.0,1.4,34.25,0.43
Dejounte Murray,G,SAS,82,10,2.0,15.3,8.1,6.1,1.1,0.1,2.2,39.57,0.43
CJ McCollum,G,POR,87,12,2.0,21.75,4.5,5.0,0.83,0.42,1.67,40.73,0.42
P.J. Washington,F,CHA,80,10,1.0,19.6,5.5,1.7,1.0,1.1,1.5,35.55,0.42
Devin Booker,G,PHX,89,12,3.0,25.83,4.08,4.0,0.75,0.17,2.42,43.07,0.42
Coby White,G,CHI,76,12,0.0,18.0,3.25,6.08,0.58,0.42,2.58,31.44,0.41
LaMelo Ball,G,CHA,85,4,0.0,13.0,6.0,7.0,1.75,0.75,3.25,34.95,0.41
Marvin Bagley III,F,SAC,80,4,0.0,19.5,8.0,1.25,0.75,0.25,2.0,31.98,0.4
Marcus Smart,G,BOS,80,10,0.0,12.9,4.7,6.4,1.7,0.4,2.3,32.14,0.4
Ben Simmons,F-G,PHI,86,8,0.0,12.12,5.12,5.38,2.0,0.75,1.25,33.34,0.39
Cole Anthony,G,ORL,74,12,0.0,14.67,4.75,5.25,0.58,0.33,2.42,28.58,0.39
Jordan Clarkson,G,UTA,82,11,0.0,19.36,4.45,3.36,1.0,0.09,1.73,31.3,0.38
Jakob Poeltl,C,SAS,78,10,1.0,11.1,7.0,2.0,0.9,2.1,1.5,32.0,0.38
