PLAYER_NAME,POSITION,TEAM,RATING,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Jayson Tatum,F-G,BOS,89,60.0,8.0,5.0,0.0,1.0,0.0,80.1,0.9
DeMar DeRozan,F-G,SAS,87,30.0,5.0,14.0,2.0,0.0,2.0,61.0,0.7
Damian Lillard,G,POR,94,32.0,7.0,9.0,1.0,0.0,1.0,55.9,0.59
Tyrese Haliburton,G,SAC,82,23.0,4.0,10.0,2.0,1.0,4.0,47.8,0.58
Dejounte Murray,G,SAS,82,24.0,8.0,8.0,1.0,0.0,2.0,46.6,0.57
Anthony Davis,C-F,LAL,94,22.0,11.0,3.0,0.0,5.0,2.0,52.7,0.56
Nikola Vucevic,C,CHI,87,17.0,15.0,4.0,1.0,1.0,0.0,47.0,0.54
Bobby Portis,F,MIL,81,16.0,14.0,1.0,2.0,1.0,0.0,43.3,0.53
Russell Westbrook,G,WAS,88,15.0,12.0,11.0,1.0,0.0,3.0,45.9,0.52
Mo Bamba,C,ORL,75,15.0,11.0,1.0,0.0,4.0,3.0,38.7,0.52
Brook Lopez,C,MIL,79,22.0,2.0,3.0,0.0,4.0,1.0,39.9,0.51
Coby White,G,CHI,76,21.0,1.0,7.0,1.0,1.0,1.0,37.7,0.5
Jonas Valanciunas,C,MEM,83,14.0,15.0,2.0,1.0,1.0,0.0,41.0,0.49
Tristan Thompson,C-F,BOS,78,8.0,15.0,5.0,0.0,2.0,2.0,37.5,0.48
Dwight Howard,C-F,PHI,80,19.0,11.0,1.0,0.0,2.0,1.0,38.7,0.48
Marcus Smart,G,BOS,80,10.0,4.0,12.0,2.0,1.0,3.0,38.8,0.48
Richaun Holmes,C-F,SAC,82,22.0,9.0,3.0,0.0,1.0,2.0,38.3,0.47
Mikal Bridges,F,PHX,83,18.0,1.0,2.0,3.0,2.0,0.0,37.2,0.45
Ben Simmons,F-G,PHI,86,18.0,6.0,5.0,1.0,1.0,0.0,38.7,0.45
Khris Middleton,F,MIL,85,22.0,8.0,6.0,0.0,0.0,2.0,38.6,0.45
Ish Smith,G,WAS,73,11.0,3.0,4.0,3.0,1.0,1.0,31.6,0.43
Jusuf Nurkic,C,POR,80,23.0,11.0,1.0,0.0,0.0,3.0,34.7,0.43
