PLAYER_NAME,POSITION,TEAM,RATING,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Chris Boucher,C-F,TOR,80,38.0,19.0,1.0,1.0,1.0,1.0,67.3,0.84
Zach LaVine,F-G,CHI,88,22.0,6.0,13.0,3.0,1.0,5.0,55.7,0.63
Kristaps Porzingis,C-F,DAL,86,26.0,17.0,1.0,0.0,2.0,1.0,52.9,0.62
Cory Joseph,G,DET,71,24.0,3.0,7.0,1.0,1.0,3.0,41.1,0.58
Paul George,F,LAC,90,33.0,7.0,3.0,2.0,0.0,1.0,50.9,0.57
Donovan Mitchell,G,UTA,88,37.0,5.0,4.0,1.0,0.0,3.0,49.0,0.56
Jimmy Butler,F,MIA,90,28.0,7.0,5.0,3.0,0.0,3.0,49.9,0.55
De'Aaron Fox,G,SAC,86,23.0,9.0,7.0,2.0,0.0,3.0,47.3,0.55
Pascal Siakam,F,TOR,84,27.0,8.0,1.0,0.0,3.0,2.0,45.1,0.54
Luka Doncic,F-G,DAL,93,27.0,9.0,9.0,0.0,1.0,4.0,50.3,0.54
Bobby Portis,F,MIL,80,20.0,14.0,2.0,1.0,0.0,0.0,42.8,0.53
Isaiah Stewart,C-F,DET,76,16.0,13.0,4.0,1.0,1.0,3.0,40.6,0.53
Rudy Gobert,C,UTA,88,18.0,20.0,2.0,0.0,1.0,1.0,47.0,0.53
Taurean Prince,F,CLE,73,22.0,3.0,6.0,1.0,0.0,0.0,37.6,0.52
Kenrich Williams,F-G,OKC,76,12.0,7.0,9.0,2.0,0.0,2.0,37.9,0.5
Kentavious Caldwell-Pope,G,LAL,75,28.0,4.0,1.0,0.0,1.0,1.0,36.3,0.48
Dean Wade,C-F,CLE,70,12.0,4.0,3.0,2.0,2.0,0.0,33.3,0.48
Collin Sexton,G,CLE,83,27.0,3.0,4.0,1.0,0.0,0.0,39.6,0.48
Rajon Rondo,G,LAC,75,15.0,3.0,9.0,1.0,0.0,0.0,35.1,0.47
Dorian Finney-Smith,F,DAL,74,9.0,10.0,3.0,0.0,3.0,0.0,34.5,0.47
Moses Brown,C,OKC,67,13.0,11.0,0.0,1.0,1.0,1.0,31.200000000000003,0.47
Kevin Love,C-F,CLE,82,18.0,11.0,2.0,2.0,0.0,2.0,38.2,0.47
Donte DiVincenzo,G,MIL,77,22.0,6.0,2.0,2.0,0.0,2.0,36.2,0.47
Richaun Holmes,C-F,SAC,81,15.0,9.0,1.0,2.0,2.0,2.0,37.3,0.46
Isaiah Hartenstein,C-F,CLE,74,8.0,12.0,6.0,0.0,1.0,1.0,33.4,0.45
Josh Richardson,F-G,DAL,78,14.0,5.0,4.0,2.0,1.0,0.0,35.0,0.45
Andre Drummond,C,LAL,83,15.0,12.0,3.0,2.0,0.0,3.0,36.9,0.44
Dennis Schroder,G,LAL,77,10.0,6.0,14.0,1.0,0.0,7.0,34.2,0.44
OG Anunoby,F,TOR,78,13.0,4.0,6.0,3.0,0.0,2.0,33.8,0.43
Nikola Vucevic,C,CHI,87,22.0,7.0,4.0,1.0,0.0,2.0,37.4,0.43
Ty Jerome,F-G,OKC,74,23.0,3.0,3.0,0.0,0.0,0.0,31.1,0.42
Victor Oladipo,G,MIA,81,18.0,4.0,2.0,3.0,1.0,4.0,33.8,0.42
Joe Ingles,F-G,UTA,80,13.0,5.0,6.0,2.0,0.0,0.0,34.0,0.42
Malachi Flynn,G,TOR,71,9.0,3.0,8.0,2.0,0.0,2.0,28.6,0.4
Deandre Ayton,C,PHX,84,18.0,10.0,3.0,0.0,1.0,4.0,33.5,0.4
Darius Garland,G,CLE,77,21.0,3.0,5.0,0.0,0.0,3.0,29.1,0.38
Thaddeus Young,F,CHI,80,11.0,9.0,6.0,0.0,0.0,0.0,30.799999999999997,0.38
Damian Lillard,G,POR,94,23.0,5.0,6.0,0.0,0.0,2.0,36.0,0.38
Mikal Bridges,F,PHX,83,20.0,5.0,1.0,0.0,1.0,0.0,30.5,0.37
Kawhi Leonard,F,LAC,96,27.0,5.0,5.0,0.0,0.0,5.0,35.5,0.37
CJ McCollum,G,POR,88,19.0,3.0,2.0,1.0,1.0,0.0,31.6,0.36
Bam Adebayo,C-F,MIA,88,13.0,7.0,4.0,0.0,2.0,2.0,31.4,0.36
Devin Booker,G,PHX,88,24.0,3.0,3.0,0.0,0.0,0.0,32.1,0.36
Daniel Theis,C-F,CHI,78,14.0,10.0,3.0,0.0,0.0,3.0,27.5,0.35
Khris Middleton,F,MIL,86,14.0,8.0,3.0,1.0,0.0,1.0,30.1,0.35
Jusuf Nurkic,C,POR,80,10.0,6.0,4.0,1.0,1.0,2.0,27.2,0.34
Patrick Williams,F,CHI,76,11.0,7.0,1.0,1.0,1.0,1.0,25.9,0.34
Matthew Dellavedova,G,CLE,70,2.0,6.0,7.0,1.0,0.0,0.0,22.7,0.32
Wesley Matthews,F-G,LAL,73,14.0,1.0,1.0,2.0,1.0,2.0,23.7,0.32
Brook Lopez,C,MIL,78,16.0,4.0,1.0,1.0,0.0,0.0,25.3,0.32
Montrezl Harrell,C-F,LAL,82,10.0,9.0,1.0,2.0,0.0,3.0,25.299999999999997,0.31
Aleksej Pokusevski,C,OKC,71,10.0,6.0,2.0,0.0,2.0,4.0,22.2,0.31
Chris Paul,G,PHX,88,13.0,7.0,3.0,1.0,0.0,2.0,26.9,0.31
Tyler Herro,G,MIA,80,15.0,2.0,1.0,2.0,0.0,1.0,23.9,0.3
Saddiq Bey,F,DET,78,12.0,6.0,0.0,2.0,0.0,2.0,23.2,0.3
Theo Maledon,G,OKC,75,14.0,2.0,4.0,1.0,0.0,3.0,22.4,0.3
Tyrese Haliburton,G,SAC,83,9.0,1.0,7.0,2.0,0.0,3.0,23.7,0.29
Dwight Powell,C-F,DAL,76,8.0,4.0,0.0,2.0,1.0,0.0,21.8,0.29
Jaylen Hoard,F,OKC,69,12.0,5.0,2.0,0.0,0.0,1.0,20.0,0.29
Isaac Okoro,F-G,CLE,73,15.0,1.0,2.0,1.0,0.0,1.0,21.2,0.29
Tomas Satoransky,F-G,CHI,75,9.0,2.0,7.0,0.0,0.0,1.0,20.9,0.28
Maxi Kleber,F,DAL,75,12.0,5.0,0.0,2.0,0.0,3.0,21.0,0.28
Robert Covington,F,POR,77,8.0,4.0,2.0,0.0,2.0,0.0,21.8,0.28
Marcus Morris Sr.,F,LAC,78,8.0,6.0,1.0,2.0,0.0,1.0,21.7,0.28
Norman Powell,"['G', 'G']",POR,81,13.0,5.0,1.0,1.0,0.0,1.0,22.5,0.28
Svi Mykhailiuk,F-G,OKC,74,10.0,4.0,2.0,1.0,0.0,1.0,19.8,0.27
Jrue Holiday,G,MIL,86,13.0,5.0,3.0,0.0,1.0,3.0,23.5,0.27
Josh Jackson,F-G,DET,76,10.0,7.0,2.0,1.0,0.0,4.0,20.4,0.27
Hamidou Diallo,G,DET,77,10.0,3.0,1.0,1.0,1.0,0.0,21.1,0.27
Lauri Markkanen,C-F,CHI,83,18.0,3.0,0.0,0.0,0.0,0.0,21.6,0.26
Harrison Barnes,F,SAC,80,13.0,4.0,2.0,0.0,0.0,0.0,20.8,0.26
