PLAYER_NAME,POSITION,TEAM,RATING,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Russell Westbrook,G,WAS,86,22.0,15.0,14.0,2.0,0.0,5.0,62.0,0.72
Michael Porter Jr.,F,DEN,82,27.0,12.0,4.0,1.0,1.0,2.0,51.4,0.63
Bogdan Bogdanovic,G,ATL,76,22.0,4.0,6.0,4.0,0.0,1.0,46.8,0.62
Michael Carter-Williams,G,ORL,74,8.0,7.0,9.0,3.0,2.0,0.0,44.9,0.61
Jamal Murray,G,DEN,86,30.0,6.0,4.0,3.0,0.0,0.0,52.2,0.61
Gordon Hayward,F,CHA,85,26.0,11.0,6.0,1.0,0.0,4.0,47.2,0.56
Trae Young,G,ATL,87,19.0,2.0,13.0,3.0,0.0,3.0,46.9,0.54
Devonte' Graham,G,CHA,78,17.0,5.0,6.0,3.0,0.0,0.0,41.0,0.53
Terry Rozier,G,CHA,82,27.0,7.0,4.0,0.0,1.0,2.0,42.4,0.52
Rui Hachimura,F,WAS,77,30.0,4.0,3.0,0.0,0.0,2.0,37.3,0.48
Clint Capela,C,ATL,86,16.0,16.0,0.0,0.0,1.0,0.0,38.2,0.44
Chuma Okeke,F,ORL,72,18.0,4.0,2.0,3.0,0.0,3.0,31.799999999999997,0.44
Kawhi Leonard,F,LAC,96,28.0,5.0,5.0,1.0,0.0,3.0,41.5,0.43
Cody Zeller,C-F,CHA,79,16.0,13.0,2.0,0.0,0.0,1.0,33.6,0.43
Jae Crowder,F,PHX,77,19.0,4.0,3.0,1.0,1.0,2.0,32.3,0.42
Deandre Ayton,C,PHX,84,13.0,14.0,2.0,1.0,0.0,2.0,33.8,0.4
Reggie Jackson,G,LAC,77,15.0,3.0,7.0,1.0,0.0,2.0,30.1,0.39
Terance Mann,F-G,LAC,72,9.0,7.0,6.0,1.0,0.0,2.0,27.4,0.38
Wendell Carter Jr.,C-F,ORL,80,11.0,6.0,3.0,0.0,3.0,2.0,29.7,0.37
Mike Scott,F,PHI,71,9.0,7.0,0.0,2.0,1.0,0.0,26.4,0.37
Robin Lopez,C,WAS,76,16.0,11.0,0.0,0.0,0.0,1.0,28.2,0.37
