PLAYER_NAME,POSITION,TEAM,RATING,GP,PTS,REB,AST,TOV,STL,BLK,SCR,AVG
Luka Doncic,F-G,DAL,93,5,31.4,7.2,8.4,4.8,1.4,0.6,51.84,0.56
Nikola Jokic,C,DEN,95,5,24.6,12.0,8.8,3.2,1.2,0.6,52.6,0.55
Giannis Antetokounmpo,F,MIL,96,4,25.5,11.75,9.25,4.25,1.0,0.5,52.22,0.54
Karl-Anthony Towns,C-F,MIN,89,5,29.8,8.0,4.6,3.2,0.8,0.8,46.3,0.52
Donovan Mitchell,G,UTA,88,5,30.2,4.6,6.0,2.4,1.6,0.0,45.52,0.52
Bam Adebayo,C-F,MIA,88,5,21.8,9.4,5.2,2.0,0.8,2.0,44.48,0.51
Jaylen Brown,F-G,BOS,89,5,26.4,7.4,3.4,2.4,1.4,1.0,42.78,0.48
Anthony Edwards,G,MIN,77,5,25.4,5.6,3.2,2.6,1.2,0.2,37.12,0.48
John Wall,G,HOU,82,4,21.0,4.5,7.75,3.25,1.25,0.5,38.28,0.47
Zion Williamson,F,NOP,89,5,27.6,6.4,4.4,2.6,0.8,0.6,42.08,0.47
Domantas Sabonis,C-F,IND,87,5,16.8,11.4,5.2,3.4,2.2,0.4,40.08,0.46
Devin Booker,G,PHX,88,5,25.0,6.4,5.0,2.6,1.2,0.2,40.38,0.46
Trae Young,G,ATL,87,5,21.4,4.0,10.2,3.2,0.6,0.2,39.9,0.46
John Collins,C-F,ATL,84,5,19.8,8.8,0.8,0.4,1.2,2.2,37.96,0.45
Andrew Wiggins,F-G,GSW,79,5,23.4,6.8,2.4,2.2,1.4,0.0,35.76,0.45
Brandon Ingram,F,NOP,85,5,27.6,4.6,4.6,3.2,0.6,0.2,38.42,0.45
Jamal Murray,G,DEN,86,5,23.4,2.6,5.6,2.2,2.4,0.0,37.52,0.44
Darius Garland,G,CLE,77,5,21.6,2.8,6.2,3.2,1.0,0.0,33.06,0.43
Chris Paul,G,PHX,88,5,15.8,5.4,8.6,1.6,1.8,0.2,37.58,0.43
Jordan Poole,G,GSW,72,5,22.0,2.8,3.2,1.0,0.8,0.0,30.76,0.43
OG Anunoby,F,TOR,78,3,18.33,5.67,2.0,1.67,2.67,1.0,33.8,0.43
Dennis Schroder,G,LAL,77,5,19.0,3.8,6.4,3.2,1.6,0.0,33.16,0.43
Rudy Gobert,C,UTA,88,5,14.0,12.4,0.8,1.4,0.4,4.0,37.48,0.43
Ricky Rubio,G,MIN,75,5,12.0,3.0,9.0,1.4,1.8,0.0,31.3,0.42
Enes Kanter,C,POR,80,5,14.2,12.6,2.0,1.0,0.6,0.4,33.32,0.42
Pascal Siakam,F,TOR,84,5,19.4,6.2,4.6,1.6,1.0,0.6,35.34,0.42
Jonas Valanciunas,C,MEM,82,5,13.6,15.4,1.4,1.0,0.2,0.6,34.78,0.42
Fred VanVleet,G,TOR,85,5,19.6,3.2,4.8,1.4,2.2,0.4,34.44,0.41
Donte DiVincenzo,G,MIL,77,5,13.8,9.0,3.8,2.0,1.4,0.2,31.5,0.41
Jrue Holiday,G,MIL,86,5,19.2,4.8,6.0,2.2,1.4,0.4,35.36,0.41
Khris Middleton,F,MIL,86,5,22.6,7.0,3.6,4.0,0.8,0.0,34.0,0.4
Mason Plumlee,C-F,DET,80,5,9.8,12.4,2.0,1.0,1.2,1.4,31.88,0.4
Clint Capela,C,ATL,86,4,12.75,13.75,1.25,0.5,0.5,1.25,34.12,0.4
Damian Lillard,G,POR,94,5,26.0,3.2,5.6,2.6,0.2,0.2,36.44,0.39
Michael Porter Jr.,F,DEN,82,5,20.2,8.6,1.0,1.2,0.2,0.4,32.02,0.39
Josh Hart,G,NOP,77,5,10.4,9.2,3.8,1.0,1.6,0.2,29.74,0.39
Jayson Tatum,F-G,BOS,90,4,21.25,6.0,3.75,2.25,0.75,0.75,34.83,0.39
Joe Ingles,F-G,UTA,80,5,17.4,5.8,2.8,0.4,1.4,0.0,30.96,0.39
Kyle Lowry,G,TOR,84,5,13.0,5.6,8.8,2.8,0.8,0.6,32.92,0.39
Terry Rozier,G,CHA,82,5,19.6,3.8,4.4,1.2,1.0,0.2,31.96,0.39
Kristaps Porzingis,C-F,DAL,86,5,17.0,9.0,1.8,1.8,0.4,1.8,33.1,0.38
Larry Nance Jr.,C-F,CLE,78,5,10.6,8.0,2.8,1.0,2.2,0.8,29.4,0.38
Christian Wood,F,HOU,85,5,19.2,8.4,1.4,2.0,0.6,1.0,32.58,0.38
Caris LeVert,G,IND,83,5,17.4,4.2,4.8,1.0,1.6,0.0,31.84,0.38
T.J. McConnell,G,IND,78,5,11.8,3.6,7.6,2.0,1.2,0.4,28.72,0.37
Malcolm Brogdon,G,IND,84,4,19.75,4.0,5.25,3.25,0.5,0.5,31.17,0.37
Robert Williams III,C-F,BOS,77,5,10.4,8.0,2.4,1.0,0.6,2.2,28.2,0.37
Montrezl Harrell,C-F,LAL,82,5,18.2,9.2,0.4,1.6,0.2,0.8,30.24,0.37
Deandre Ayton,C,PHX,84,5,17.2,9.2,1.2,1.2,0.2,1.0,31.24,0.37
Kemba Walker,G,BOS,85,3,17.67,3.0,5.67,2.0,1.67,0.33,31.77,0.37
Kyle Kuzma,F,LAL,76,5,14.8,7.0,3.4,3.0,0.8,0.2,27.3,0.36
Jerami Grant,F,DET,83,5,22.0,3.0,2.0,2.6,0.8,1.2,30.0,0.36
Kelly Oubre Jr.,F-G,GSW,79,5,15.6,5.6,1.8,0.4,0.4,1.0,27.42,0.35
Brook Lopez,C,MIL,78,5,16.4,5.0,1.0,1.4,1.2,1.2,27.3,0.35
Dillon Brooks,F-G,MEM,76,5,17.2,3.4,2.4,1.6,1.4,0.4,26.88,0.35
Jarrett Allen,C,CLE,84,5,13.8,10.2,1.0,2.0,0.4,1.6,29.54,0.35
Tim Hardaway Jr.,F-G,DAL,79,5,18.6,4.4,2.2,0.8,0.2,0.0,26.78,0.34
Will Barton,G,DEN,75,5,14.4,4.4,2.8,1.6,1.2,0.4,25.48,0.34
Ja Morant,G,MEM,86,5,16.2,3.8,6.4,3.2,0.6,0.6,29.56,0.34
CJ McCollum,G,POR,88,5,21.4,2.8,3.8,1.4,0.4,0.2,30.26,0.34
Tyler Herro,G,MIA,80,5,14.6,4.2,4.0,1.8,0.8,0.4,26.24,0.33
Robert Covington,F,POR,77,5,10.0,7.6,1.0,0.8,1.8,1.0,25.42,0.33
Marcus Smart,G,BOS,80,5,13.4,3.4,5.2,1.8,1.2,0.4,26.68,0.33
Gordon Hayward,F,CHA,85,5,13.2,7.0,5.8,3.0,0.4,0.0,28.1,0.33
