PLAYER_NAME,POSITION,TEAM,RATING,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Giannis Antetokounmpo,F,MIL,96,30.1,12.4,6.2,1.3,1.3,3.7,58.38,0.61
Luka Doncic,F-G,DAL,93,28.7,8.4,8.9,1.1,0.7,4.1,53.43,0.57
Nikola Jokic,C,DEN,95,26.3,10.6,8.1,1.5,0.6,3.1,54.37,0.57
Christian Wood,F,HOU,85,24.1,11.2,1.6,1.0,1.8,2.0,46.34,0.55
Domantas Sabonis,C-F,IND,87,20.6,10.9,6.4,1.1,0.6,3.4,44.98,0.52
Damian Lillard,G,POR,94,29.7,4.6,7.6,1.0,0.2,3.2,47.02,0.5
Karl-Anthony Towns,C-F,MIN,89,22.7,9.9,4.0,0.8,1.7,3.3,44.78,0.5
Trae Young,G,ATL,87,25.2,4.2,8.9,0.8,0.2,4.1,42.49,0.49
John Wall,G,HOU,82,21.9,3.9,6.7,1.0,0.7,3.5,38.23,0.47
Pascal Siakam,F,TOR,84,20.4,7.5,4.5,1.1,0.7,2.3,39.25,0.47
Fred VanVleet,G,TOR,85,20.4,4.3,6.4,1.7,0.7,2.1,40.26,0.47
Brandon Ingram,F,NOP,85,24.9,5.4,4.8,0.7,0.7,2.5,40.28,0.47
Zion Williamson,F,NOP,89,24.8,7.1,3.7,0.9,0.6,2.5,40.87,0.46
Jayson Tatum,F-G,BOS,90,24.5,6.6,4.2,1.4,0.4,2.5,41.62,0.46
Bam Adebayo,C-F,MIA,88,17.8,9.4,5.2,0.9,1.1,2.9,39.98,0.45
Kristaps Porzingis,C-F,DAL,86,21.3,8.4,1.3,0.5,1.6,1.3,38.33,0.45
Jerami Grant,F,DET,83,23.3,5.6,2.7,0.7,1.0,1.9,37.27,0.45
Jonas Valanciunas,C,MEM,82,16.7,12.2,1.8,0.8,0.8,2.0,36.84,0.45
Ja Morant,G,MEM,86,21.2,3.8,8.1,1.1,0.2,3.1,38.71,0.45
Rudy Gobert,C,UTA,88,14.1,13.4,1.2,0.5,2.7,1.6,39.98,0.45
Clint Capela,C,ATL,86,14.4,13.1,0.9,0.6,2.1,1.5,38.07,0.44
