PLAYER_NAME,POSITION,TEAM,RATING,GP,TOP_TEN,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Russell Westbrook,G,WAS,86,5,5.0,24.4,13.6,12.6,1.2,0.4,5.2,69.22,0.69
Lonzo Ball,G,NOP,80,2,2.0,19.5,6.5,10.0,3.0,1.0,3.5,54.8,0.64
Karl-Anthony Towns,C-F,MIN,89,5,5.0,28.2,14.4,4.6,0.8,1.4,1.6,67.38,0.64
Kyrie Irving,G,BKN,91,5,3.0,27.4,5.6,9.0,1.6,0.6,1.8,58.42,0.58
Clint Capela,C,ATL,86,5,3.0,18.8,14.6,0.2,0.6,3.4,0.8,53.82,0.56
Zion Williamson,F,NOP,89,2,3.0,31.0,6.5,2.5,2.5,0.0,1.0,55.05,0.55
Bogdan Bogdanovic,G,ATL,76,5,3.0,21.4,4.6,5.4,1.6,0.6,1.4,46.22,0.53
Devin Booker,G,PHX,88,5,3.0,33.8,4.2,4.2,0.8,0.2,2.4,51.74,0.52
Anthony Edwards,G,MIN,77,5,1.0,23.0,4.8,3.0,2.0,1.4,4.2,41.26,0.51
Julius Randle,C-F,NYK,87,5,1.0,22.0,10.2,7.0,0.4,0.4,4.4,44.74,0.49
Luka Doncic,F-G,DAL,93,5,1.0,28.8,7.2,6.6,0.8,0.2,4.8,47.54,0.49
Nikola Jokic,C,DEN,95,5,3.0,19.0,8.8,9.4,0.6,0.8,3.0,50.86,0.47
Rudy Gobert,C,UTA,88,5,1.0,14.0,12.6,1.6,0.6,2.8,1.2,42.52,0.46
Chuma Okeke,F,ORL,72,5,1.0,15.0,6.4,3.4,1.4,1.0,1.6,35.38,0.46
Jayson Tatum,F-G,BOS,90,5,2.0,25.4,7.8,3.2,1.2,0.2,2.2,45.56,0.46
Robert Williams III,C-F,BOS,77,4,2.0,11.75,9.0,4.0,0.75,1.75,1.25,38.8,0.45
Jakob Poeltl,C,SAS,78,5,1.0,13.2,10.6,1.8,1.0,1.6,1.2,37.22,0.45
Chris Paul,G,PHX,88,5,2.0,16.6,3.8,9.2,2.2,0.0,2.2,43.36,0.45
Mike Conley,G,UTA,85,4,2.0,21.25,3.25,6.0,1.5,0.25,1.5,41.9,0.45
Jonas Valanciunas,C,MEM,82,5,0.0,20.2,12.4,1.4,0.4,0.0,1.2,37.18,0.45
Trae Young,G,ATL,87,4,2.0,22.5,1.75,10.0,1.25,0.0,5.0,42.35,0.44
Michael Porter Jr.,F,DEN,82,5,1.0,21.4,9.0,1.6,0.2,0.8,1.2,38.4,0.44
Kelly Olynyk,C-F,HOU,74,5,2.0,19.2,5.4,2.8,0.6,1.0,1.8,36.88,0.44
Wendell Carter Jr.,C-F,ORL,80,5,0.0,15.0,9.4,2.0,0.8,1.4,1.6,34.28,0.43
Caris LeVert,G,IND,83,5,1.0,16.8,4.0,5.8,2.2,0.4,2.8,37.3,0.43
DeMar DeRozan,F-G,SAS,87,5,1.0,24.8,4.2,6.4,0.0,0.2,2.6,39.44,0.43
Terry Rozier,G,CHA,82,5,1.0,19.6,7.0,3.0,0.8,0.6,2.4,36.3,0.42
James Johnson,F,NOP,77,4,1.0,14.75,4.0,2.75,1.0,2.5,2.0,34.17,0.42
Christian Wood,F,HOU,85,4,0.0,17.75,8.25,2.25,1.25,0.75,2.0,35.02,0.41
Devonte' Graham,G,CHA,78,5,1.0,16.6,3.6,4.2,2.0,0.2,1.6,34.22,0.41
Kyle Anderson,F-G,MEM,81,5,0.0,12.2,7.0,3.6,1.0,1.6,1.4,32.4,0.4
Will Barton,G,DEN,75,5,1.0,14.8,6.0,4.2,1.0,0.2,1.8,32.1,0.4
Kevin Porter Jr.,F-G,HOU,75,5,1.0,14.8,4.8,6.4,0.6,0.2,3.6,30.96,0.39
Aleksej Pokusevski,C,OKC,71,4,0.0,17.0,4.25,2.5,0.5,1.0,3.0,27.35,0.39
Derrick White,G,SAS,79,5,0.0,19.4,3.2,3.2,0.8,0.6,1.4,30.84,0.39
Moses Brown,C,OKC,67,5,1.0,9.6,9.4,0.0,0.6,1.2,0.8,27.48,0.38
Jeremy Lamb,F-G,IND,79,2,1.0,10.5,5.0,0.5,3.5,1.0,0.5,32.25,0.38
Deandre Ayton,C,PHX,84,5,1.0,14.6,10.0,1.0,0.6,1.0,1.4,33.5,0.38
Donovan Mitchell,G,UTA,88,4,1.0,20.75,3.0,4.25,1.0,0.25,1.25,35.22,0.38
Terrence Ross,F-G,ORL,77,4,0.0,16.25,2.5,3.25,1.25,0.5,1.25,28.12,0.37
LaMarcus Aldridge,C-F,BKN,81,3,0.0,10.0,6.0,3.0,1.0,2.0,1.0,29.7,0.37
Miles Bridges,F,CHA,75,5,1.0,13.8,7.0,1.8,0.6,1.0,1.8,29.9,0.37
Jae'Sean Tate,F,HOU,77,5,0.0,15.6,5.2,3.2,0.6,0.4,1.2,28.44,0.37
Naji Marshall,F,NOP,68,3,0.0,9.67,6.0,3.0,1.0,0.67,1.0,25.37,0.37
Jalen Brunson,G,DAL,80,5,0.0,16.8,3.6,4.2,1.0,0.0,1.0,29.42,0.37
Jaylen Brown,F-G,BOS,89,4,0.0,20.0,6.0,1.0,1.5,0.5,2.0,32.7,0.37
Jaden McDaniels,F,MIN,72,5,0.0,11.2,5.4,2.2,0.4,1.4,0.8,25.58,0.36
Marcus Smart,G,BOS,80,5,0.0,12.8,2.8,5.4,1.4,1.0,2.4,29.06,0.36
Dillon Brooks,F-G,MEM,76,5,0.0,18.2,2.8,2.0,1.2,0.2,1.6,27.16,0.36
T.J. McConnell,G,IND,78,5,0.0,11.0,4.0,6.8,0.8,0.4,2.2,27.4,0.35
Jeff Green,F,BKN,76,5,0.0,16.2,3.8,1.2,0.8,0.8,1.0,26.36,0.35
Rudy Gay,F-G,SAS,78,5,1.0,14.4,4.6,2.0,1.0,0.6,0.6,29.12,0.35
Eric Bledsoe,G,NOP,78,5,0.0,14.8,3.4,4.4,0.6,0.6,2.2,26.88,0.34
Mikal Bridges,F,PHX,83,5,1.0,13.2,3.6,1.8,2.0,1.0,0.6,30.62,0.34
Bojan Bogdanovic,F,UTA,78,5,0.0,15.4,4.6,2.2,0.8,0.2,0.4,26.82,0.34
Dorian Finney-Smith,F,DAL,74,5,1.0,12.6,5.8,1.6,0.8,0.4,0.2,27.36,0.34
Aaron Gordon,F,DEN,80,5,1.0,13.2,4.6,2.6,1.0,0.8,1.0,29.02,0.34
Desmond Bane,G,MEM,76,5,0.0,11.8,5.0,2.6,1.0,0.6,0.4,26.1,0.34
Theo Maledon,G,OKC,75,5,2.0,15.8,5.2,2.4,0.4,0.2,2.8,28.64,0.33
Danilo Gallinari,F,ATL,79,4,0.0,17.0,6.5,1.0,0.25,0.0,0.75,26.3,0.33
Steven Adams,C,NOP,80,4,0.0,7.5,8.5,2.0,1.75,0.5,1.5,25.95,0.32
Lou Williams,G,ATL,80,4,0.0,13.25,3.0,4.25,1.0,0.25,1.25,25.72,0.32
Dwayne Bacon,F-G,ORL,71,5,0.0,13.8,4.4,1.4,0.6,0.2,0.6,22.98,0.32
Blake Griffin,F,BKN,78,3,0.0,8.67,6.67,3.67,0.67,0.33,1.33,23.83,0.31
Jae Crowder,F,PHX,77,5,0.0,10.6,4.4,2.6,0.8,1.2,2.0,23.78,0.31
Jordan Clarkson,G,UTA,84,5,0.0,16.6,4.2,2.2,0.8,0.0,1.2,26.14,0.31
Ricky Rubio,G,MIN,75,3,0.0,6.33,3.0,5.67,1.67,0.33,1.33,23.1,0.31
Deni Avdija,F,WAS,74,5,0.0,9.4,8.8,0.8,0.2,0.4,0.4,22.56,0.3
Bruce Brown,F-G,BKN,77,5,0.0,9.6,5.6,2.2,1.0,0.4,0.8,23.02,0.3
James Ennis III,F,ORL,76,5,0.0,11.2,4.2,2.0,1.4,0.0,0.8,22.64,0.3
Reggie Bullock,F-G,NYK,73,5,0.0,13.8,3.4,1.4,0.6,0.0,0.4,21.38,0.29
