PLAYER_NAME,POSITION,TEAM,RATING,TOP_TEN,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Steven Adams,C,NOP,80,0.0,8.1,9.1,2.0,0.9,0.9,1.5,25.92,0.32
James Wiseman,C,GSW,79,0.0,11.7,7.2,1.0,0.4,1.2,2.2,24.44,0.31
Cole Anthony,G,ORL,74,0.0,11.3,4.2,3.9,0.7,0.4,2.2,23.29,0.31
T.J. McConnell,G,IND,78,1.0,7.2,3.4,6.0,1.7,0.3,1.8,26.48,0.31
Robin Lopez,C,WAS,76,0.0,11.1,6.5,1.1,0.4,1.0,1.4,23.35,0.31
Derrick Rose,G,NYK,81,0.0,13.3,2.4,4.3,1.1,0.4,1.9,25.23,0.31
Cody Zeller,C-F,CHA,79,0.0,9.9,7.6,2.2,0.9,0.3,1.1,24.82,0.31
Tomas Satoransky,F-G,CHI,75,1.0,9.7,3.2,5.8,0.8,0.2,2.0,25.24,0.31
Grayson Allen,G,MEM,76,0.0,11.7,3.8,2.3,1.3,0.2,1.1,23.11,0.3
Ivica Zubac,C,LAC,79,0.0,8.1,8.5,1.0,0.4,1.1,1.1,23.2,0.29
Justin Holiday,F-G,IND,75,0.0,11.2,3.9,1.7,1.2,0.3,0.9,22.03,0.29
Keldon Johnson,F-G,SAS,80,0.0,11.5,6.0,1.8,0.6,0.5,1.2,23.5,0.29
Seth Curry,G,PHI,76,0.0,11.9,2.5,3.0,1.0,0.2,1.4,21.6,0.28
