PLAYER_NAME,POSITION,TEAM,RATING,GP,TOP_TEN,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Karl-Anthony Towns,C-F,MIN,89,5,6.0,28.4,14.4,4.8,0.8,1.0,2.0,68.28,0.63
Russell Westbrook,G,WAS,86,5,6.0,22.0,13.6,11.4,0.8,0.4,5.4,65.62,0.62
Michael Carter-Williams,G,ORL,74,2,1.0,10.5,5.5,7.0,3.5,1.5,1.0,43.6,0.56
Julius Randle,C-F,NYK,87,5,2.0,22.0,10.4,7.6,1.0,0.6,4.0,50.68,0.54
Nikola Vucevic,C,CHI,87,5,3.0,23.2,10.8,3.6,1.0,1.0,1.4,52.16,0.53
Jrue Holiday,G,MIL,86,5,2.0,25.0,5.4,7.0,1.6,0.6,4.0,48.58,0.52
Stephen Curry,G,GSW,96,4,0.0,36.5,6.75,3.75,0.75,0.25,4.0,49.22,0.51
Bogdan Bogdanovic,G,ATL,76,5,3.0,21.8,5.0,4.8,1.2,0.6,1.6,44.8,0.51
Anthony Edwards,G,MIN,77,5,1.0,23.8,3.8,3.6,1.6,1.2,3.8,40.36,0.5
Kawhi Leonard,F,LAC,96,5,1.0,25.4,8.8,5.8,1.0,0.2,2.6,47.66,0.48
Kyle Anderson,F-G,MEM,81,5,0.0,14.0,8.4,4.4,1.2,1.6,1.0,38.08,0.47
Draymond Green,F,GSW,80,4,2.0,11.0,6.75,9.0,2.25,0.5,3.25,41.6,0.47
Nikola Jokic,C,DEN,95,5,3.0,20.8,8.6,9.8,0.6,0.4,4.2,50.62,0.47
Michael Porter Jr.,F,DEN,82,5,1.0,22.0,9.0,1.2,0.4,1.0,1.4,39.4,0.46
Paul George,F,LAC,90,4,3.0,25.5,6.25,4.0,1.25,0.25,2.75,46.75,0.45
Zach LaVine,F-G,CHI,88,4,1.0,22.25,5.5,6.75,0.75,0.5,3.0,41.72,0.45
Zion Williamson,F,NOP,89,2,3.0,25.0,4.5,4.0,1.5,0.0,1.0,45.9,0.45
Wendell Carter Jr.,C-F,ORL,80,5,0.0,16.4,8.6,2.2,0.8,1.4,1.6,35.02,0.44
Joel Embiid,C-F,PHI,95,2,0.0,29.5,7.0,1.5,0.0,2.0,4.0,42.15,0.44
Dejounte Murray,G,SAS,83,4,0.0,16.5,6.25,4.75,2.5,0.0,1.75,36.88,0.44
Caris LeVert,G,IND,83,5,1.0,18.8,4.0,5.8,2.0,0.4,2.6,38.9,0.44
Kelly Olynyk,C-F,HOU,74,5,3.0,16.2,7.2,3.0,0.8,1.0,2.0,38.74,0.44
Jonas Valanciunas,C,MEM,82,5,0.0,18.0,11.6,2.0,0.4,0.2,0.6,36.12,0.44
Thaddeus Young,F,CHI,80,5,0.0,16.2,7.6,4.6,0.6,0.4,1.2,34.02,0.43
Chuma Okeke,F,ORL,72,5,1.0,13.4,5.8,3.0,1.6,0.8,1.4,32.66,0.43
DeMar DeRozan,F-G,SAS,87,5,1.0,24.2,4.4,5.6,0.4,0.2,3.0,38.68,0.42
Will Barton,G,DEN,75,5,1.0,15.2,5.6,4.6,1.2,0.2,1.6,33.42,0.42
Christian Wood,F,HOU,85,5,0.0,18.6,8.6,2.0,1.2,0.6,1.6,35.72,0.42
