PLAYER_NAME,POSITION,TEAM,RATING,GP,PTS,REB,AST,TOV,STL,BLK,SCR,AVG
James Harden,G,BKN,95,5,27.2,10.8,12.4,5.6,1.6,1.4,62.16,0.65
De'Aaron Fox,G,SAC,86,5,30.2,5.4,8.4,2.4,1.6,0.2,52.28,0.61
Jimmy Butler,F,MIA,90,5,27.2,7.4,6.8,1.8,3.0,0.6,55.28,0.61
Luka Doncic,F-G,DAL,93,4,27.5,8.25,12.25,5.0,1.25,0.5,56.02,0.6
Domantas Sabonis,C-F,IND,87,5,16.0,11.4,9.8,3.4,2.4,0.6,49.98,0.57
Anthony Edwards,G,MIN,77,5,30.6,5.4,2.2,2.4,1.6,0.0,42.78,0.56
Nikola Vucevic,C,ORL,87,5,26.8,12.2,3.8,3.8,0.8,0.6,47.54,0.55
Kevin Porter Jr.,F-G,HOU,75,5,19.6,3.6,8.0,3.6,1.8,1.0,40.72,0.54
Nikola Jokic,C,DEN,95,5,23.6,12.0,8.2,3.2,1.2,0.2,51.3,0.54
Rudy Gobert,C,UTA,88,5,15.2,15.0,1.4,1.8,1.2,3.4,47.3,0.54
Damian Lillard,G,POR,94,5,35.8,6.2,6.4,4.6,0.4,0.2,50.04,0.53
Karl-Anthony Towns,C-F,MIN,89,5,26.6,8.2,5.6,4.0,0.8,1.4,47.44,0.53
Richaun Holmes,C-F,SAC,81,5,17.4,11.2,2.4,1.0,0.8,2.0,41.84,0.52
Jayson Tatum,F-G,BOS,90,5,27.8,6.8,4.0,2.2,1.8,0.2,45.76,0.51
Jonas Valanciunas,C,MEM,82,5,18.0,14.8,1.6,1.4,1.0,0.8,42.16,0.51
Victor Oladipo,G,HOU,81,3,27.67,4.33,6.0,3.33,0.33,0.0,39.53,0.49
Norman Powell,"['G', 'G']",TOR,81,5,29.2,3.0,3.0,2.2,1.2,0.2,39.3,0.49
Donovan Mitchell,G,UTA,88,5,29.6,4.2,5.8,3.4,1.0,0.2,43.54,0.49
Kyle Lowry,G,TOR,84,5,15.6,5.4,12.4,4.2,1.0,0.2,40.08,0.48
Kelly Olynyk,C-F,MIA,74,5,13.2,7.4,3.0,1.0,2.0,1.2,35.18,0.48
Robert Williams III,C-F,BOS,77,5,11.0,9.4,2.0,1.2,0.8,3.6,37.28,0.48
Chris Boucher,C-F,TOR,80,5,22.6,5.8,1.2,0.8,0.6,2.0,38.36,0.48
Michael Porter Jr.,F,DEN,82,5,23.2,9.8,0.4,1.0,0.4,0.6,37.56,0.46
Zach LaVine,F-G,CHI,88,5,26.6,5.0,4.8,3.0,0.4,0.8,40.4,0.46
