PLAYER_NAME,POSITION,TEAM,RATING,TOP5,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Joel Embiid,C-F,PHI,95,1.0,30.6,11.9,3.2,1.1,1.8,3.3,57.08,0.58
Russell Westbrook,G,WAS,88,19.0,21.6,10.6,10.4,1.4,0.4,4.6,88.72,0.58
Trae Young,G,ATL,87,3.0,26.4,4.1,9.5,1.0,0.2,4.3,50.87,0.52
Julius Randle,C-F,NYK,89,5.0,23.8,9.3,5.6,0.9,0.2,3.2,53.46,0.49
Bradley Beal,G,WAS,90,2.0,29.2,4.7,4.1,1.1,0.4,3.1,46.39,0.47
Donovan Mitchell,G,UTA,88,1.0,27.4,4.5,5.0,1.1,0.3,2.9,43.6,0.47
Ben Simmons,F-G,PHI,86,0.0,15.0,7.3,7.4,1.7,0.6,3.0,38.76,0.45
Tobias Harris,F,PHI,87,0.0,21.1,7.6,3.5,1.0,0.9,2.0,39.17,0.45
Rudy Gobert,C,UTA,88,2.0,14.2,13.3,1.2,0.6,2.6,1.6,43.96,0.45
Clint Capela,C,ATL,86,5.0,14.8,12.8,0.8,0.7,2.0,1.3,48.16,0.44
Chris Paul,G,PHX,89,2.0,17.9,4.6,8.4,1.6,0.3,2.5,43.22,0.44
Devin Booker,G,PHX,89,3.0,26.7,4.4,4.4,0.9,0.3,3.1,45.08,0.44
John Collins,C-F,ATL,85,1.0,21.1,8.9,1.4,0.6,1.3,1.8,39.78,0.44
Jonas Valanciunas,C,MEM,83,4.0,15.8,11.6,1.6,0.6,0.9,1.5,43.12,0.42
Bogdan Bogdanovic,G,ATL,81,4.0,19.1,4.3,3.6,1.3,0.4,1.4,41.36,0.41
RJ Barrett,F-G,NYK,83,1.0,19.4,6.4,3.2,0.9,0.3,2.1,35.38,0.4
Ja Morant,G,MEM,85,3.0,18.6,3.9,7.0,1.0,0.2,3.2,40.18,0.4
Mike Conley,G,UTA,84,0.0,16.2,3.6,6.0,1.5,0.2,2.0,32.62,0.39
Andre Drummond,C,LAL,83,0.0,13.1,10.5,1.7,1.3,0.9,2.3,32.55,0.39
Dennis Schroder,G,LAL,77,1.0,15.4,3.5,5.5,1.2,0.2,2.7,31.35,0.38
Jordan Clarkson,G,UTA,79,1.0,18.6,4.0,2.4,0.9,0.1,1.8,30.2,0.36
Deandre Ayton,C,PHX,85,0.0,13.3,9.9,1.2,0.6,1.1,1.4,30.68,0.36
Kyle Anderson,F-G,MEM,81,1.0,12.8,5.8,3.1,1.2,0.8,1.4,31.01,0.36
Nerlens Noel,C-F,NYK,80,0.0,7.2,8.2,1.2,1.3,2.5,1.4,28.84,0.36
Dillon Brooks,F-G,MEM,76,1.0,16.0,2.9,2.3,1.1,0.4,1.7,27.73,0.34
