PLAYER_NAME,POSITION,TEAM,RATING,GP,PTS,REB,AST,TOV,STL,BLK,SCR,AVG
Russell Westbrook,G,WAS,86,5,31.0,11.4,13.0,6.0,1.6,0.4,64.18,0.75
Julius Randle,C-F,NYK,87,5,24.0,11.2,9.2,3.4,2.2,0.0,54.44,0.63
James Harden,G,BKN,95,5,26.0,8.6,11.4,3.8,1.8,1.0,58.02,0.61
Nikola Jokic,C,DEN,95,5,26.6,11.6,9.0,2.8,1.4,0.6,57.22,0.6
Tobias Harris,F,PHI,86,5,24.2,7.8,5.0,1.4,1.8,0.8,47.46,0.55
Nikola Vucevic,C,ORL,87,5,25.0,12.4,4.8,3.8,1.0,0.6,48.08,0.55
Jimmy Butler,F,MIA,90,5,23.8,9.8,5.2,2.0,2.0,0.2,47.96,0.53
Kyrie Irving,G,BKN,91,4,30.75,4.5,4.75,3.0,2.0,0.25,47.02,0.52
Bam Adebayo,C-F,MIA,88,4,19.5,9.75,4.75,2.25,1.0,1.5,43.58,0.5
Andrew Wiggins,F-G,GSW,79,5,24.0,5.6,2.0,2.0,2.2,0.2,38.92,0.49
Damian Lillard,G,POR,94,5,34.8,4.6,4.8,3.4,0.2,0.2,45.32,0.48
RJ Barrett,F-G,NYK,79,5,21.6,7.2,3.2,2.0,1.2,0.2,37.24,0.47
Chris Paul,G,PHX,88,5,14.8,5.0,8.8,2.6,3.0,0.2,41.0,0.47
Zion Williamson,F,NOP,89,5,26.8,5.8,3.4,2.4,0.6,0.8,40.66,0.46
Draymond Green,F,GSW,80,5,7.6,9.8,8.8,3.0,1.4,1.0,36.76,0.46
Brandon Ingram,F,NOP,85,5,26.0,5.4,4.6,3.0,0.6,0.4,39.38,0.46
LeBron James,F-G,LAL,97,4,23.5,7.75,8.25,3.5,0.25,0.5,43.92,0.45
Bradley Beal,G,WAS,90,4,31.5,4.0,5.0,4.0,0.25,0.0,40.55,0.45
Stephen Curry,G,GSW,96,3,25.67,4.33,6.33,2.33,1.67,0.0,43.03,0.45
Devin Booker,G,PHX,88,5,24.8,5.6,5.4,3.8,0.6,0.4,38.82,0.44
Aaron Gordon,F,ORL,80,3,22.33,5.67,5.33,3.0,0.33,0.0,35.13,0.44
Rui Hachimura,F,WAS,77,5,20.0,8.8,1.2,1.8,1.2,0.0,34.16,0.44
Will Barton,G,DEN,75,5,19.6,4.6,4.0,1.4,0.8,0.4,33.32,0.44
Montrezl Harrell,C-F,LAL,82,5,21.0,8.2,1.6,1.0,0.8,0.6,36.44,0.44
Lonzo Ball,G,NOP,80,4,12.25,4.75,9.0,2.25,1.25,0.5,34.45,0.43
Ben Simmons,F-G,PHI,88,4,14.75,8.75,8.0,5.0,1.0,0.75,37.5,0.43
Michael Porter Jr.,F,DEN,82,5,21.4,8.8,1.0,0.8,0.2,0.4,34.46,0.42
Jamal Murray,G,DEN,86,5,20.4,3.0,6.0,2.6,2.0,0.0,36.4,0.42
Evan Fournier,F-G,ORL,82,3,23.33,3.0,2.67,2.0,1.33,0.33,33.93,0.41
Jordan Poole,G,GSW,72,5,21.2,1.8,2.6,0.4,0.8,0.0,29.26,0.41
Alec Burks,G,NYK,77,5,17.4,5.0,1.6,1.0,1.4,0.6,30.8,0.4
Danny Green,F-G,PHI,75,5,13.2,3.6,1.0,1.2,2.6,1.4,29.82,0.4
Robert Covington,F,POR,77,5,11.0,7.0,1.6,1.4,2.0,1.2,30.0,0.39
Kelly Olynyk,C-F,MIA,74,5,10.2,6.6,2.0,1.2,1.8,1.0,28.32,0.38
Deandre Ayton,C,PHX,84,5,15.4,8.4,0.8,1.4,0.6,1.4,31.28,0.37
Dwight Howard,C-F,PHI,79,5,9.2,12.2,1.0,1.8,0.4,1.4,28.94,0.37
Dennis Schroder,G,LAL,77,5,16.4,3.0,5.6,3.8,1.0,0.0,27.6,0.36
Talen Horton-Tucker,G,LAL,75,5,14.4,4.6,4.6,1.6,0.4,0.2,27.02,0.36
Seth Curry,G,PHI,76,3,17.0,3.67,3.0,1.33,0.67,0.0,26.57,0.35
Tyler Herro,G,MIA,80,5,14.8,5.2,2.4,1.8,0.8,0.6,27.04,0.34
Reggie Bullock,F-G,NYK,73,5,14.2,4.0,1.6,1.2,1.6,0.0,25.0,0.34
Mikal Bridges,F,PHX,83,5,13.0,4.0,3.6,0.8,1.4,0.6,28.4,0.34
Nicolas Claxton,C-F,BKN,74,5,9.6,4.4,1.2,1.0,0.8,2.0,24.08,0.33
Kyle Kuzma,F,LAL,76,5,13.2,4.8,3.0,1.2,0.8,0.2,25.26,0.33
Josh Hart,G,NOP,77,5,11.2,7.0,2.8,1.2,0.6,0.2,25.0,0.32
Alex Len,C,WAS,75,5,11.0,7.0,1.8,1.0,0.0,0.6,22.9,0.31
Steven Adams,C,NOP,80,5,6.6,10.6,2.2,2.0,1.0,0.4,24.82,0.31
