PLAYER_NAME,POSITION,TEAM,RATING,TOP5,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
James Harden,G,BKN,95,4.0,27.8,8.6,10.5,1.4,0.8,4.2,64.27000000000001,0.59
Kevin Durant,F,BKN,96,3.0,32.9,8.5,6.5,0.8,1.5,4.2,61.55,0.58
LeBron James,F-G,LAL,97,0.0,28.4,8.8,9.0,1.3,0.6,4.3,53.86,0.56
Kawhi Leonard,F,LAC,96,3.0,30.0,7.5,6.7,1.7,0.5,2.5,59.15,0.55
Paul George,F,LAC,88,6.0,27.6,8.1,6.2,1.4,0.5,3.8,60.52,0.55
Jayson Tatum,F-G,BOS,90,5.0,30.6,7.5,4.8,1.2,0.5,3.2,58.7,0.54
Kyrie Irving,G,BKN,91,6.0,27.4,5.5,6.7,1.8,0.7,2.9,60.65,0.53
Trae Young,G,ATL,87,4.0,26.7,4.1,9.5,0.9,0.2,4.3,52.87,0.52
Julius Randle,C-F,NYK,89,5.0,24.3,9.5,5.8,0.9,0.2,3.3,54.4,0.5
Devin Booker,G,PHX,89,3.0,29.6,5.0,4.9,1.1,0.3,3.4,49.75,0.49
Clint Capela,C,ATL,86,5.0,16.4,14.1,0.9,0.8,2.2,1.4,52.27,0.49
Deandre Ayton,C,PHX,85,0.0,17.5,13.1,1.7,0.8,1.5,1.8,40.87,0.48
Kristaps Porzingis,C-F,DAL,86,2.0,22.5,9.7,1.9,0.5,1.5,1.5,45.49,0.48
Derrick Rose,G,NYK,82,2.0,21.7,4.1,6.2,1.4,0.4,2.4,42.92,0.47
Bogdan Bogdanovic,G,ATL,81,5.0,21.3,4.9,4.1,1.5,0.3,1.6,47.13,0.46
Marcus Smart,G,BOS,79,0.0,15.3,4.1,6.6,1.9,0.4,2.4,34.62,0.44
Evan Fournier,F-G,BOS,80,0.0,20.8,3.6,4.1,1.3,0.5,2.3,34.37,0.43
John Collins,C-F,ATL,85,1.0,19.4,8.1,1.3,0.6,1.2,1.7,36.77,0.41
Tim Hardaway Jr.,F-G,DAL,80,0.0,21.6,4.4,2.4,0.6,0.1,1.3,31.28,0.39
Dennis Schroder,G,LAL,77,1.0,15.5,3.5,5.5,1.2,0.2,2.7,31.45,0.38
Cameron Payne,G,PHX,77,0.0,13.3,3.9,4.9,1.1,0.7,1.7,29.03,0.38
De'Andre Hunter,F-G,ATL,81,0.0,16.8,5.6,2.1,1.0,0.7,1.5,30.27,0.37
Dorian Finney-Smith,F,DAL,75,0.0,12.1,6.6,2.0,1.0,0.5,1.1,26.42,0.35
Tristan Thompson,C-F,BOS,78,0.0,10.2,10.1,1.5,0.4,0.9,1.4,27.07,0.35
Joe Harris,F-G,BKN,79,0.0,16.1,4.1,2.1,0.7,0.4,1.0,26.47,0.34
Mikal Bridges,F,PHX,83,1.0,13.9,4.6,2.0,1.2,0.8,0.9,29.52,0.33
Andre Drummond,C,LAL,83,0.0,11.2,8.6,1.4,1.1,0.7,2.0,27.02,0.33
Jae Crowder,F,PHX,77,0.0,11.4,5.3,2.0,0.9,0.6,1.0,24.26,0.32
Reggie Bullock,F-G,NYK,75,0.0,13.6,4.1,1.9,1.0,0.2,1.0,23.97,0.32
RJ Barrett,F-G,NYK,83,1.0,14.5,5.0,2.5,0.7,0.3,1.5,27.75,0.31
Taj Gibson,F,NYK,77,0.0,7.2,7.1,0.9,0.7,1.3,0.7,22.37,0.29
Blake Griffin,F,BKN,77,0.0,10.8,4.7,2.9,0.7,0.3,1.5,22.29,0.29
Nicolas Batum,F-G,LAC,76,0.0,7.6,4.8,2.0,1.0,0.6,0.8,20.36,0.27
Reggie Jackson,G,LAC,79,0.0,11.1,2.7,3.2,0.9,0.1,1.1,21.04,0.27
Nerlens Noel,C-F,NYK,80,0.0,5.4,6.3,0.9,1.0,1.9,1.1,21.91,0.27
Kyle Kuzma,F,LAL,77,0.0,11.4,5.1,1.4,0.3,0.6,1.4,20.92,0.27
Alec Burks,G,NYK,78,0.0,11.3,3.9,2.0,0.5,0.3,0.9,20.48,0.26
Rajon Rondo,G,LAC,76,0.0,6.6,2.8,5.3,1.0,0.1,2.0,19.21,0.25
Danilo Gallinari,F,ATL,81,0.0,10.2,3.8,1.4,0.6,0.2,0.8,18.46,0.23
Nicolas Claxton,C-F,BKN,76,0.0,5.9,4.6,0.6,0.6,1.1,0.5,16.92,0.22
Romeo Langford,F-G,BOS,70,0.0,5.8,3.4,1.1,0.7,0.7,0.9,14.83,0.21
Alex Caruso,G,LAL,73,0.0,6.2,2.7,2.6,1.0,0.2,1.3,15.64,0.21
Marc Gasol,C,LAL,75,0.0,4.4,3.6,1.6,0.4,1.0,0.8,14.52,0.19
Terance Mann,F-G,LAC,76,0.0,7.3,3.6,1.4,0.4,0.2,0.8,14.72,0.19
Landry Shamet,G,BKN,74,0.0,8.2,1.8,1.4,0.5,0.1,0.7,13.56,0.18
Torrey Craig,F,PHX,79,0.0,5.0,3.8,1.1,0.4,0.4,0.3,13.31,0.17
Cameron Johnson,F,PHX,77,0.0,6.7,2.4,0.9,0.5,0.2,0.5,12.53,0.16
Josh Richardson,G,DAL,77,0.0,6.0,1.8,1.3,0.5,0.2,0.6,11.61,0.15
Willie Cauley-Stein,C,DAL,76,0.0,3.8,3.8,0.5,0.2,0.7,0.5,11.31,0.15
Immanuel Quickley,G,NYK,79,0.0,7.5,1.5,1.4,0.3,0.1,0.7,11.9,0.15
Grant Williams,F,BOS,70,0.0,3.5,2.5,0.9,0.4,0.2,0.7,8.95,0.13
Wesley Matthews,F-G,LAL,73,0.0,4.4,1.6,0.8,0.6,0.2,0.6,9.32,0.13
Ivica Zubac,C,LAC,79,0.0,4.3,3.4,0.5,0.2,0.4,0.6,10.33,0.13
Lou Williams,G,ATL,79,0.0,5.6,1.1,1.6,0.3,0.1,0.8,9.72,0.12
Onyeka Okongwu,C-F,ATL,76,1.0,2.5,1.8,0.2,0.3,0.5,0.4,8.96,0.09
Obi Toppin,F,NYK,75,0.0,3.9,2.3,0.6,0.0,0.0,0.6,6.96,0.09
Patrick Beverley,G,LAC,78,0.0,2.4,1.1,0.6,0.3,0.3,0.4,6.02,0.08
Tyler Johnson,G,BKN,71,0.0,3.2,1.2,0.4,0.1,0.0,0.2,5.34,0.08
Payton Pritchard,G,BOS,75,0.0,3.0,0.9,0.7,0.2,0.1,0.2,5.83,0.08
Frank Kaminsky,C-F,PHX,79,0.0,2.5,1.5,0.4,0.1,0.1,0.1,5.4,0.07
Aaron Nesmith,F-G,BOS,72,0.0,1.8,2.4,0.0,0.0,0.0,0.0,4.68,0.06
Solomon Hill,F,ATL,70,0.0,1.5,0.8,0.4,0.3,0.1,0.3,3.96,0.06
Dwight Powell,C-F,DAL,77,0.0,1.4,0.9,0.2,0.1,0.2,0.2,3.48,0.05
DeAndre Jordan,C,BKN,79,0.0,0.2,0.3,0.1,0.0,0.1,0.1,0.91,0.01
Reggie Perry,C-F,BKN,72,0.0,0.2,0.3,0.0,0.0,0.0,0.1,0.46,0.01
Talen Horton-Tucker,G,LAL,75,2.0,0.3,0.1,0.1,0.0,0.0,0.1,4.47,0.01
Semi Ojeleye,F,BOS,73,0.0,0.3,0.2,0.1,0.0,0.0,0.0,0.69,0.01
