PLAYER_NAME,POSITION,TEAM,RATING,GP,TOP_TEN,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Jrue Holiday,G,MIL,86,5,2.0,27.2,5.2,7.8,2.2,0.6,4.0,53.54,0.58
Nikola Vucevic,C,CHI,87,5,3.0,23.0,11.2,4.0,0.8,1.2,1.4,53.04,0.54
Bam Adebayo,C-F,MIA,88,5,3.0,18.2,10.8,6.4,1.2,1.2,1.4,52.56,0.53
Chris Paul,G,PHX,88,5,2.0,19.2,4.2,10.8,2.0,0.0,2.4,48.04,0.5
Kawhi Leonard,F,LAC,96,5,1.0,24.6,9.6,6.4,1.4,0.2,2.2,50.32,0.5
Devin Booker,G,PHX,88,5,3.0,33.8,3.8,4.2,0.6,0.2,3.0,50.06,0.5
Jimmy Butler,F,MIA,90,5,1.0,22.0,4.8,6.8,2.0,0.4,1.2,45.96,0.49
Luka Doncic,F-G,DAL,93,5,1.0,28.4,8.4,6.2,0.6,0.4,5.2,47.58,0.49
CJ McCollum,G,POR,88,5,2.0,21.8,3.8,5.6,1.8,1.2,1.2,46.56,0.48
Pascal Siakam,F,TOR,84,5,4.0,22.6,6.4,3.8,1.4,0.4,1.6,47.78,0.47
De'Aaron Fox,G,SAC,86,5,2.0,22.8,2.6,5.8,1.6,1.0,2.6,43.82,0.46
Dennis Schroder,G,LAL,77,5,1.0,15.6,3.4,7.6,2.0,0.2,3.4,36.28,0.45
Rudy Gobert,C,UTA,88,5,1.0,13.6,12.8,2.0,0.8,2.0,1.8,40.56,0.44
Damian Lillard,G,POR,94,5,2.0,22.8,3.6,7.6,1.4,0.4,2.4,45.52,0.44
Donovan Mitchell,G,UTA,88,4,2.0,26.25,4.5,4.0,0.75,0.0,0.75,43.15,0.44
Collin Sexton,G,CLE,83,5,0.0,23.6,3.6,3.4,1.8,0.0,1.8,36.62,0.44
Kristaps Porzingis,C-F,DAL,86,3,1.0,18.67,9.33,1.33,0.67,1.67,2.0,38.87,0.43
Robert Covington,F,POR,77,5,1.0,13.4,8.0,1.0,1.8,1.4,0.8,35.3,0.43
Darius Garland,G,CLE,77,5,1.0,18.2,3.4,6.0,1.6,0.2,3.2,35.48,0.43
Mike Conley,G,UTA,85,4,2.0,19.5,2.5,5.75,1.75,0.25,1.75,39.38,0.42
Richaun Holmes,C-F,SAC,81,5,2.0,14.2,9.8,1.4,0.4,1.8,0.8,37.86,0.42
Paul George,F,LAC,90,3,2.0,23.0,6.0,4.33,1.0,0.33,3.33,41.37,0.42
Deandre Ayton,C,PHX,84,5,2.0,15.4,9.6,1.2,1.0,1.6,1.8,38.72,0.41
Harrison Barnes,F,SAC,80,5,0.0,15.2,7.4,3.8,1.4,0.4,2.0,33.18,0.41
Khris Middleton,F,MIL,86,5,0.0,19.2,4.2,6.2,1.4,0.0,3.4,34.34,0.4
Thaddeus Young,F,CHI,80,5,0.0,16.0,6.6,3.8,0.8,0.6,1.8,32.02,0.4
DeAndre' Bembry,F-G,TOR,74,3,0.0,10.67,5.33,3.33,2.67,0.33,2.0,29.07,0.39
Gary Trent Jr.,F-G,TOR,78,5,0.0,19.4,3.2,2.0,1.2,0.4,0.6,30.44,0.39
OG Anunoby,F,TOR,78,5,1.0,15.2,5.0,2.6,1.0,1.2,1.2,32.5,0.39
Isaiah Hartenstein,C-F,CLE,74,4,0.0,10.5,9.0,2.75,0.0,1.25,0.5,28.67,0.39
Malachi Flynn,G,TOR,71,5,0.0,10.0,4.6,3.4,2.0,0.8,1.8,27.22,0.38
Tomas Satoransky,F-G,CHI,75,5,1.0,11.8,3.6,6.6,1.6,0.0,2.0,30.82,0.38
Theo Maledon,G,OKC,75,5,2.0,18.0,5.0,3.2,0.4,0.6,3.6,32.2,0.38
Bojan Bogdanovic,F,UTA,78,5,0.0,18.8,4.4,1.2,0.8,0.2,0.4,28.48,0.37
Dorian Finney-Smith,F,DAL,74,5,1.0,12.0,7.0,1.4,1.2,0.6,0.4,29.5,0.37
Jalen Brunson,G,DAL,80,5,0.0,17.8,3.8,3.4,0.6,0.0,0.8,28.46,0.36
Buddy Hield,G,SAC,77,5,0.0,15.6,4.2,2.4,1.4,0.4,1.6,28.04,0.36
Tyrese Haliburton,G,SAC,83,5,0.0,12.6,3.0,6.4,1.0,0.6,1.0,29.6,0.36
Markieff Morris,F,LAL,74,5,0.0,13.0,7.8,1.2,0.4,0.4,0.6,25.96,0.35
Duncan Robinson,F,MIA,75,5,0.0,17.4,4.2,2.0,0.4,0.4,1.6,26.24,0.35
Moses Brown,C,OKC,67,5,1.0,9.4,9.6,0.0,0.2,1.0,1.0,25.52,0.35
Chris Boucher,C-F,TOR,80,5,1.0,10.2,5.2,1.6,1.4,2.0,1.0,30.04,0.35
Mason Plumlee,C-F,DET,80,4,0.0,11.0,6.5,3.25,0.5,1.0,0.5,27.68,0.35
Cory Joseph,G,DET,71,5,0.0,9.8,2.6,5.6,1.2,0.4,2.2,23.92,0.34
Kenrich Williams,F-G,OKC,76,5,0.0,10.0,5.8,3.4,1.0,0.6,1.0,25.86,0.34
Killian Hayes,G,DET,73,2,0.0,4.5,4.0,5.0,2.0,1.0,2.0,23.8,0.33
Donte DiVincenzo,G,MIL,77,5,1.0,8.2,6.8,3.8,1.8,0.0,1.8,27.66,0.33
Enes Kanter,C,POR,80,5,2.0,9.4,10.8,1.4,0.2,0.8,1.2,30.26,0.33
Dean Wade,C-F,CLE,70,5,0.0,8.6,6.2,2.0,0.8,0.6,0.2,23.04,0.33
Jae Crowder,F,PHX,77,5,0.0,11.4,5.2,2.2,0.6,1.2,1.4,24.94,0.32
Bobby Portis,F,MIL,80,3,0.0,12.33,8.67,0.67,0.67,0.0,0.33,25.4,0.32
Patrick Williams,F,CHI,76,5,0.0,11.8,3.6,2.2,1.6,0.4,1.2,24.22,0.32
Reggie Jackson,G,LAC,77,5,0.0,14.2,2.8,3.0,0.8,0.4,1.6,24.06,0.31
Jordan Clarkson,G,UTA,84,5,0.0,17.0,3.2,2.0,1.0,0.2,1.4,26.04,0.31
Hamidou Diallo,G,DET,77,4,0.0,13.0,4.75,2.0,0.75,0.5,1.75,23.7,0.31
Kevin Love,C-F,CLE,82,3,0.0,10.67,7.33,3.0,0.67,0.33,2.67,24.3,0.3
Tony Bradley,C-F,OKC,75,5,0.0,9.8,7.4,1.0,0.4,0.8,1.2,22.58,0.3
Terance Mann,F-G,LAC,72,5,0.0,10.0,4.6,3.0,0.2,0.6,1.0,21.42,0.3
Marc Gasol,C,LAL,75,5,0.0,7.6,5.2,3.4,0.8,1.4,3.2,22.34,0.3
Brook Lopez,C,MIL,78,5,0.0,11.0,3.2,1.2,0.2,2.0,0.2,23.04,0.3
Svi Mykhailiuk,F-G,OKC,74,5,0.0,12.0,4.2,1.4,1.2,0.4,2.4,21.54,0.29
Tim Hardaway Jr.,F-G,DAL,79,5,0.0,14.2,4.2,1.0,0.6,0.2,0.6,22.54,0.29
Montrezl Harrell,C-F,LAL,82,5,0.0,12.2,6.4,0.6,0.6,0.8,0.8,24.18,0.29
Marcus Morris Sr.,F,LAC,78,4,0.0,15.0,5.0,0.75,0.5,0.0,1.25,22.38,0.29
Alex Caruso,G,LAL,74,5,0.0,7.6,3.2,3.2,1.4,0.6,1.8,20.44,0.28
Nicolas Batum,F-G,LAC,77,5,0.0,5.0,6.6,3.0,1.2,0.6,1.0,21.82,0.28
Taurean Prince,F,CLE,73,4,0.0,11.0,4.0,2.0,0.25,0.5,0.75,20.3,0.28
Ivica Zubac,C,LAC,79,5,0.0,9.0,8.0,1.0,0.2,0.8,1.0,22.1,0.28
Josh Jackson,F-G,DET,76,5,0.0,11.4,3.4,2.0,1.2,0.0,1.6,20.48,0.27
Nassir Little,F-G,POR,75,2,0.0,9.0,7.0,1.0,0.0,0.5,0.5,19.9,0.27
Victor Oladipo,G,MIA,81,3,0.0,10.0,3.33,4.0,1.33,0.33,3.33,21.67,0.27
