PLAYER_NAME,POSITION,TEAM,RATING,TOP_TEN,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Luka Doncic,F-G,DAL,93,1.0,29.4,8.6,8.8,1.1,0.6,4.5,55.52,0.58
Nikola Vucevic,C,CHI,87,3.0,24.5,11.2,3.6,0.9,0.7,2.0,52.14,0.53
De'Aaron Fox,G,SAC,86,2.0,26.6,3.5,6.7,1.3,0.4,3.2,46.75,0.5
Paul George,F,LAC,90,2.0,24.1,6.8,6.2,1.2,0.6,3.3,47.66,0.49
Pascal Siakam,F,TOR,84,4.0,22.8,7.0,4.4,1.1,0.6,2.1,48.8,0.49
Moses Brown,C,OKC,67,1.0,12.6,11.1,0.5,0.8,1.6,1.1,34.77,0.49
Damian Lillard,G,POR,94,2.0,27.1,4.2,7.4,0.9,0.3,3.1,47.74,0.47
Jimmy Butler,F,MIA,90,1.0,20.5,6.4,6.6,1.6,0.5,2.3,44.08,0.47
Kawhi Leonard,F,LAC,96,1.0,24.8,6.0,5.1,1.8,0.5,1.9,46.65,0.47
Bam Adebayo,C-F,MIA,88,3.0,18.4,9.4,5.0,1.0,1.2,2.6,47.18,0.47
Donovan Mitchell,G,UTA,88,2.0,25.4,4.5,5.6,1.0,0.3,2.8,44.3,0.46
Kristaps Porzingis,C-F,DAL,86,1.0,21.5,9.0,1.7,0.5,1.6,1.4,41.75,0.46
Richaun Holmes,C-F,SAC,81,2.0,15.5,9.9,1.8,0.7,1.9,1.4,40.48,0.45
Rudy Gobert,C,UTA,88,1.0,14.8,12.9,1.2,0.5,2.6,1.5,41.88,0.45
Jrue Holiday,G,MIL,86,2.0,20.5,4.4,5.2,1.7,0.5,2.1,42.08,0.44
OG Anunoby,F,TOR,78,1.0,17.6,6.2,1.9,1.9,0.9,1.8,36.49,0.44
Devin Booker,G,PHX,88,3.0,25.9,4.0,4.4,0.9,0.2,3.0,43.6,0.43
Mike Conley,G,UTA,85,2.0,18.7,4.0,6.2,1.4,0.2,2.2,39.4,0.42
Collin Sexton,G,CLE,83,0.0,24.5,3.0,4.1,1.1,0.1,2.7,35.15,0.42
Khris Middleton,F,MIL,86,0.0,19.9,5.4,5.2,1.1,0.2,2.6,35.48,0.41
Isaiah Hartenstein,C-F,CLE,74,0.0,9.7,8.3,1.9,0.8,2.2,1.4,30.11,0.41
Chris Paul,G,PHX,88,2.0,15.7,4.5,7.9,1.4,0.2,2.4,39.35,0.4
Malachi Flynn,G,TOR,71,0.0,11.4,4.7,4.4,1.5,0.4,1.8,27.54,0.39
Dennis Schroder,G,LAL,77,1.0,15.8,3.8,5.4,1.3,0.2,2.9,32.06,0.39
Tyrese Haliburton,G,SAC,83,0.0,15.7,3.9,5.2,1.4,0.6,1.9,32.28,0.39
Chris Boucher,C-F,TOR,80,1.0,14.5,7.2,1.1,0.6,1.9,0.8,33.489999999999995,0.39
Dean Wade,C-F,CLE,70,0.0,11.8,7.0,2.0,0.8,0.8,1.0,27.0,0.39
Harrison Barnes,F,SAC,80,0.0,15.9,6.3,3.7,0.7,0.2,1.6,30.11,0.38
Darius Garland,G,CLE,77,1.0,16.6,2.6,5.9,1.2,0.1,3.0,31.47,0.38
Victor Oladipo,G,MIA,81,0.0,15.5,4.4,4.4,1.2,0.3,2.2,29.68,0.37
Robert Covington,F,POR,77,1.0,9.9,7.2,1.8,1.7,1.2,1.3,30.64,0.37
Buddy Hield,G,SAC,77,0.0,16.9,4.4,2.9,0.8,0.4,1.7,28.43,0.37
Mason Plumlee,C-F,DET,80,0.0,10.2,8.9,3.3,0.9,1.0,1.9,29.63,0.37
Deandre Ayton,C,PHX,84,2.0,13.9,10.1,1.3,0.4,1.1,1.5,34.97,0.37
