PLAYER_NAME,POSITION,TEAM,RATING,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Kevin Durant,F,BKN,96,30.0,11.0,5.0,4.0,1.0,4.0,61.7,0.64
Khris Middleton,F,MIL,85,35.0,15.0,1.0,0.0,0.0,3.0,51.5,0.61
Rudy Gobert,C,UTA,88,13.0,20.0,0.0,2.0,3.0,3.0,49.0,0.56
Paul George,F,LAC,88,27.0,10.0,6.0,0.0,0.0,4.0,44.0,0.5
Giannis Antetokounmpo,F,MIL,96,33.0,14.0,2.0,0.0,0.0,5.0,47.8,0.5
Donovan Mitchell,G,UTA,88,37.0,3.0,4.0,0.0,0.0,3.0,43.6,0.5
Brook Lopez,C,MIL,79,3.0,11.0,0.0,1.0,6.0,0.0,37.2,0.47
Reggie Jackson,G,LAC,79,29.0,3.0,2.0,0.0,0.0,1.0,34.6,0.44
Bruce Brown,F-G,BKN,78,16.0,11.0,3.0,0.0,0.0,1.0,32.7,0.42
Kyrie Irving,G,BKN,91,22.0,5.0,1.0,3.0,0.0,0.0,38.5,0.42
Kawhi Leonard,F,LAC,96,21.0,4.0,5.0,2.0,0.0,3.0,36.3,0.38
Joe Ingles,F-G,UTA,82,19.0,4.0,4.0,1.0,0.0,2.0,30.799999999999997,0.38
Marcus Morris Sr.,F,LAC,79,8.0,10.0,3.0,0.0,1.0,0.0,27.5,0.35
Blake Griffin,F,BKN,77,5.0,6.0,2.0,1.0,3.0,0.0,27.2,0.35
Jordan Clarkson,G,UTA,79,24.0,1.0,2.0,0.0,0.0,2.0,26.2,0.33
Nicolas Batum,F-G,LAC,76,7.0,3.0,2.0,2.0,1.0,0.0,22.6,0.3
Bojan Bogdanovic,F,UTA,77,16.0,4.0,1.0,1.0,0.0,2.0,23.3,0.3
Jrue Holiday,G,MIL,86,9.0,4.0,5.0,1.0,0.0,2.0,22.3,0.26
Royce O'Neale,F,UTA,73,8.0,3.0,3.0,0.0,0.0,0.0,16.1,0.22
Bobby Portis,F,MIL,81,4.0,6.0,1.0,1.0,0.0,0.0,15.7,0.19
Patrick Beverley,G,LAC,78,3.0,3.0,1.0,2.0,0.0,0.0,14.1,0.18
Nicolas Claxton,C-F,BKN,76,2.0,7.0,0.0,0.0,1.0,1.0,12.4,0.16
DeMarcus Cousins,C,LAC,78,6.0,4.0,0.0,0.0,0.0,1.0,9.8,0.13
Landry Shamet,G,BKN,74,3.0,5.0,0.0,0.0,0.0,0.0,9.0,0.12
