PLAYER_NAME,POSITION,TEAM,RATING,TOP5,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Nikola Vucevic,C,CHI,87,2.0,25.7,12.0,3.9,1.0,0.8,2.1,53.25,0.57
Nikola Jokic,C,DEN,95,4.0,26.5,10.3,8.3,1.5,0.6,3.2,62.41,0.57
Russell Westbrook,G,WAS,88,7.0,21.2,9.5,10.0,1.3,0.4,4.7,62.0,0.55
Joel Embiid,C-F,PHI,95,0.0,29.3,11.1,3.1,1.1,1.4,3.1,51.67,0.54
Luka Doncic,F-G,DAL,94,0.0,27.7,8.3,8.3,1.1,0.6,4.2,51.01,0.54
Chris Boucher,C-F,TOR,80,1.0,19.8,9.6,1.5,0.8,2.6,1.1,44.67,0.53
Karl-Anthony Towns,C-F,MIN,88,5.0,24.7,10.6,4.0,0.8,1.4,3.1,56.92,0.53
Christian Wood,F,HOU,84,0.0,22.9,10.4,1.7,1.0,1.3,2.1,42.73,0.51
Zion Williamson,F,NOP,90,2.0,27.9,7.6,4.1,1.1,0.7,2.6,49.97,0.51
Jimmy Butler,F,MIA,91,0.0,21.8,6.8,7.2,2.0,0.4,2.2,45.76,0.5
Bradley Beal,G,WAS,90,0.0,29.9,4.9,5.1,1.2,0.4,3.3,44.93,0.5
Kyrie Irving,G,BKN,91,3.0,27.7,4.7,5.8,1.2,0.6,2.3,51.14,0.5
John Wall,G,HOU,82,2.0,22.1,4.1,7.2,1.3,0.7,3.5,44.32,0.49
Julius Randle,C-F,NYK,87,1.0,22.3,10.2,5.6,0.8,0.3,3.3,44.94,0.49
Kevin Durant,F,BKN,96,0.0,27.1,7.4,4.9,0.8,1.4,3.2,46.73,0.49
Bam Adebayo,C-F,MIA,88,2.0,18.6,9.3,5.3,1.0,1.3,2.6,46.01,0.48
Damian Lillard,G,POR,94,0.0,28.7,4.2,7.3,1.0,0.2,3.0,45.29,0.48
Brandon Ingram,F,NOP,85,1.0,24.1,4.9,4.8,0.7,0.7,2.4,40.98,0.46
Paul George,F,LAC,90,4.0,22.8,6.3,5.8,1.3,0.5,3.4,49.06,0.46
Jonas Valanciunas,C,MEM,83,2.0,17.7,12.6,1.9,0.7,0.8,1.9,42.27,0.46
Kristaps Porzingis,C-F,DAL,86,2.0,20.9,8.8,1.5,0.5,1.6,1.4,42.61,0.45
Jalen McDaniels,C-F,CHA,70,0.0,15.4,7.8,2.2,1.0,0.8,2.0,31.46,0.45
Terry Rozier,G,CHA,82,0.0,23.1,4.7,3.7,1.3,0.3,2.1,36.99,0.45
Ja Morant,G,MEM,85,1.0,19.9,3.8,7.6,1.0,0.2,3.2,38.26,0.43
DeMar DeRozan,F-G,SAS,87,1.0,20.6,4.2,6.7,1.0,0.3,1.9,39.69,0.43
Ben Simmons,F-G,PHI,86,0.0,14.2,7.2,7.2,1.5,0.6,3.3,36.64,0.43
Anthony Edwards,G,MIN,81,0.0,20.3,5.2,3.1,1.3,0.5,2.6,33.99,0.42
Kevin Porter Jr.,F-G,HOU,77,1.0,16.4,4.1,6.4,1.0,0.4,3.6,33.519999999999996,0.41
Dejounte Murray,G,SAS,82,0.0,15.6,6.2,5.0,1.5,0.1,1.8,33.54,0.41
Miles Bridges,F,CHA,75,0.0,14.3,7.6,2.5,0.9,1.0,2.2,30.67,0.41
D'Angelo Russell,G,MIN,83,0.0,20.0,3.0,5.1,1.1,0.4,2.7,33.05,0.4
Aaron Gordon,F,DEN,80,0.0,15.6,6.6,4.3,0.8,0.8,2.5,32.27,0.4
Michael Porter Jr.,F,DEN,84,1.0,18.0,8.4,1.0,0.7,1.1,1.2,35.78,0.4
Yuta Watanabe,F-G,TOR,72,0.0,10.3,7.8,1.9,1.7,0.7,0.8,28.91,0.4
Jusuf Nurkic,C,POR,80,0.0,11.6,9.1,3.1,1.0,1.3,2.3,31.77,0.4
Thaddeus Young,F,CHI,82,0.0,13.0,6.2,4.8,1.3,0.6,2.2,31.14,0.38
Kelly Olynyk,C-F,HOU,78,1.0,13.2,6.9,2.4,1.1,0.9,1.5,31.58,0.38
Norman Powell,"['G', 'G']",POR,82,0.0,20.6,3.7,2.1,1.4,0.2,1.9,31.09,0.38
Kyle Anderson,F-G,MEM,81,0.0,13.7,6.2,3.4,1.3,0.8,1.5,31.04,0.38
Robert Covington,F,POR,77,1.0,10.5,7.3,1.7,1.7,1.2,1.2,31.31,0.38
Derrick White,G,SAS,77,0.0,16.4,3.3,3.5,0.7,1.0,1.7,29.01,0.38
Wendell Carter Jr.,C-F,ORL,82,0.0,13.0,9.3,2.3,0.8,1.0,1.7,31.31,0.38
Moses Brown,C,OKC,77,1.0,11.3,10.2,0.3,0.8,1.4,1.2,31.39,0.38
Fred VanVleet,G,TOR,84,1.0,16.7,3.5,4.9,1.3,0.6,1.7,34.25,0.38
Ivica Zubac,C,LAC,79,0.0,11.0,9.9,1.2,0.7,1.2,1.2,29.18,0.37
Dillon Brooks,F-G,MEM,76,0.0,17.7,3.2,2.5,1.3,0.4,2.0,28.39,0.37
RJ Barrett,F-G,NYK,80,1.0,17.0,6.0,2.8,0.8,0.3,2.1,31.6,0.37
Jaden McDaniels,F,MIN,75,0.0,11.4,6.4,1.7,0.8,1.7,1.2,27.93,0.37
Isaiah Stewart,C-F,DET,78,0.0,10.1,8.6,1.2,0.8,1.5,1.2,27.92,0.36
Jakob Poeltl,C,SAS,78,1.0,8.6,8.6,1.8,0.7,1.8,1.4,29.72,0.36
Tyler Herro,G,MIA,79,1.0,15.2,4.8,3.3,0.8,0.3,1.9,29.31,0.35
Ricky Rubio,G,MIN,76,0.0,9.2,3.6,7.0,1.5,0.1,2.1,26.72,0.35
Terrence Ross,F-G,ORL,77,0.0,16.0,3.6,2.3,1.1,0.4,1.7,26.57,0.35
Jae'Sean Tate,F,HOU,78,0.0,12.5,6.3,2.2,1.2,0.7,1.4,27.66,0.35
Malachi Flynn,G,TOR,71,0.0,10.1,3.2,4.2,1.8,0.0,1.8,23.84,0.34
Khem Birch,C,TOR,76,1.0,8.7,7.6,1.5,1.0,1.0,0.9,27.17,0.33
Saddiq Bey,F,DET,77,0.0,15.4,5.3,1.6,0.8,0.1,1.1,25.76,0.33
Will Barton,G,DEN,77,0.0,12.8,4.4,3.4,0.9,0.5,1.8,25.58,0.33
Cole Anthony,G,ORL,74,0.0,11.7,4.3,4.1,0.7,0.4,2.1,24.21,0.33
Eric Bledsoe,G,NOP,77,0.0,13.6,3.6,3.9,0.8,0.3,1.7,25.37,0.33
Josh Jackson,F-G,DET,76,0.0,13.7,4.7,2.4,1.2,0.4,2.4,25.34,0.33
Goran Dragic,G,MIA,78,0.0,13.6,3.5,4.9,0.6,0.2,2.5,25.05,0.32
Hamidou Diallo,G,DET,78,0.0,12.1,5.2,2.4,1.0,0.6,1.7,25.04,0.32
Derrick Rose,G,NYK,81,0.0,12.9,2.4,4.2,1.1,0.4,1.6,24.98,0.31
Chuma Okeke,F,ORL,76,0.0,9.7,5.4,2.6,1.2,0.4,1.1,23.78,0.31
Darius Bazley,F-G,OKC,76,0.0,11.2,7.0,1.4,0.5,0.6,1.6,23.4,0.31
Keldon Johnson,F-G,SAS,80,0.0,13.1,6.0,1.6,0.6,0.5,1.2,24.8,0.31
Rui Hachimura,F,WAS,79,0.0,13.6,5.6,1.6,0.8,0.1,1.2,24.22,0.31
Luguentz Dort,G,OKC,77,1.0,14.2,3.9,1.7,1.0,0.3,1.5,25.83,0.31
Grayson Allen,G,MEM,77,0.0,13.2,4.0,2.3,1.1,0.2,1.1,24.25,0.31
Cody Zeller,C-F,CHA,79,0.0,10.0,7.4,2.0,0.9,0.4,1.0,24.78,0.31
