PLAYER_NAME,POSITION,TEAM,RATING,GP,TOP5,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Russell Westbrook,G,WAS,88,3,19.0,26.0,10.67,14.0,2.33,0.0,2.67,102.13,0.73
Jonas Valanciunas,C,MEM,83,2,4.0,26.5,14.5,2.0,0.5,0.5,1.5,56.4,0.58
Julius Randle,C-F,NYK,89,3,5.0,26.0,9.0,9.67,1.0,0.33,3.67,61.63,0.58
Dillon Brooks,F-G,MEM,76,2,2.0,24.0,4.0,4.5,0.5,1.0,0.5,43.55,0.52
Bogdan Bogdanovic,G,ATL,81,2,4.0,23.5,2.5,4.0,2.5,0.5,1.0,48.5,0.5
Rudy Gobert,C,UTA,88,3,2.0,14.67,18.0,1.33,0.67,1.67,1.0,48.27,0.5
Jordan Clarkson,G,UTA,79,3,1.0,26.67,3.0,3.0,1.0,0.0,1.67,38.1,0.46
Alec Burks,G,NYK,78,3,0.0,20.33,8.33,2.33,0.33,0.33,1.67,34.17,0.44
Trae Young,G,ATL,87,3,4.0,20.33,3.67,8.33,0.67,0.0,2.67,44.57,0.42
Tyrese Maxey,G,PHI,77,3,0.0,14.67,4.0,5.33,1.33,0.33,0.67,31.8,0.41
Clint Capela,C,ATL,86,2,5.0,15.5,12.5,0.0,1.0,1.0,1.5,45.0,0.41
Kyle Anderson,F-G,MEM,81,2,1.0,12.0,5.0,6.5,1.0,1.5,2.0,35.25,0.41
Jaren Jackson Jr.,C-F,MEM,83,2,0.0,13.0,6.5,2.0,1.5,2.0,1.5,32.8,0.4
Shake Milton,F-G,PHI,78,3,0.0,14.0,3.67,4.67,1.0,0.67,0.33,30.07,0.39
Ish Smith,G,WAS,73,3,0.0,10.33,6.0,5.33,0.67,0.33,1.0,27.53,0.38
RJ Barrett,F-G,NYK,83,3,1.0,18.33,5.67,3.67,0.33,0.33,1.67,32.97,0.37
Onyeka Okongwu,C-F,ATL,76,3,1.0,11.67,8.33,1.0,0.67,1.0,1.0,29.17,0.36
