PLAYER_NAME,POSITION,TEAM,RATING,GP,TOP5,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Nikola Vucevic,C,CHI,87,5,6.0,20.8,14.4,5.4,0.8,0.6,1.6,60.78,0.56
Kyrie Irving,G,BKN,91,4,6.0,31.75,2.75,4.5,2.0,1.25,2.0,61.55,0.54
Giannis Antetokounmpo,F,MIL,96,5,5.0,27.0,10.0,6.0,1.2,0.6,2.0,61.4,0.54
Anthony Edwards,G,MIN,81,5,4.0,26.8,6.2,4.4,0.6,1.0,2.8,50.84,0.53
Kevin Durant,F,BKN,96,5,1.0,24.0,8.0,6.2,1.0,2.2,2.6,51.9,0.52
P.J. Washington,F,CHA,80,5,2.0,16.2,8.6,2.2,2.4,1.0,1.8,42.22,0.48
Karl-Anthony Towns,C-F,MIN,88,5,6.0,24.8,7.6,4.4,1.0,0.4,3.2,53.52,0.47
Jrue Holiday,G,MIL,87,5,4.0,20.8,3.8,7.2,0.8,1.4,2.2,48.56,0.47
Terry Rozier,G,CHA,82,5,2.0,22.8,5.0,4.6,1.6,0.2,2.2,42.9,0.47
Julius Randle,C-F,NYK,87,5,4.0,21.6,10.0,5.6,0.2,0.2,3.6,47.6,0.46
Bam Adebayo,C-F,MIA,88,5,2.0,17.2,7.6,6.2,1.4,1.0,2.6,44.22,0.46
D'Angelo Russell,G,MIN,83,5,0.0,19.6,4.2,7.4,1.0,0.4,2.0,37.94,0.46
Jimmy Butler,F,MIA,91,4,2.0,21.25,5.75,6.0,2.0,0.0,2.0,45.15,0.45
Coby White,G,CHI,76,5,0.0,18.6,4.6,5.6,0.6,0.2,1.8,33.12,0.44
Chris Paul,G,PHX,88,5,2.0,17.8,3.0,8.8,1.2,0.4,2.2,41.2,0.42
Talen Horton-Tucker,G,LAL,75,3,2.0,14.33,3.0,7.67,1.67,0.0,4.0,34.43,0.41
T.J. McConnell,G,IND,78,5,0.0,14.0,4.6,4.6,2.0,0.2,2.2,30.82,0.4
Zach LaVine,F-G,CHI,88,5,2.0,26.6,3.8,2.6,0.6,0.0,2.0,38.86,0.4
LaMelo Ball,G,CHA,85,5,0.0,15.2,6.4,6.8,1.2,0.0,3.0,33.68,0.4
RJ Barrett,F-G,NYK,80,5,1.0,17.4,6.2,3.0,0.8,0.4,1.4,33.54,0.39
Donte DiVincenzo,G,MIL,77,5,0.0,15.2,5.4,3.6,1.0,0.4,1.4,29.88,0.39
Tyler Herro,G,MIA,79,4,1.0,20.25,5.75,2.25,0.25,0.0,1.5,31.78,0.38
Khris Middleton,F,MIL,85,4,1.0,19.75,5.0,4.75,0.5,0.0,1.75,34.62,0.38
Brook Lopez,C,MIL,79,5,0.0,17.0,6.4,0.4,0.2,1.4,1.0,29.08,0.37
Devonte' Graham,G,CHA,78,2,0.0,18.0,3.0,5.0,0.0,0.0,0.5,28.6,0.37
Trevor Ariza,F,MIA,73,5,0.0,11.4,5.6,1.8,1.6,0.4,0.6,26.22,0.36
Ricky Rubio,G,MIN,76,5,0.0,12.2,3.6,5.2,1.2,0.2,1.4,27.12,0.36
Devin Booker,G,PHX,89,5,3.0,23.8,5.0,3.0,0.2,0.0,2.8,38.1,0.36
Alec Burks,G,NYK,78,2,0.0,15.0,6.0,2.0,0.0,1.0,1.0,27.2,0.35
Jae Crowder,F,PHX,77,4,0.0,15.25,3.5,2.0,0.75,1.0,0.5,27.2,0.35
Justin Holiday,F-G,IND,75,5,0.0,13.4,4.0,2.2,0.2,1.4,0.4,25.9,0.35
Cameron Payne,G,PHX,77,5,0.0,15.0,2.4,3.4,1.0,0.6,0.6,27.18,0.35
Kentavious Caldwell-Pope,G,LAL,75,5,0.0,11.6,3.8,3.4,1.0,1.0,1.4,25.86,0.34
Duncan Robinson,F,MIA,75,5,0.0,14.4,4.0,2.2,1.0,0.6,1.8,25.5,0.34
Goran Dragic,G,MIA,78,5,0.0,16.6,3.2,4.2,0.4,0.0,2.2,25.74,0.33
Jarred Vanderbilt,F,MIN,75,5,0.0,7.4,7.2,0.6,1.6,1.0,0.2,24.54,0.33
Oshae Brissett,F-G,IND,67,5,3.0,10.2,4.4,0.6,1.6,0.6,0.6,28.38,0.33
Andre Drummond,C,LAL,83,5,0.0,11.0,10.6,1.8,0.2,0.8,1.8,27.62,0.33
Mikal Bridges,F,PHX,83,5,1.0,15.2,4.4,1.6,1.0,1.0,1.2,29.68,0.33
Cody Zeller,C-F,CHA,79,5,0.0,12.2,7.2,1.2,0.8,0.4,1.2,25.04,0.32
Reggie Bullock,F-G,NYK,73,5,0.0,12.6,3.6,2.4,1.2,0.2,1.0,23.72,0.32
Blake Griffin,F,BKN,78,5,0.0,13.0,4.2,3.2,0.6,0.2,0.8,24.44,0.31
Taj Gibson,F,NYK,75,5,0.0,7.0,5.6,1.0,0.6,1.8,0.2,22.22,0.3
Bobby Portis,F,MIL,81,5,0.0,12.0,7.6,0.6,0.6,0.4,0.6,24.42,0.3
Lonnie Walker IV,F-G,SAS,76,5,0.0,14.8,4.0,1.4,0.4,0.0,0.4,22.5,0.3
Thaddeus Young,F,CHI,82,5,0.0,8.2,6.0,4.4,0.8,0.8,2.4,24.4,0.3
Bruce Brown,F-G,BKN,77,5,0.0,9.0,7.0,1.4,0.2,0.8,0.2,22.3,0.29
Naz Reid,C-F,MIN,78,5,0.0,10.4,6.0,1.2,0.4,1.0,1.2,22.4,0.29
Jalen McDaniels,C-F,CHA,70,5,0.0,9.8,4.6,1.6,0.4,0.8,1.0,20.32,0.29
Kelan Martin,F,IND,69,5,0.0,10.4,5.2,0.6,0.2,0.6,0.8,19.14,0.28
Lauri Markkanen,C-F,CHI,80,5,0.0,10.2,5.0,0.8,1.0,0.6,0.6,21.6,0.27
Garrett Temple,F-G,CHI,73,5,0.0,5.2,4.4,2.2,0.8,1.0,0.4,18.78,0.26
Doug McDermott,F,IND,77,5,0.0,15.2,1.8,1.2,0.2,0.0,0.8,18.96,0.25
Nerlens Noel,C-F,NYK,78,5,0.0,5.0,5.0,0.2,1.0,2.0,0.8,19.5,0.25
Pat Connaughton,F-G,MIL,74,5,0.0,6.4,6.8,1.6,0.6,0.2,0.6,18.76,0.25
Mike James,G,BKN,71,5,0.0,8.2,2.8,3.8,0.6,0.2,1.6,18.06,0.25
Jeff Green,F,BKN,76,5,0.0,13.2,4.2,1.0,0.0,0.2,1.2,19.14,0.25
Nicolas Claxton,C-F,BKN,77,5,0.0,6.8,5.8,0.2,0.8,1.0,0.6,18.86,0.24
Bismack Biyombo,C,CHA,75,5,0.0,6.0,6.6,1.4,0.2,1.2,2.0,18.22,0.24
Keldon Johnson,F-G,SAS,80,5,0.0,12.4,3.4,1.6,0.4,0.0,1.0,19.08,0.24
Patrick Williams,F,CHI,76,5,0.0,7.2,4.2,1.2,0.8,0.8,1.6,17.24,0.23
Aaron Nesmith,F-G,BOS,70,5,0.0,7.8,4.6,1.2,0.4,0.0,0.2,16.12,0.23
Goga Bitadze,C-F,IND,73,5,0.0,4.6,2.8,1.6,0.2,1.6,0.0,15.76,0.22
Brad Wanamaker,G,CHA,72,3,0.0,5.33,2.0,3.67,1.0,0.0,1.0,15.23,0.21
Montrezl Harrell,C-F,LAL,83,4,0.0,11.75,3.0,1.25,0.25,0.0,0.25,17.73,0.21
Jaden McDaniels,F,MIN,75,3,0.0,4.67,2.67,1.33,0.67,1.33,0.33,15.53,0.21
Wesley Matthews,F-G,LAL,73,5,0.0,6.8,3.0,1.0,0.4,0.4,0.4,13.9,0.19
Frank Kaminsky,C-F,PHX,79,5,0.0,6.4,5.0,1.8,0.0,0.2,0.6,15.1,0.19
Dewayne Dedmon,C,MIA,72,5,0.0,4.8,4.2,1.6,0.6,0.2,0.8,13.84,0.19
Ben McLemore,G,LAL,72,5,0.0,8.4,2.2,0.8,0.2,0.6,0.6,14.04,0.19
Jordan McLaughlin,G,MIN,73,4,0.0,5.5,2.75,2.5,0.75,0.0,1.25,13.55,0.19
