PLAYER_NAME,POSITION,TEAM,RATING,GP,PTS,REB,AST,TOV,STL,BLK,SCR,AVG
Russell Westbrook,G,WAS,86,5,22.0,13.8,11.4,6.2,1.6,1.0,54.66,0.64
Kyrie Irving,G,BKN,91,2,35.5,6.5,5.0,2.0,2.0,0.0,52.8,0.58
James Harden,G,BKN,95,4,28.5,7.5,10.5,3.25,2.0,0.25,54.5,0.57
De'Aaron Fox,G,SAC,86,5,32.6,3.6,5.6,2.6,1.6,0.6,47.12,0.55
Donovan Mitchell,G,UTA,88,5,31.6,4.8,6.4,2.6,1.4,0.2,47.56,0.54
Zion Williamson,F,NOP,89,5,32.0,8.0,4.0,3.2,0.8,1.0,48.0,0.54
Karl-Anthony Towns,C-F,MIN,89,5,27.0,11.0,4.0,3.4,0.4,1.0,45.6,0.51
Andrew Wiggins,F-G,GSW,79,5,25.8,7.2,2.8,2.6,1.2,0.4,39.24,0.5
John Wall,G,HOU,82,5,18.0,4.2,10.2,3.0,1.6,1.0,40.54,0.49
Bam Adebayo,C-F,MIA,88,5,22.2,8.6,4.4,1.6,1.0,2.0,43.52,0.49
Kristaps Porzingis,C-F,DAL,86,4,20.75,10.75,3.0,1.5,0.5,1.75,41.15,0.48
Alec Burks,G,NYK,77,5,21.8,7.0,2.8,1.0,1.0,0.8,37.0,0.48
Moses Brown,C,OKC,67,5,12.4,14.0,0.0,1.4,1.0,1.2,32.2,0.48
Luka Doncic,F-G,DAL,93,3,30.0,6.67,5.67,4.33,0.67,0.33,44.17,0.47
Jonas Valanciunas,C,MEM,82,5,15.6,15.6,1.4,1.2,0.4,1.0,38.02,0.46
Collin Sexton,G,CLE,83,3,25.67,4.33,5.0,2.67,1.33,0.0,38.37,0.46
RJ Barrett,F-G,NYK,79,5,20.4,7.8,4.4,3.2,1.0,0.4,35.96,0.46
Nikola Vucevic,C,CHI,87,4,22.0,10.75,3.0,0.5,0.25,0.5,40.4,0.46
Pascal Siakam,F,TOR,84,5,21.8,8.0,3.8,1.8,1.0,0.6,38.5,0.46
Jayson Tatum,F-G,BOS,90,4,25.5,5.75,4.75,1.75,0.75,0.75,40.78,0.45
Rudy Gobert,C,UTA,88,5,17.0,12.0,1.0,0.6,0.0,3.6,39.5,0.45
Khris Middleton,F,MIL,86,4,23.5,7.25,4.25,3.0,0.75,0.25,37.58,0.44
Kawhi Leonard,F,LAC,96,4,23.75,5.25,4.0,1.0,3.25,0.5,42.55,0.44
Domantas Sabonis,C-F,IND,87,5,17.6,12.2,4.0,3.2,1.4,0.2,38.24,0.44
DeMar DeRozan,F-G,SAS,87,5,21.8,3.2,6.0,2.0,1.8,0.4,37.04,0.43
Paul George,F,LAC,90,5,18.8,7.2,6.8,2.0,1.2,0.4,38.84,0.43
Richaun Holmes,C-F,SAC,81,5,15.6,10.6,1.4,1.2,0.4,2.2,34.42,0.42
OG Anunoby,F,TOR,78,4,18.5,7.25,2.75,3.25,1.75,0.5,32.58,0.42
Fred VanVleet,G,TOR,85,5,22.2,3.6,4.4,1.8,1.6,0.4,35.32,0.42
Ja Morant,G,MEM,86,5,19.6,3.6,7.8,2.4,0.6,0.4,35.22,0.41
Jimmy Butler,F,MIA,90,4,18.0,9.75,5.25,2.75,1.0,0.0,36.83,0.41
Giannis Antetokounmpo,F,MIL,96,3,18.33,8.33,9.0,3.33,0.33,0.33,39.83,0.41
Larry Nance Jr.,C-F,CLE,78,5,12.4,9.0,3.8,1.4,1.6,0.6,31.9,0.41
Brandon Ingram,F,NOP,85,5,23.4,4.0,4.4,2.2,0.4,0.4,34.2,0.4
Kemba Walker,G,BOS,85,3,19.33,3.0,5.0,2.33,2.67,0.33,34.1,0.4
Jrue Holiday,G,MIL,86,4,19.75,3.75,6.0,2.5,1.25,0.5,34.25,0.4
Jaylen Brown,F-G,BOS,89,5,25.6,6.2,2.4,2.2,0.6,0.2,36.04,0.4
Anthony Edwards,G,MIN,77,5,19.0,5.4,3.2,2.2,1.0,0.2,30.48,0.4
Mason Plumlee,C-F,DET,80,5,10.8,10.8,2.8,1.8,1.4,1.2,31.36,0.39
Jordan Poole,G,GSW,72,5,20.4,2.6,3.6,1.6,0.4,0.0,28.12,0.39
Ricky Rubio,G,MIN,75,5,8.2,3.8,9.2,1.4,1.6,0.2,28.76,0.38
Robert Williams III,C-F,BOS,77,5,8.6,8.2,3.0,0.4,1.0,2.4,29.34,0.38
Dillon Brooks,F-G,MEM,76,5,20.6,3.4,2.0,1.4,0.8,0.4,28.68,0.38
Tim Hardaway Jr.,F-G,DAL,79,5,20.6,5.0,2.6,0.6,0.0,0.0,29.9,0.38
Dejounte Murray,G,SAS,83,4,12.5,6.75,6.0,1.75,1.5,0.5,31.85,0.38
