PLAYER_NAME,POSITION,TEAM,RATING,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Nikola Jokic,C,DEN,95,26.7,10.7,8.3,1.5,0.6,3.0,55.29,0.58
Trae Young,G,ATL,87,24.7,3.9,8.9,0.8,0.2,4.0,41.73,0.48
Fred VanVleet,G,TOR,85,20.8,4.3,6.5,1.8,0.6,2.1,40.81,0.48
Pascal Siakam,F,TOR,84,20.3,7.0,4.7,1.0,0.6,2.2,38.35,0.46
Clint Capela,C,ATL,86,14.0,12.7,0.9,0.7,2.1,1.3,37.69,0.44
Kyle Lowry,G,TOR,84,18.0,5.3,7.7,1.1,0.2,3.0,36.81,0.44
Kyle Kuzma,F,LAL,76,16.5,8.8,1.7,0.5,0.9,2.1,31.71,0.42
John Collins,C-F,ATL,84,18.4,8.0,1.5,0.5,1.2,1.3,34.05,0.41
Jamal Murray,G,DEN,86,21.0,4.0,4.7,1.3,0.3,2.3,35.35,0.41
Dennis Schroder,G,LAL,77,16.0,3.8,5.2,1.1,0.2,2.7,29.56,0.38
Michael Porter Jr.,F,DEN,82,16.5,7.5,0.9,0.7,1.0,1.1,30.85,0.38
Enes Kanter,C,POR,80,12.0,11.0,1.1,0.5,0.8,1.2,29.55,0.37
Montrezl Harrell,C-F,LAL,82,15.3,7.5,1.3,0.8,0.9,1.3,30.05,0.37
Will Barton,G,DEN,75,15.0,4.3,3.4,0.9,0.4,1.8,27.36,0.36
OG Anunoby,F,TOR,78,13.6,5.7,1.7,1.6,0.7,1.5,28.39,0.36
Michael Carter-Williams,G,ORL,74,10.5,5.1,4.8,0.8,0.4,2.6,24.82,0.34
Talen Horton-Tucker,G,LAL,75,11.3,4.6,3.4,1.1,0.8,2.3,25.32,0.34
Danilo Gallinari,F,ATL,79,16.1,4.8,1.8,0.8,0.3,1.3,26.56,0.34
Robert Covington,F,POR,77,8.7,6.6,1.6,1.5,1.0,1.2,25.32,0.33
Chris Boucher,C-F,TOR,80,12.1,5.6,0.9,0.5,1.5,0.6,25.57,0.32
Jusuf Nurkic,C,POR,80,9.6,7.2,2.4,0.9,1.1,1.9,25.94,0.32
Carmelo Anthony,F,POR,79,13.9,3.4,1.6,0.8,0.6,1.1,23.48,0.3
Norman Powell,"['G', 'G']",POR,81,15.1,2.4,1.5,0.9,0.2,1.4,22.13,0.27
Markieff Morris,F,LAL,74,8.4,6.0,1.6,0.4,0.4,1.2,19.2,0.26
Kevin Huerter,F-G,ATL,76,9.5,3.0,2.7,1.0,0.2,1.0,19.75,0.26
Derrick Jones Jr.,F-G,POR,76,7.6,4.4,0.9,0.8,0.9,0.7,18.63,0.25
Kentavious Caldwell-Pope,G,LAL,75,9.6,2.8,1.7,1.0,0.4,1.0,18.71,0.25
Gary Trent Jr.,F-G,TOR,78,11.7,1.9,1.2,0.6,0.1,0.6,17.28,0.22
Bogdan Bogdanovic,G,ATL,76,9.3,3.1,2.2,0.4,0.2,1.1,17.02,0.22
Marc Gasol,C,LAL,75,4.6,4.1,1.7,0.4,1.1,0.8,15.77,0.21
Paul Millsap,F,DEN,79,7.3,3.7,1.2,0.7,0.5,0.7,16.44,0.21
Alex Caruso,G,LAL,74,6.1,3.0,2.5,1.0,0.2,1.2,15.85,0.21
Chuma Okeke,F,ORL,72,5.2,3.8,2.1,0.8,0.3,0.8,15.41,0.21
Dwayne Bacon,F-G,ORL,71,7.5,2.3,1.0,0.3,0.0,0.4,12.26,0.17
JaMychal Green,C-F,DEN,77,6.4,3.8,0.5,0.5,0.3,0.7,13.41,0.17
Aron Baynes,C-F,TOR,75,4.6,3.9,0.6,0.2,0.3,0.6,11.08,0.15
Rodney Hood,F-G,TOR,73,4.9,1.9,1.1,0.5,0.1,0.8,9.83,0.13
Chasson Randle,G,ORL,71,4.1,1.5,2.0,0.2,0.1,0.8,9.0,0.13
Stanley Johnson,F-G,TOR,73,2.6,1.9,1.0,0.6,0.3,0.6,8.48,0.12
Wesley Matthews,F-G,LAL,73,3.5,1.3,0.9,0.5,0.4,0.5,8.61,0.12
Khem Birch,C,ORL,76,2.5,2.8,0.6,0.3,0.4,0.3,8.56,0.11
Tony Snell,G,ATL,73,3.4,1.3,0.8,0.2,0.2,0.2,7.16,0.1
Solomon Hill,F,ATL,70,1.7,0.8,0.4,0.2,0.1,0.3,3.86,0.06
Nathan Knight,C-F,ATL,70,2.0,1.2,0.2,0.1,0.2,0.3,4.34,0.06
Facundo Campazzo,G,DEN,74,1.4,0.4,0.7,0.2,0.1,0.2,3.63,0.05
Yuta Watanabe,F-G,TOR,72,0.5,0.5,0.1,0.1,0.1,0.1,1.75,0.02
