PLAYER_NAME,POSITION,TEAM,RATING,GP,PTS,REB,AST,TOV,STL,BLK,SCR,AVG
Nikola Jokic,C,DEN,95,3,28.33,10.33,8.0,2.67,1.67,0.67,54.73,0.58
Enes Kanter,C,POR,80,3,17.33,16.67,2.33,1.33,1.0,1.33,44.17,0.55
Pascal Siakam,F,TOR,84,3,24.67,9.67,5.0,1.67,1.0,1.0,46.1,0.55
Trae Young,G,ATL,87,3,26.0,3.67,10.67,3.67,0.33,0.33,44.07,0.51
Terry Rozier,G,CHA,82,3,25.0,3.67,7.0,0.67,0.67,0.67,41.9,0.51
Clint Capela,C,ATL,86,3,18.33,15.33,0.67,1.0,1.0,1.67,42.07,0.49
Dennis Schroder,G,LAL,77,3,17.33,4.0,8.33,4.33,3.0,0.33,36.97,0.48
John Collins,C-F,ATL,84,3,23.67,9.0,1.0,0.33,0.67,0.33,37.63,0.45
Deandre Ayton,C,PHX,84,3,19.0,11.33,1.33,1.67,0.33,1.67,36.93,0.44
OG Anunoby,F,TOR,78,2,19.0,6.5,3.0,1.0,1.5,0.5,34.3,0.44
Jamal Murray,G,DEN,86,3,21.33,3.0,7.33,1.67,1.33,0.0,36.93,0.43
CJ McCollum,G,POR,88,3,24.33,3.67,6.33,3.33,0.0,0.67,36.23,0.41
Robert Covington,F,POR,77,3,12.67,7.67,2.33,0.33,1.33,2.0,31.7,0.41
Chris Paul,G,PHX,88,3,16.67,5.0,8.0,1.0,1.33,0.0,36.33,0.41
Montrezl Harrell,C-F,LAL,82,3,20.67,8.0,1.0,2.33,1.0,0.67,32.77,0.4
Devin Booker,G,PHX,88,3,21.33,6.0,4.0,2.0,1.33,0.0,35.2,0.4
Kyle Kuzma,F,LAL,76,3,15.0,9.0,4.67,4.0,0.67,0.0,30.13,0.4
Fred VanVleet,G,TOR,85,3,22.67,4.0,2.33,2.0,1.67,0.0,32.3,0.38
Michael Porter Jr.,F,DEN,82,3,20.67,6.67,1.0,1.33,0.0,0.67,30.17,0.37
Kyle Lowry,G,TOR,84,3,12.0,4.67,7.67,2.0,0.0,1.0,29.1,0.35
Norman Powell,"['G', 'G']",POR,81,3,21.0,2.0,2.33,2.33,1.33,0.67,28.57,0.35
Gordon Hayward,F,CHA,85,3,15.33,7.67,4.0,2.67,0.33,0.33,29.2,0.34
Paul Millsap,F,DEN,79,3,9.67,5.33,3.33,0.33,1.67,1.0,26.07,0.33
Bogdan Bogdanovic,G,ATL,76,3,14.33,2.67,2.67,0.67,1.33,0.33,24.2,0.32
Khem Birch,C,ORL,76,3,7.67,6.33,2.0,0.0,1.67,0.67,22.93,0.3
Devonte' Graham,G,CHA,78,3,15.33,2.0,5.0,3.0,0.33,0.33,23.57,0.3
Jae Crowder,F,PHX,77,3,12.67,3.67,2.0,0.0,1.0,0.67,23.4,0.3
