PLAYER_NAME,POSITION,TEAM,RATING,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Giannis Antetokounmpo,F,MIL,96,28.7,11.9,5.9,1.2,1.4,3.6,56.03,0.58
Nikola Jokic,C,DEN,95,27.2,10.4,8.0,1.6,0.6,3.1,55.18,0.58
James Harden,G,BKN,95,26.8,7.6,10.5,1.2,0.7,4.3,53.07,0.56
Luka Doncic,F-G,DAL,93,28.4,8.3,8.8,1.0,0.6,4.1,52.26,0.56
Bradley Beal,G,WAS,90,31.8,5.3,5.0,1.4,0.4,3.2,47.86,0.53
Russell Westbrook,G,WAS,86,19.9,8.7,9.2,1.3,0.4,4.6,44.64,0.52
Domantas Sabonis,C-F,IND,87,21.2,10.8,6.0,1.1,0.6,3.4,44.86,0.52
Jimmy Butler,F,MIA,90,20.4,6.7,7.4,1.9,0.3,2.3,43.84,0.49
De'Aaron Fox,G,SAC,86,23.1,3.6,7.8,1.4,0.4,3.3,41.22,0.48
Stephen Curry,G,GSW,96,29.1,5.4,6.3,1.3,0.1,3.2,46.03,0.48
Zach LaVine,F-G,CHI,88,27.6,5.0,5.3,1.1,0.4,3.8,42.25,0.48
Kyrie Irving,G,BKN,91,27.0,4.8,5.8,1.1,0.5,2.4,43.86,0.48
Caris LeVert,G,IND,83,20.8,4.6,6.4,1.2,0.6,2.4,38.92,0.47
Paul George,F,LAC,90,24.7,6.2,5.6,1.2,0.6,3.4,42.54,0.47
Kawhi Leonard,F,LAC,96,26.7,6.0,4.9,1.5,0.5,2.0,45.25,0.47
Bam Adebayo,C-F,MIA,88,18.5,9.3,5.1,1.0,1.2,2.9,41.01,0.47
Khris Middleton,F,MIL,86,21.4,5.7,6.0,1.3,0.2,2.6,39.14,0.46
Jayson Tatum,F-G,BOS,90,24.2,6.8,4.0,1.3,0.6,2.5,41.56,0.46
Kenyon Martin Jr.,F,HOU,67,13.3,7.1,1.3,1.1,1.9,1.9,30.87,0.46
Dejounte Murray,G,SAS,83,16.9,6.9,5.9,1.9,0.1,2.1,37.93,0.46
Richaun Holmes,C-F,SAC,81,15.2,10.3,2.1,0.9,1.5,1.4,36.51,0.45
Ja Morant,G,MEM,86,20.8,3.8,8.1,1.2,0.2,3.2,38.51,0.45
Ben Simmons,F-G,PHI,88,15.7,7.5,7.7,1.6,0.7,3.2,39.95,0.45
Draymond Green,F,GSW,80,8.4,7.1,9.5,1.7,0.7,3.2,35.17,0.44
Malcolm Brogdon,G,IND,84,21.1,4.3,5.8,1.1,0.2,2.1,36.76,0.44
Kyle Lowry,G,TOR,84,18.3,5.2,7.1,1.2,0.2,2.8,36.59,0.44
Jerami Grant,F,DET,83,22.2,5.4,2.6,0.7,0.9,1.7,35.68,0.43
Jaylen Brown,F-G,BOS,89,23.8,5.5,3.8,1.1,0.5,2.6,38.3,0.43
Kristaps Porzingis,C-F,DAL,86,20.5,8.3,1.5,0.4,1.6,1.3,37.41,0.43
Tobias Harris,F,PHI,86,20.7,7.9,3.1,0.8,0.7,2.0,37.33,0.43
Jamal Murray,G,DEN,86,22.5,4.2,4.4,1.0,0.3,2.2,35.84,0.42
Jrue Holiday,G,MIL,86,16.2,4.7,5.5,1.9,0.6,2.0,35.59,0.41
Myles Turner,C-F,IND,81,13.3,6.6,0.9,0.9,3.0,1.3,32.97,0.41
Gordon Hayward,F,CHA,85,20.5,5.2,3.5,1.2,0.4,1.9,34.89,0.41
Chris Boucher,C-F,TOR,80,15.4,7.5,1.1,0.6,1.9,0.8,32.75,0.41
Collin Sexton,G,CLE,83,23.1,2.9,4.1,1.1,0.1,2.8,33.53,0.4
Michael Porter Jr.,F,DEN,82,16.9,7.7,1.0,1.0,1.2,1.3,32.94,0.4
Harrison Barnes,F,SAC,80,17.8,6.1,3.4,0.8,0.2,1.5,31.72,0.4
Terry Rozier,G,CHA,82,20.3,3.8,3.3,1.3,0.3,2.0,32.61,0.4
Andrew Wiggins,F-G,GSW,79,18.4,4.8,2.4,0.8,1.0,2.1,31.06,0.39
Buddy Hield,G,SAC,77,18.4,4.7,3.1,0.9,0.3,2.1,30.19,0.39
Jonas Valanciunas,C,MEM,82,15.6,10.7,1.6,0.6,0.6,2.1,32.34,0.39
Josh Jackson,F-G,DET,76,16.2,5.2,2.5,1.1,1.0,2.6,29.89,0.39
LaMelo Ball,G,CHA,85,15.2,5.3,6.1,1.5,0.3,2.7,33.41,0.39
Marcus Smart,G,BOS,80,12.3,2.9,5.7,1.8,0.5,1.7,29.53,0.37
Kemba Walker,G,BOS,85,18.6,3.6,4.5,1.1,0.3,2.1,31.77,0.37
Delon Wright,G,DET,77,11.6,4.4,4.7,1.5,0.5,1.4,28.53,0.37
Will Barton,G,DEN,75,14.3,4.7,3.6,1.1,0.4,1.8,28.04,0.37
Tyrese Haliburton,G,SAC,83,13.7,3.7,4.9,1.4,0.5,1.6,29.59,0.36
Norman Powell,"['G', 'G']",TOR,81,19.3,3.4,2.1,1.3,0.2,1.8,29.23,0.36
Mason Plumlee,C-F,DET,80,10.2,8.4,3.5,0.8,0.9,1.9,28.73,0.36
Kyle Anderson,F-G,MEM,81,13.3,5.8,3.1,1.1,0.7,1.5,28.81,0.36
Jarrett Allen,C,CLE,84,12.4,9.2,1.6,0.4,1.6,1.4,30.44,0.36
Darius Garland,G,CLE,77,15.1,2.3,5.7,1.1,0.1,2.8,27.21,0.35
Dillon Brooks,F-G,MEM,76,15.7,3.2,2.5,1.3,0.4,2.0,26.39,0.35
DeAndre Jordan,C,BKN,79,8.5,9.0,2.0,0.5,1.7,1.9,27.0,0.34
Goran Dragic,G,MIA,80,15.5,3.3,4.9,0.7,0.2,2.7,26.81,0.34
Thaddeus Young,F,CHI,80,10.9,5.3,4.2,1.3,0.5,1.9,27.06,0.34
Tyler Herro,G,MIA,80,15.4,5.4,3.3,0.6,0.4,2.3,27.53,0.34
Devonte' Graham,G,CHA,78,13.6,2.9,5.2,1.0,0.1,1.6,26.58,0.34
Keldon Johnson,F-G,SAS,80,13.9,6.2,2.1,0.7,0.5,1.4,26.69,0.33
Lauri Markkanen,C-F,CHI,83,17.9,5.7,0.9,0.7,0.4,1.7,27.69,0.33
Jakob Poeltl,C,SAS,78,6.9,7.8,1.8,0.7,1.7,1.2,24.96,0.32
