PLAYER_NAME,POSITION,TEAM,RATING,PTS,REB,AST,STL,BLK,SCR,AVG
James Harden,G,BKN,95,27.2,8.0,10.4,1.3,0.8,58.7,0.62
Russell Westbrook,G,WAS,86,21.1,9.1,9.8,1.3,0.3,51.52,0.6
Giannis Antetokounmpo,F,MIL,96,27.5,11.4,5.8,1.4,1.3,57.98,0.6
Nikola Jokic,C,DEN,95,25.9,10.0,8.2,1.6,0.6,56.8,0.6
Luka Doncic,F-G,DAL,93,28.1,7.8,8.8,1.0,0.6,55.46,0.6
Bradley Beal,G,WAS,90,31.3,5.3,5.2,1.3,0.5,50.86,0.57
Domantas Sabonis,C-F,IND,87,20.3,10.8,5.9,1.0,0.6,46.91,0.54
Ben Simmons,F-G,PHI,88,17.3,7.8,8.2,1.6,0.8,46.16,0.52
Zach LaVine,F-G,CHI,88,27.4,4.8,5.2,1.0,0.4,45.16,0.51
Kyrie Irving,G,BKN,91,26.9,4.9,5.8,1.1,0.5,46.28,0.51
Kyle Lowry,G,TOR,84,18.5,5.4,7.8,1.4,0.3,41.78,0.5
Richaun Holmes,C-F,SAC,81,16.0,11.1,2.0,0.9,1.8,40.42,0.5
Stephen Curry,G,GSW,96,27.9,5.5,6.0,1.4,0.2,48.3,0.5
Kevin Porter Jr.,F-G,HOU,75,15.3,4.4,5.7,1.8,1.1,37.83,0.5
Bam Adebayo,C-F,MIA,88,17.5,9.3,5.2,1.0,1.1,42.76,0.49
Jimmy Butler,F,MIA,90,19.3,6.3,6.7,2.0,0.4,44.11,0.49
Paul George,F,LAC,90,23.3,6.2,5.0,1.1,0.6,43.34,0.48
Kawhi Leonard,F,LAC,96,25.9,6.3,4.6,1.4,0.6,46.36,0.48
Jayson Tatum,F-G,BOS,90,23.6,6.5,3.8,1.3,0.6,42.8,0.48
Tobias Harris,F,PHI,86,21.5,7.7,3.4,0.8,0.8,40.64,0.47
Ja Morant,G,MEM,86,19.7,3.7,7.7,1.1,0.2,39.59,0.46
Khris Middleton,F,MIL,86,20.4,5.5,5.4,1.3,0.2,39.6,0.46
Dejounte Murray,G,SAS,83,16.3,6.5,5.7,1.8,0.1,38.35,0.46
Jamal Murray,G,DEN,86,22.3,4.0,4.8,1.1,0.3,38.5,0.45
Jerami Grant,F,DET,83,22.4,5.2,2.5,0.7,0.9,37.19,0.45
Kristaps Porzingis,C-F,DAL,86,20.9,7.7,1.4,0.5,1.6,38.54,0.45
Jaylen Brown,F-G,BOS,89,23.3,5.3,3.5,1.1,0.5,39.71,0.45
Malcolm Brogdon,G,IND,84,20.5,4.3,5.8,1.0,0.2,37.96,0.45
Buddy Hield,G,SAC,77,20.1,5.3,3.2,0.9,0.3,34.86,0.45
Caris LeVert,G,IND,83,18.2,4.0,5.5,1.2,0.5,36.35,0.44
Jrue Holiday,G,MIL,86,15.8,4.5,5.3,1.9,0.6,36.65,0.43
LaMelo Ball,G,CHA,85,15.3,5.5,6.1,1.6,0.3,36.75,0.43
Gordon Hayward,F,CHA,85,19.8,4.9,3.9,1.2,0.3,36.03,0.42
Michael Porter Jr.,F,DEN,82,17.3,7.8,1.1,1.0,1.1,34.61,0.42
Harrison Barnes,F,SAC,80,18.3,6.5,3.2,0.8,0.2,33.9,0.42
Collin Sexton,G,CLE,83,22.3,2.8,3.9,1.1,0.1,35.11,0.42
Kenyon Martin Jr.,F,HOU,67,11.1,6.1,1.2,1.1,1.5,28.02,0.42
Josh Jackson,F-G,DET,76,15.4,5.1,2.4,1.0,0.9,30.82,0.41
Chris Boucher,C-F,TOR,80,14.9,7.2,1.1,0.6,1.9,32.69,0.41
Myles Turner,C-F,IND,81,13.1,6.5,1.0,0.8,2.8,33.2,0.41
