PLAYER_NAME,POSITION,TEAM,RATING,GP,TOP5,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Russell Westbrook,G,WAS,88,12,11.0,21.25,13.42,12.5,1.67,0.08,4.92,78.43,0.64
Jayson Tatum,F-G,BOS,89,11,3.0,28.82,9.73,4.91,0.73,0.18,3.82,52.76,0.53
Jaylen Brown,F-G,BOS,88,9,3.0,29.11,7.33,2.67,1.44,0.67,2.56,51.69,0.52
Joel Embiid,C-F,PHI,95,11,0.0,28.64,9.45,2.55,0.73,1.36,2.73,47.35,0.5
Darius Garland,G,CLE,79,11,1.0,21.82,2.73,7.64,1.55,0.18,3.18,40.55,0.49
Jonas Valanciunas,C,MEM,83,9,2.0,20.56,11.11,2.0,0.44,1.11,1.22,44.33,0.49
DeMar DeRozan,F-G,SAS,87,10,2.0,24.3,4.4,8.3,0.5,0.2,2.2,45.93,0.48
Bradley Beal,G,WAS,90,11,0.0,31.73,4.18,3.55,1.09,0.27,2.91,43.25,0.48
Rudy Gobert,C,UTA,88,11,1.0,13.64,14.36,1.27,0.82,2.45,1.73,42.87,0.46
Ja Morant,G,MEM,85,12,2.0,21.92,5.17,7.0,1.0,0.25,3.33,43.03,0.46
Dejounte Murray,G,SAS,82,11,1.0,15.64,8.09,5.82,1.82,0.09,1.73,40.07,0.46
Jrue Holiday,G,MIL,87,11,3.0,17.18,4.73,7.09,1.64,0.73,2.0,44.58,0.44
Jusuf Nurkic,C,POR,80,10,1.0,12.1,9.8,4.1,1.0,1.3,2.1,36.81,0.44
Marcus Smart,G,BOS,80,10,0.0,16.0,4.6,5.7,1.7,0.3,1.9,34.17,0.43
CJ McCollum,G,POR,87,12,2.0,22.17,4.92,4.67,0.92,0.33,1.58,41.23,0.43
Buddy Hield,G,SAC,77,11,0.0,17.82,4.73,3.36,1.09,0.82,1.73,32.54,0.42
Chris Paul,G,PHX,88,12,1.0,16.08,4.5,8.5,1.33,0.25,1.67,39.32,0.42
Khris Middleton,F,MIL,85,11,0.0,19.55,5.73,5.36,1.18,0.09,2.18,36.1,0.42
Kevin Durant,F,BKN,96,8,1.0,24.38,5.12,5.38,0.62,0.88,3.5,41.59,0.41
Andre Drummond,C,LAL,83,10,0.0,12.7,11.4,1.7,1.7,0.9,2.3,34.43,0.41
Deandre Ayton,C,PHX,84,12,0.0,14.75,10.42,1.33,1.25,0.83,1.17,34.33,0.41
Jakob Poeltl,C,SAS,78,11,1.0,10.64,7.82,2.09,0.73,2.55,1.45,33.519999999999996,0.4
Ben Simmons,F-G,PHI,86,8,0.0,11.5,5.25,5.88,2.38,0.75,2.0,33.99,0.4
Cole Anthony,G,ORL,74,12,0.0,14.0,4.67,5.58,0.5,0.5,1.67,29.31,0.4
Damian Lillard,G,POR,94,9,0.0,23.11,3.78,6.11,0.89,0.22,2.89,37.26,0.4
Tobias Harris,F,PHI,87,8,0.0,15.5,5.75,4.0,1.25,1.0,1.5,33.65,0.39
Devin Booker,G,PHX,89,12,3.0,22.75,4.42,4.08,0.75,0.42,2.92,40.76,0.39
Dillon Brooks,F-G,MEM,76,11,0.0,18.09,3.36,2.18,0.91,0.45,1.73,27.76,0.37
Jarrett Allen,C,CLE,84,9,1.0,14.33,9.78,1.22,0.78,0.89,1.67,33.230000000000004,0.37
Jordan Clarkson,G,UTA,82,8,0.0,18.88,3.88,2.62,0.88,0.25,1.5,29.34,0.36
Wendell Carter Jr.,C-F,ORL,82,11,0.0,12.55,8.73,1.45,1.09,0.73,1.27,29.38,0.36
Kyle Anderson,F-G,MEM,81,12,0.0,10.08,6.17,3.75,1.58,0.83,0.83,29.52,0.36
Coby White,G,CHI,76,12,0.0,14.67,2.75,5.0,0.75,0.33,2.25,26.47,0.35
Mo Bamba,C,ORL,75,10,0.0,11.6,7.0,1.1,0.4,1.5,1.2,26.15,0.35
Kevin Love,C-F,CLE,80,12,0.0,13.5,7.58,2.75,0.75,0.08,1.25,27.98,0.35
Joe Ingles,F-G,UTA,81,11,1.0,14.09,3.73,5.73,0.55,0.27,1.91,29.7,0.34
Kyle Kuzma,F,LAL,77,10,0.0,13.6,4.4,2.5,0.8,0.8,1.5,25.93,0.34
Richaun Holmes,C-F,SAC,82,7,1.0,14.86,6.0,0.71,0.57,1.29,1.0,29.7,0.34
Tyrese Haliburton,G,SAC,82,12,0.0,11.67,1.75,6.08,1.67,0.25,1.67,26.98,0.33
Daniel Gafford,C-F,WAS,78,11,0.0,10.36,6.09,0.55,0.82,1.91,0.82,25.85,0.33
Robert Williams III,C-F,BOS,81,5,1.0,8.4,8.2,2.0,0.6,1.6,1.4,28.44,0.33
DeAndre Jordan,C,BKN,79,7,0.0,8.86,9.57,2.0,0.29,1.14,1.57,26.06,0.33
Enes Kanter,C,POR,81,12,1.0,10.83,10.17,1.33,0.33,0.5,0.92,28.62,0.33
Norman Powell,"['G', 'G']",POR,82,12,0.0,16.0,3.08,2.42,1.25,0.33,2.0,26.08,0.32
