PLAYER_NAME,POSITION,TEAM,RATING,TOP5,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Joel Embiid,C-F,PHI,95,0.0,29.3,10.9,3.2,1.0,1.6,3.0,51.98,0.55
Russell Westbrook,G,WAS,88,11.0,20.5,10.1,10.0,1.4,0.4,4.7,70.32,0.55
Bradley Beal,G,WAS,90,0.0,29.8,4.9,4.8,1.2,0.4,3.3,44.38,0.49
Damian Lillard,G,POR,94,0.0,28.5,4.4,7.2,0.9,0.3,3.1,45.08,0.48
Andre Drummond,C,LAL,83,0.0,16.0,12.2,2.3,1.6,1.1,2.9,39.29,0.47
Jayson Tatum,F-G,BOS,89,3.0,25.5,6.6,4.4,1.2,0.4,2.7,48.12,0.47
Kevin Durant,F,BKN,96,1.0,26.8,7.0,5.4,0.6,1.3,3.5,47.5,0.47
Jarrett Allen,C,CLE,84,1.0,15.1,11.7,1.7,0.7,2.1,1.7,40.39,0.46
Richaun Holmes,C-F,SAC,82,1.0,15.3,9.8,1.9,0.8,1.9,1.4,38.61,0.45
Rudy Gobert,C,UTA,88,1.0,14.2,13.1,1.3,0.5,2.5,1.6,41.27,0.45
DeMar DeRozan,F-G,SAS,87,2.0,20.7,4.3,6.7,1.0,0.2,2.0,41.51,0.43
Ja Morant,G,MEM,85,2.0,20.4,3.7,7.4,0.9,0.2,3.0,40.24,0.43
Tobias Harris,F,PHI,87,0.0,20.2,7.2,3.4,0.9,0.9,1.8,37.54,0.43
Jonas Valanciunas,C,MEM,83,2.0,16.8,11.8,1.8,0.5,0.8,1.7,39.86,0.43
Chris Paul,G,PHX,88,1.0,16.9,4.7,8.2,1.5,0.2,2.2,39.74,0.43
Ben Simmons,F-G,PHI,86,0.0,14.6,7.2,7.4,1.5,0.6,3.3,37.34,0.43
Dejounte Murray,G,SAS,82,1.0,15.6,6.1,5.3,1.6,0.1,1.9,36.07,0.42
Jordan Clarkson,G,UTA,82,0.0,22.8,5.4,2.6,1.1,0.1,2.3,34.48,0.42
Jaylen Brown,F-G,BOS,88,3.0,23.4,5.3,3.3,1.2,0.5,2.7,43.11,0.42
Devin Booker,G,PHX,89,3.0,24.6,4.1,4.4,0.9,0.2,3.1,42.32,0.41
Jrue Holiday,G,MIL,87,3.0,17.5,4.5,5.6,1.7,0.5,2.3,41.6,0.41
Khris Middleton,F,MIL,85,0.0,19.5,5.4,5.3,1.1,0.2,2.6,35.23,0.41
Tyrese Haliburton,G,SAC,82,0.0,15.6,3.8,5.8,1.6,0.5,1.8,33.36,0.41
Darius Garland,G,CLE,79,1.0,17.7,2.7,6.1,1.2,0.2,3.0,33.29,0.4
Evan Fournier,F-G,BOS,81,0.0,20.2,3.0,3.5,1.2,0.4,2.1,31.75,0.39
Deandre Ayton,C,PHX,84,0.0,14.2,10.3,1.3,0.5,1.2,1.5,32.11,0.38
Jakob Poeltl,C,SAS,78,1.0,10.0,9.1,1.9,0.7,1.9,1.6,31.97,0.38
Dillon Brooks,F-G,MEM,76,0.0,17.5,3.2,2.5,1.3,0.4,2.0,28.19,0.37
Thaddeus Young,F,CHI,82,0.0,13.0,6.0,4.6,1.3,0.5,2.2,30.3,0.37
Buddy Hield,G,SAC,77,0.0,16.7,4.5,2.9,0.8,0.4,1.8,28.25,0.37
John Collins,C-F,ATL,85,1.0,17.3,7.5,1.4,0.5,1.0,1.3,33.6,0.37
Kevin Love,C-F,CLE,80,0.0,15.1,8.0,2.6,0.7,0.2,1.7,29.6,0.37
Coby White,G,CHI,76,0.0,15.0,4.4,4.4,0.6,0.2,2.3,26.98,0.36
Joe Ingles,F-G,UTA,81,1.0,15.1,4.7,5.0,0.8,0.2,1.9,31.34,0.36
Wendell Carter Jr.,C-F,ORL,82,0.0,12.4,8.8,2.1,0.8,0.9,1.5,29.71,0.36
Kyle Anderson,F-G,MEM,81,0.0,12.1,5.7,3.3,1.2,0.9,1.2,28.99,0.36
Cole Anthony,G,ORL,74,0.0,12.8,4.7,4.4,0.7,0.4,2.2,26.14,0.35
Marcus Smart,G,BOS,80,0.0,12.7,3.3,5.1,1.4,0.4,1.6,28.11,0.35
Robert Covington,F,POR,77,1.0,9.3,6.6,1.6,1.4,1.1,1.1,28.02,0.34
Delon Wright,G,SAC,77,0.0,10.4,4.1,4.3,1.5,0.4,1.3,26.17,0.34
Norman Powell,"['G', 'G']",POR,82,0.0,18.6,3.1,2.0,1.1,0.2,1.7,27.52,0.34
Donta Hall,C,ORL,70,0.0,6.2,6.5,1.6,0.9,1.9,0.9,23.9,0.34
Kyle Kuzma,F,LAL,77,0.0,12.9,6.4,1.7,0.5,0.7,1.7,25.03,0.33
Chimezie Metu,C-F,SAC,73,0.0,10.2,5.7,1.5,0.6,1.2,1.5,23.19,0.32
Desmond Bane,G,MEM,74,0.0,12.9,3.8,2.1,1.1,0.2,1.2,23.31,0.32
Jusuf Nurkic,C,POR,80,1.0,9.1,7.4,2.8,0.9,0.9,2.0,27.58,0.32
Brook Lopez,C,MIL,79,0.0,11.7,5.2,0.8,0.6,1.5,0.8,24.64,0.31
Keldon Johnson,F-G,SAS,80,0.0,12.9,6.3,1.7,0.6,0.4,1.2,24.81,0.31
Daniel Theis,C-F,CHI,77,1.0,9.6,5.9,1.7,0.7,1.1,1.1,25.53,0.31
Raul Neto,G,WAS,75,0.0,11.1,3.4,3.1,1.5,0.1,1.3,23.33,0.31
Payton Pritchard,G,BOS,74,0.0,11.5,3.6,2.7,0.9,0.2,1.3,21.87,0.3
Davis Bertans,F,WAS,77,0.0,14.0,3.7,1.2,0.7,0.4,0.7,22.84,0.3
Donte DiVincenzo,G,MIL,77,0.0,10.1,5.1,2.9,1.1,0.2,1.4,23.07,0.3
Rui Hachimura,F,WAS,79,0.0,13.2,5.5,1.6,0.8,0.1,1.4,23.5,0.3
Rudy Gay,F-G,SAS,79,0.0,11.4,5.1,1.7,0.8,0.7,1.1,23.47,0.3
Joe Harris,F-G,BKN,79,0.0,15.0,3.8,1.8,0.7,0.2,0.9,24.06,0.3
Jeff Green,F,BKN,76,0.0,12.5,4.4,1.8,0.6,0.5,1.0,22.78,0.3
Danny Green,F-G,PHI,75,0.0,10.0,3.9,1.7,1.4,0.8,1.0,22.83,0.3
Mikal Bridges,F,PHX,83,1.0,12.4,4.2,2.0,0.9,0.7,0.8,26.44,0.29
Bobby Portis,F,MIL,81,0.0,11.1,6.4,1.1,0.8,0.4,0.9,23.13,0.29
Landry Shamet,G,BKN,71,0.0,13.0,2.7,2.0,0.8,0.1,1.1,20.84,0.29
Carmelo Anthony,F,POR,79,0.0,13.5,3.3,1.5,0.7,0.6,1.0,22.61,0.29
Garrett Temple,F-G,CHI,73,0.0,9.8,3.7,2.6,0.9,0.6,1.2,21.44,0.29
Maurice Harkless,F-G,SAC,72,0.0,8.4,4.2,1.6,1.2,0.8,1.2,20.64,0.29
De'Anthony Melton,G,MEM,77,1.0,10.5,3.2,2.8,1.2,0.4,1.2,24.14,0.29
Cedi Osman,F,CLE,73,0.0,10.2,3.3,2.6,0.9,0.2,1.2,20.16,0.28
Torrey Craig,F,PHX,75,0.0,7.5,5.7,1.2,1.1,0.7,0.9,20.64,0.28
Seth Curry,G,PHI,76,0.0,12.0,2.1,2.7,0.8,0.2,1.2,20.37,0.27
Tristan Thompson,C-F,BOS,78,0.0,8.1,8.2,1.2,0.4,0.4,1.1,21.04,0.27
Gary Harris,G,ORL,73,0.0,11.0,2.7,1.9,0.9,0.2,0.9,19.49,0.27
Montrezl Harrell,C-F,LAL,83,0.0,11.3,5.7,1.0,0.6,0.6,1.0,22.24,0.27
