PLAYER_NAME,POSITION,TEAM,RATING,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Terry Rozier,G,CHA,82,34.0,8.0,10.0,2.0,1.0,2.0,65.6,0.8
Clint Capela,C,ATL,86,25.0,24.0,0.0,2.0,3.0,1.0,67.8,0.79
Julius Randle,C-F,NYK,87,33.0,5.0,10.0,5.0,0.0,4.0,65.0,0.75
Trae Young,G,ATL,87,34.0,5.0,11.0,2.0,0.0,2.0,60.5,0.7
Chris Boucher,C-F,TOR,80,31.0,12.0,2.0,1.0,1.0,0.0,54.4,0.68
De'Aaron Fox,G,SAC,87,30.0,4.0,12.0,2.0,0.0,0.0,58.8,0.68
Luka Doncic,F-G,DAL,94,37.0,8.0,4.0,1.0,3.0,4.0,60.599999999999994,0.64
Zion Williamson,F,NOP,90,34.0,9.0,5.0,2.0,0.0,2.0,56.3,0.63
Gary Trent Jr.,F-G,TOR,78,23.0,5.0,1.0,5.0,1.0,1.0,47.5,0.61
Kevin Huerter,F-G,ATL,74,23.0,9.0,3.0,2.0,1.0,2.0,45.3,0.61
P.J. Washington,F,CHA,80,23.0,8.0,0.0,1.0,4.0,1.0,46.6,0.58
Jae'Sean Tate,F,HOU,78,14.0,7.0,6.0,1.0,3.0,0.0,43.4,0.56
Aleksej Pokusevski,C,OKC,73,8.0,7.0,5.0,0.0,6.0,1.0,40.9,0.56
Cole Anthony,G,ORL,74,16.0,4.0,9.0,1.0,2.0,4.0,39.3,0.53
Bam Adebayo,C-F,MIA,88,21.0,15.0,5.0,2.0,0.0,7.0,45.5,0.52
Christian Wood,F,HOU,84,25.0,10.0,3.0,1.0,1.0,4.0,43.5,0.52
Malcolm Brogdon,G,IND,84,29.0,3.0,8.0,0.0,1.0,4.0,43.6,0.52
Dwayne Bacon,F-G,ORL,71,22.0,3.0,2.0,3.0,0.0,1.0,36.6,0.52
Bogdan Bogdanovic,G,ATL,79,23.0,3.0,3.0,2.0,1.0,0.0,40.1,0.51
Landry Shamet,G,BKN,71,30.0,2.0,3.0,0.0,0.0,1.0,35.9,0.51
Domantas Sabonis,C-F,IND,87,18.0,14.0,5.0,2.0,0.0,4.0,44.3,0.51
Kyrie Irving,G,BKN,91,20.0,4.0,9.0,2.0,2.0,4.0,46.3,0.51
Luguentz Dort,G,OKC,77,29.0,4.0,2.0,1.0,0.0,1.0,38.8,0.5
Paul George,F,LAC,90,23.0,7.0,5.0,2.0,1.0,3.0,44.9,0.5
Goran Dragic,G,MIA,78,18.0,8.0,7.0,1.0,0.0,2.0,39.1,0.5
CJ McCollum,G,POR,87,22.0,6.0,6.0,2.0,0.0,2.0,42.2,0.49
Kevin Porter Jr.,F-G,HOU,77,22.0,3.0,7.0,1.0,0.0,3.0,36.1,0.47
Derrick Rose,G,NYK,81,23.0,3.0,5.0,1.0,1.0,2.0,38.1,0.47
Miles Bridges,F,CHA,75,19.0,5.0,3.0,0.0,2.0,1.0,34.5,0.46
Chuma Okeke,F,ORL,76,14.0,4.0,2.0,4.0,1.0,2.0,34.8,0.46
Taj Gibson,F,NYK,75,6.0,14.0,2.0,1.0,2.0,0.0,34.8,0.46
