PLAYER_NAME,POSITION,TEAM,RATING,GP,TOP5,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Russell Westbrook,G,WAS,88,10,8.0,23.2,13.7,11.9,1.1,0.2,5.2,72.19,0.64
Stephen Curry,G,GSW,96,9,0.0,38.22,6.33,4.67,0.78,0.33,3.56,52.6,0.55
Nikola Vucevic,C,CHI,87,10,2.0,22.9,10.4,3.3,1.2,1.1,1.2,50.03,0.53
Jonas Valanciunas,C,MEM,83,10,2.0,20.5,13.1,2.3,0.3,0.9,0.9,46.37,0.51
Jayson Tatum,F-G,BOS,89,10,1.0,27.9,8.3,3.7,0.9,0.3,2.9,46.11,0.5
Giannis Antetokounmpo,F,MIL,96,4,1.0,29.75,8.25,2.75,1.0,1.75,4.0,50.02,0.5
Draymond Green,F,GSW,80,9,1.0,9.56,7.33,9.11,2.67,0.89,3.67,41.02,0.49
Jrue Holiday,G,MIL,87,9,2.0,22.11,4.89,6.67,1.78,0.56,3.22,45.76,0.48
Rudy Gobert,C,UTA,88,10,1.0,13.0,14.4,1.8,0.7,2.4,1.8,42.48,0.46
Dejounte Murray,G,SAS,82,9,0.0,16.0,6.78,5.33,2.44,0.0,1.89,37.58,0.46
DeMar DeRozan,F-G,SAS,87,10,1.0,24.2,4.0,7.5,0.5,0.2,2.6,41.75,0.46
Jaylen Brown,F-G,BOS,88,9,2.0,24.67,6.67,2.0,1.33,0.78,2.44,43.56,0.45
Devin Booker,G,PHX,89,10,3.0,27.9,4.2,4.4,0.6,0.4,3.0,45.54,0.44
Collin Sexton,G,CLE,83,8,0.0,25.5,3.12,3.5,1.25,0.0,1.38,36.88,0.44
Kyle Anderson,F-G,MEM,81,10,0.0,11.8,7.4,4.5,1.7,1.3,1.0,35.43,0.44
Chris Paul,G,PHX,88,10,1.0,14.9,4.2,9.7,2.0,0.0,1.5,40.99,0.44
Deandre Ayton,C,PHX,84,10,0.0,17.2,10.0,1.1,1.2,1.3,2.0,36.35,0.43
Bradley Beal,G,WAS,90,5,0.0,28.2,3.0,5.0,0.6,0.2,3.4,38.3,0.43
Darius Garland,G,CLE,79,9,1.0,18.67,3.33,6.33,1.33,0.22,2.89,35.94,0.43
Khris Middleton,F,MIL,85,9,0.0,18.67,6.0,5.89,1.22,0.11,2.67,36.03,0.42
Andrew Wiggins,F-G,GSW,80,10,1.0,18.0,4.6,3.2,1.2,1.0,1.5,35.42,0.42
Jerami Grant,F,DET,83,6,0.0,22.67,3.83,3.5,0.5,1.0,2.17,34.85,0.42
Mike Conley,G,UTA,84,8,0.0,17.5,2.62,6.75,1.38,0.38,1.75,34.28,0.41
Jarrett Allen,C,CLE,84,2,0.0,16.0,11.0,1.5,1.0,0.5,2.5,33.45,0.4
Derrick White,G,SAS,77,10,0.0,18.3,3.0,3.2,0.8,1.1,1.3,31.1,0.4
Marcus Smart,G,BOS,80,10,0.0,14.7,3.8,6.0,1.3,0.7,2.1,32.16,0.4
Jakob Poeltl,C,SAS,78,10,1.0,10.5,8.8,2.2,0.9,1.6,1.3,32.56,0.39
Kemba Walker,G,BOS,83,9,0.0,16.22,4.67,6.56,0.67,0.11,1.67,32.32,0.39
Bobby Portis,F,MIL,81,8,0.0,13.38,9.62,1.62,0.88,0.25,1.12,29.61,0.37
Ja Morant,G,MEM,85,10,1.0,17.8,4.1,6.7,0.8,0.1,3.8,33.67,0.37
Bojan Bogdanovic,F,UTA,76,10,0.0,19.3,4.8,1.3,0.7,0.1,1.4,28.01,0.37
Dillon Brooks,F-G,MEM,76,10,0.0,19.1,2.7,2.1,0.8,0.3,1.4,27.39,0.36
Kevin Love,C-F,CLE,80,8,0.0,13.62,7.25,2.62,0.75,0.25,1.62,27.64,0.35
Isaiah Hartenstein,C-F,CLE,76,9,1.0,9.0,7.56,2.78,0.44,1.56,1.56,28.68,0.35
Daniel Gafford,C-F,WAS,78,4,0.0,11.5,5.5,0.75,1.0,1.5,1.0,25.72,0.33
Josh Jackson,F-G,DET,76,10,0.0,15.2,4.4,1.9,0.9,0.3,2.1,24.83,0.33
Mason Plumlee,C-F,DET,81,7,0.0,10.71,6.57,3.29,0.57,0.71,0.86,26.53,0.33
Thaddeus Young,F,CHI,82,10,0.0,13.3,6.0,3.6,0.4,0.5,1.6,27.0,0.33
Dean Wade,C-F,CLE,74,10,0.0,9.9,5.5,2.0,1.1,0.7,0.4,24.5,0.33
Taurean Prince,F,CLE,73,9,0.0,13.78,3.44,2.33,0.67,0.44,1.56,23.19,0.32
Brook Lopez,C,MIL,79,9,0.0,13.0,4.89,0.89,0.44,1.44,0.44,25.42,0.32
Jordan Clarkson,G,UTA,82,6,0.0,17.17,3.5,2.0,1.0,0.17,1.33,26.53,0.32
Killian Hayes,G,DET,73,6,0.0,6.5,3.5,4.33,1.83,0.83,2.17,23.03,0.32
Isaiah Stewart,C-F,DET,78,10,0.0,8.9,8.2,1.3,0.4,1.2,1.1,24.39,0.31
Talen Horton-Tucker,G,LAL,75,9,1.0,11.56,3.0,3.67,1.67,0.0,2.22,25.43,0.31
Larry Nance Jr.,C-F,CLE,77,3,0.0,8.33,5.33,2.33,2.67,0.0,2.0,24.23,0.31
Grayson Allen,G,MEM,77,9,0.0,14.56,3.0,2.67,0.67,0.22,1.11,23.71,0.31
Saddiq Bey,F,DET,77,10,0.0,13.8,3.6,1.0,1.2,0.2,1.1,22.72,0.3
Jae Crowder,F,PHX,77,10,0.0,10.4,4.4,2.3,0.8,0.8,1.1,22.83,0.3
Kentavious Caldwell-Pope,G,LAL,75,10,0.0,10.5,3.9,2.5,0.8,0.6,1.2,21.93,0.29
Desmond Bane,G,MEM,74,10,0.0,9.8,3.9,2.7,0.7,0.4,0.7,21.13,0.29
