PLAYER_NAME,POSITION,TEAM,RATING,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Jayson Tatum,F-G,BOS,90,53.0,10.0,4.0,0.0,1.0,5.0,69.0,0.77
Zach LaVine,F-G,CHI,88,50.0,8.0,5.0,0.0,0.0,3.0,64.1,0.73
Zion Williamson,F,NOP,89,37.0,15.0,8.0,0.0,0.0,2.0,65.0,0.73
Trae Young,G,ATL,87,42.0,8.0,9.0,0.0,0.0,4.0,61.099999999999994,0.7
Nikola Jokic,C,DEN,95,26.0,13.0,14.0,1.0,0.0,6.0,59.599999999999994,0.63
Russell Westbrook,G,WAS,86,19.0,14.0,14.0,1.0,0.0,6.0,53.8,0.63
Reggie Jackson,G,LAC,77,26.0,4.0,7.0,2.0,0.0,0.0,47.3,0.61
Jonas Valanciunas,C,MEM,82,20.0,14.0,2.0,1.0,3.0,2.0,49.8,0.61
Jalen McDaniels,C-F,CHA,70,19.0,6.0,5.0,1.0,2.0,1.0,41.7,0.6
Miles Bridges,F,CHA,75,26.0,7.0,4.0,0.0,2.0,2.0,44.4,0.59
Marcus Smart,G,BOS,80,24.0,6.0,8.0,2.0,0.0,2.0,47.2,0.59
Karl-Anthony Towns,C-F,MIN,89,30.0,12.0,7.0,1.0,0.0,6.0,51.9,0.58
Terance Mann,F-G,LAC,72,16.0,3.0,9.0,2.0,1.0,0.0,42.1,0.58
Derrick White,G,SAS,79,25.0,1.0,3.0,3.0,1.0,0.0,42.7,0.54
Stephen Curry,G,GSW,96,32.0,6.0,5.0,2.0,0.0,2.0,50.7,0.53
Jordan Nwora,F,MIL,70,24.0,6.0,2.0,1.0,0.0,0.0,37.2,0.53
DeMar DeRozan,F-G,SAS,87,24.0,3.0,12.0,1.0,0.0,3.0,45.6,0.52
Domantas Sabonis,C-F,IND,87,16.0,15.0,6.0,0.0,2.0,4.0,45.0,0.52
Kawhi Leonard,F,LAC,96,31.0,5.0,8.0,1.0,0.0,2.0,50.0,0.52
Andrew Wiggins,F-G,GSW,79,15.0,7.0,6.0,3.0,0.0,0.0,41.4,0.52
Kevin Porter Jr.,F-G,HOU,75,14.0,6.0,13.0,0.0,0.0,3.0,37.7,0.5
Julius Randle,C-F,NYK,87,15.0,10.0,11.0,1.0,0.0,3.0,43.5,0.5
Michael Porter Jr.,F,DEN,82,22.0,10.0,2.0,1.0,1.0,2.0,41.0,0.5
D'Angelo Russell,G,MIN,83,26.0,4.0,8.0,0.0,0.0,2.0,40.8,0.49
Anthony Edwards,G,MIN,77,24.0,5.0,5.0,1.0,0.0,3.0,37.5,0.49
Jaylen Brown,F-G,BOS,89,26.0,5.0,3.0,2.0,2.0,5.0,43.5,0.49
Dillon Brooks,F-G,MEM,76,23.0,3.0,5.0,1.0,0.0,1.0,36.1,0.48
Jakob Poeltl,C,SAS,78,13.0,10.0,5.0,1.0,1.0,1.0,37.5,0.48
Ben Simmons,F-G,PHI,88,10.0,9.0,6.0,5.0,1.0,6.0,41.8,0.48
Kemba Walker,G,BOS,85,17.0,7.0,9.0,2.0,0.0,4.0,40.9,0.48
Clint Capela,C,ATL,86,22.0,10.0,1.0,0.0,2.0,1.0,40.5,0.47
Nikola Vucevic,C,CHI,87,25.0,10.0,2.0,1.0,0.0,3.0,40.0,0.46
Josh Okogie,G,MIN,73,16.0,3.0,1.0,4.0,0.0,0.0,33.1,0.45
Kyle Anderson,F-G,MEM,81,15.0,6.0,5.0,2.0,1.0,2.0,36.7,0.45
Ja Morant,G,MEM,86,26.0,4.0,6.0,0.0,1.0,4.0,38.8,0.45
Jeff Teague,G,MIL,74,19.0,2.0,6.0,1.0,0.0,0.0,33.4,0.45
Kelly Oubre Jr.,F-G,GSW,79,23.0,6.0,2.0,1.0,0.0,1.0,35.2,0.45
Christian Wood,F,HOU,85,23.0,3.0,2.0,0.0,3.0,0.0,38.6,0.45
Cody Zeller,C-F,CHA,79,10.0,12.0,3.0,0.0,3.0,2.0,35.9,0.45
Derrick Rose,G,NYK,81,19.0,4.0,3.0,1.0,2.0,2.0,35.3,0.44
Draymond Green,F,GSW,80,5.0,5.0,8.0,3.0,2.0,3.0,35.0,0.44
Tobias Harris,F,PHI,86,23.0,7.0,3.0,1.0,0.0,1.0,37.9,0.44
P.J. Washington,F,CHA,80,18.0,7.0,4.0,0.0,1.0,1.0,34.4,0.43
Danilo Gallinari,F,ATL,79,20.0,6.0,1.0,2.0,0.0,1.0,33.7,0.43
Robin Lopez,C,WAS,76,20.0,8.0,2.0,0.0,0.0,0.0,32.6,0.43
Mo Bamba,C,ORL,74,14.0,6.0,2.0,0.0,3.0,2.0,31.200000000000003,0.42
Alex Len,C,WAS,75,15.0,5.0,1.0,2.0,1.0,0.0,31.5,0.42
Ricky Rubio,G,MIN,75,4.0,4.0,7.0,4.0,0.0,0.0,31.3,0.42
Terrence Ross,F-G,ORL,77,24.0,4.0,1.0,0.0,1.0,2.0,31.299999999999997,0.41
T.J. McConnell,G,IND,78,8.0,2.0,9.0,2.0,1.0,1.0,31.9,0.41
