PLAYER_NAME,POSITION,TEAM,RATING,GP,TOP_TEN,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Russell Westbrook,G,WAS,86,5,4.0,20.6,14.0,13.2,1.6,1.0,5.4,67.6,0.69
Kyrie Irving,G,BKN,91,2,1.0,29.0,6.5,7.5,2.0,0.5,1.0,56.55,0.6
Nikola Jokic,C,DEN,95,5,2.0,24.4,10.2,7.4,1.2,0.8,2.8,54.94,0.54
Bam Adebayo,C-F,MIA,88,5,2.0,19.6,10.0,5.2,0.8,2.0,1.4,50.4,0.53
Trae Young,G,ATL,87,5,1.0,23.6,3.6,10.4,1.2,0.4,4.2,46.12,0.51
Terry Rozier,G,CHA,82,5,1.0,24.8,5.6,5.2,0.6,0.6,1.6,43.32,0.5
Kawhi Leonard,F,LAC,96,4,0.0,26.0,6.25,5.0,2.75,0.0,2.0,47.25,0.49
Jamal Murray,G,DEN,86,5,1.0,22.2,3.4,6.0,1.6,0.2,1.8,40.88,0.45
Clint Capela,C,ATL,86,5,0.0,16.2,14.0,0.4,0.8,1.2,0.6,39.0,0.45
Dejounte Murray,G,SAS,83,5,0.0,15.2,6.8,6.6,1.6,0.2,1.6,37.06,0.45
Andrew Wiggins,F-G,GSW,79,5,0.0,22.0,6.2,3.0,0.8,0.6,2.8,35.34,0.45
Tobias Harris,F,PHI,86,5,0.0,20.6,6.6,4.2,1.2,0.8,3.0,37.82,0.44
Brandon Ingram,F,NOP,85,5,0.0,24.6,3.4,5.4,0.6,0.4,2.2,37.58,0.44
Michael Porter Jr.,F,DEN,82,5,1.0,20.8,8.4,2.0,0.2,0.6,1.2,37.08,0.43
Collin Sexton,G,CLE,83,3,0.0,20.33,4.33,4.33,1.33,0.0,1.0,35.03,0.42
Jakob Poeltl,C,SAS,78,5,0.0,13.6,9.6,1.2,0.2,2.2,1.0,33.12,0.42
Nickeil Alexander-Walker,G,NOP,76,5,0.0,17.8,5.4,2.6,0.8,1.0,1.8,31.78,0.42
Kelly Oubre Jr.,F-G,GSW,79,5,0.0,17.4,7.4,1.8,0.6,0.8,0.2,32.98,0.42
Josh Hart,G,NOP,77,5,0.0,8.2,11.4,3.8,1.4,0.4,1.4,31.58,0.41
Jimmy Butler,F,MIA,90,4,0.0,19.75,6.5,5.0,1.0,0.5,2.25,37.3,0.41
DeMar DeRozan,F-G,SAS,87,5,0.0,20.4,3.8,5.4,1.4,0.2,3.0,34.86,0.4
Rui Hachimura,F,WAS,77,5,1.0,20.4,6.8,1.8,0.4,0.2,2.0,33.06,0.4
Gordon Hayward,F,CHA,85,5,1.0,17.4,8.0,4.2,0.6,0.2,2.6,35.1,0.39
