PLAYER_NAME,POSITION,TEAM,RATING,GP,PTS,REB,AST,TOV,STL,BLK,SCR,AVG
Zach LaVine,F-G,CHI,88,3,25.67,4.0,3.0,3.33,0.0,0.33,32.63,0.37
Khris Middleton,F,MIL,86,3,21.0,5.67,3.67,4.33,1.0,0.0,31.97,0.37
Al-Farouq Aminu,F,ORL,75,3,9.0,7.33,3.67,1.33,1.33,0.67,27.97,0.37
Nicolas Claxton,C-F,BKN,74,3,13.0,5.33,0.67,1.0,0.67,1.67,26.4,0.36
Marcus Smart,G,BOS,80,3,12.0,4.0,6.0,1.33,1.0,0.33,28.47,0.36
Danuel House Jr.,F-G,HOU,73,3,13.33,5.0,3.33,1.0,0.67,0.33,26.33,0.36
Ja Morant,G,MEM,86,3,19.0,3.33,6.33,3.67,0.33,0.33,30.83,0.36
Aleksej Pokusevski,C,OKC,71,3,8.67,8.0,2.0,1.33,0.67,1.0,24.93,0.35
Kristaps Porzingis,C-F,DAL,86,3,11.33,9.67,1.67,2.33,0.33,2.0,30.1,0.35
Mikal Bridges,F,PHX,83,3,13.0,5.0,2.33,0.67,1.67,0.67,28.83,0.35
Dejounte Murray,G,SAS,83,2,15.5,6.5,3.5,2.5,0.5,0.5,29.05,0.35
Jakob Poeltl,C,SAS,78,3,6.67,9.67,1.0,1.67,0.67,2.33,27.1,0.35
Clint Capela,C,ATL,86,3,8.67,12.67,1.0,0.0,0.33,1.33,30.37,0.35
Kemba Walker,G,BOS,85,2,15.0,3.5,5.5,1.0,1.0,0.0,29.45,0.35
Pat Connaughton,F-G,MIL,76,3,12.33,9.0,1.33,1.0,0.67,0.0,26.13,0.34
Josh Richardson,F-G,DAL,78,3,13.0,4.67,2.33,1.33,1.33,0.67,26.77,0.34
Caris LeVert,G,IND,83,3,13.33,4.0,5.0,1.0,1.33,0.0,28.63,0.34
Tomas Satoransky,F-G,CHI,75,3,9.67,2.33,6.0,2.67,1.33,1.0,25.8,0.34
Joe Harris,F-G,BKN,79,3,14.33,3.33,2.67,0.67,1.0,0.67,26.67,0.34
JaVale McGee,C-F,CLE,78,2,12.0,8.0,2.0,2.5,0.0,1.5,26.6,0.34
