PLAYER_NAME,POSITION,TEAM,RATING,GP,TOP_TEN,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
James Harden,G,BKN,95,4,2.0,33.25,9.25,11.5,1.75,0.5,4.0,68.35,0.68
De'Aaron Fox,G,SAC,86,5,2.0,34.2,3.4,5.4,2.0,1.0,2.2,57.18,0.62
Karl-Anthony Towns,C-F,MIN,89,5,3.0,28.4,11.6,4.8,0.6,1.4,2.8,58.72,0.59
Kyrie Irving,G,BKN,91,2,0.0,27.5,7.0,4.5,3.0,0.5,0.5,52.65,0.58
Kristaps Porzingis,C-F,DAL,86,4,1.0,23.0,11.0,4.0,0.75,1.75,1.0,50.7,0.57
Bam Adebayo,C-F,MIA,88,5,2.0,22.2,10.4,4.2,1.0,2.2,1.8,52.78,0.55
Richaun Holmes,C-F,SAC,81,5,2.0,18.2,12.2,1.6,0.6,2.8,0.8,48.64,0.55
Moses Brown,C,OKC,67,5,1.0,12.6,15.2,0.0,1.2,1.4,1.6,39.04,0.55
Jayson Tatum,F-G,BOS,90,4,2.0,28.25,7.0,5.0,1.25,0.75,1.5,52.65,0.54
Rudy Gobert,C,UTA,88,5,1.0,17.6,12.2,0.8,0.4,4.0,0.2,48.44,0.53
Domantas Sabonis,C-F,IND,87,5,1.0,22.0,11.4,4.4,1.6,0.2,3.4,46.28,0.51
Dennis Schroder,G,LAL,77,5,1.0,19.6,3.6,6.8,2.2,0.2,3.6,39.72,0.49
Jonas Valanciunas,C,MEM,82,5,0.0,17.8,15.6,1.4,0.4,0.6,1.6,40.02,0.49
Pascal Siakam,F,TOR,84,5,2.0,22.8,8.6,4.4,0.6,0.6,1.8,45.52,0.49
Robert Covington,F,POR,77,5,1.0,11.4,8.2,2.2,1.8,2.2,0.6,37.94,0.47
Nikola Vucevic,C,CHI,87,4,0.0,21.75,9.75,3.75,0.25,0.75,1.0,41.08,0.47
Jrue Holiday,G,MIL,86,4,0.0,20.5,3.5,7.0,2.0,0.5,3.0,39.7,0.46
Robert Williams III,C-F,BOS,77,5,1.0,9.2,8.8,3.6,1.0,2.8,0.8,37.76,0.46
OG Anunoby,F,TOR,78,4,0.0,19.0,7.0,3.0,1.0,1.0,2.5,35.4,0.45
RJ Barrett,F-G,NYK,79,5,1.0,18.6,6.8,5.0,1.0,0.4,3.2,37.26,0.45
Montrezl Harrell,C-F,LAL,82,5,0.0,20.6,9.0,0.6,1.0,1.0,1.4,36.9,0.45
Jimmy Butler,F,MIA,90,4,0.0,20.5,9.0,5.75,0.5,0.25,2.25,39.92,0.44
Anthony Edwards,G,MIN,77,5,0.0,21.4,5.4,2.0,1.4,0.2,1.6,34.08,0.44
Alec Burks,G,NYK,77,5,1.0,18.8,5.6,3.0,1.0,0.6,0.8,36.02,0.44
Julius Randle,C-F,NYK,87,4,0.0,24.0,7.5,3.0,1.5,0.0,3.5,38.5,0.44
Kemba Walker,G,BOS,85,3,0.0,22.33,2.67,5.0,2.0,0.33,3.0,37.03,0.44
Enes Kanter,C,POR,80,5,1.0,13.2,12.8,2.0,0.6,0.8,1.2,36.56,0.43
Dejounte Murray,G,SAS,83,5,0.0,14.6,7.0,6.2,1.2,0.4,1.6,35.5,0.43
Jae'Sean Tate,F,HOU,77,5,0.0,15.0,6.6,3.2,1.0,1.0,0.6,33.12,0.43
Deandre Ayton,C,PHX,84,5,0.0,16.8,12.4,1.2,0.4,1.0,1.4,36.28,0.43
