PLAYER_NAME,POSITION,TEAM,RATING,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Russell Westbrook,G,WAS,88,33.0,19.0,15.0,1.0,2.0,7.0,80.3,0.91
Domantas Sabonis,C-F,IND,87,30.0,13.0,13.0,3.0,0.0,4.0,70.1,0.81
Caris LeVert,G,IND,83,35.0,14.0,8.0,2.0,0.0,5.0,64.8,0.78
Bradley Beal,G,WAS,90,50.0,5.0,1.0,1.0,2.0,1.0,65.5,0.73
Jonas Valanciunas,C,MEM,83,18.0,21.0,1.0,1.0,4.0,2.0,57.7,0.7
Kevin Durant,F,BKN,96,33.0,11.0,7.0,2.0,2.0,5.0,63.7,0.66
Kenyon Martin Jr.,F,HOU,75,27.0,10.0,2.0,2.0,0.0,0.0,48.0,0.64
Stephen Curry,G,GSW,96,49.0,5.0,2.0,1.0,0.0,1.0,60.0,0.62
Draymond Green,F,GSW,80,15.0,5.0,13.0,2.0,0.0,2.0,44.5,0.56
Tyrese Maxey,G,PHI,76,22.0,5.0,4.0,2.0,1.0,1.0,42.0,0.55
DaQuan Jeffries,F-G,HOU,71,17.0,7.0,5.0,2.0,0.0,1.0,37.9,0.53
Facundo Campazzo,G,DEN,73,19.0,2.0,5.0,3.0,0.0,0.0,37.9,0.52
Jae'Sean Tate,F,HOU,78,13.0,8.0,10.0,1.0,0.0,1.0,39.6,0.51
Damian Lillard,G,POR,94,30.0,4.0,8.0,0.0,0.0,0.0,46.8,0.5
Juan Toscano-Anderson,F,GSW,74,12.0,9.0,5.0,2.0,1.0,3.0,36.3,0.49
CJ McCollum,G,POR,87,27.0,5.0,2.0,1.0,1.0,1.0,41.0,0.47
Jusuf Nurkic,C,POR,80,17.0,9.0,5.0,0.0,1.0,1.0,37.3,0.47
Michael Porter Jr.,F,DEN,84,28.0,4.0,2.0,2.0,0.0,2.0,39.8,0.47
Jaren Jackson Jr.,C-F,MEM,83,20.0,4.0,2.0,3.0,1.0,2.0,37.8,0.46
Jalen Harris,G,TOR,68,16.0,6.0,4.0,1.0,0.0,1.0,31.200000000000003,0.46
Rudy Gobert,C,UTA,88,13.0,14.0,1.0,1.0,3.0,4.0,39.3,0.45
Nikola Jokic,C,DEN,95,29.0,7.0,6.0,0.0,0.0,5.0,41.4,0.44
Dwight Howard,C-F,PHI,80,19.0,14.0,1.0,0.0,0.0,2.0,35.3,0.44
Georges Niang,F,UTA,73,24.0,2.0,2.0,2.0,0.0,3.0,32.4,0.44
Mason Plumlee,C-F,DET,81,12.0,6.0,5.0,1.0,2.0,1.0,34.7,0.43
Kyrie Irving,G,BKN,91,31.0,0.0,4.0,1.0,1.0,4.0,39.0,0.43
Malachi Flynn,G,TOR,71,15.0,7.0,3.0,1.0,0.0,1.0,29.9,0.42
Armoni Brooks,G,HOU,67,15.0,2.0,3.0,1.0,1.0,0.0,27.9,0.42
Joel Embiid,C-F,PHI,95,29.0,6.0,1.0,1.0,0.0,1.0,39.7,0.42
Blake Griffin,F,BKN,78,20.0,2.0,3.0,2.0,0.0,0.0,32.9,0.42
Svi Mykhailiuk,F-G,OKC,73,17.0,4.0,2.0,3.0,0.0,3.0,30.799999999999997,0.42
Jordan Clarkson,G,UTA,82,21.0,3.0,4.0,0.0,1.0,1.0,32.6,0.4
Royce O'Neale,F,UTA,75,13.0,5.0,6.0,1.0,0.0,1.0,30.0,0.4
Danny Green,F-G,PHI,75,11.0,3.0,4.0,2.0,1.0,1.0,28.6,0.38
DeMar DeRozan,F-G,SAS,87,20.0,2.0,4.0,2.0,0.0,1.0,33.4,0.38
Joe Ingles,F-G,UTA,81,14.0,6.0,7.0,1.0,0.0,4.0,30.700000000000003,0.38
Alex Len,C,WAS,76,8.0,10.0,1.0,0.0,3.0,2.0,28.5,0.38
Lonnie Walker IV,F-G,SAS,76,18.0,8.0,1.0,0.0,0.0,1.0,28.1,0.37
Gary Trent Jr.,F-G,TOR,78,18.0,6.0,1.0,1.0,0.0,1.0,28.7,0.37
Andrew Wiggins,F-G,GSW,80,18.0,3.0,4.0,0.0,1.0,1.0,29.6,0.37
Khem Birch,C,TOR,76,10.0,6.0,4.0,1.0,1.0,2.0,27.2,0.36
Tobias Harris,F,PHI,87,18.0,6.0,4.0,0.0,0.0,0.0,31.2,0.36
Bojan Bogdanovic,F,UTA,76,20.0,5.0,2.0,0.0,0.0,2.0,27.0,0.36
Rudy Gay,F-G,SAS,79,11.0,4.0,2.0,1.0,2.0,0.0,27.8,0.35
Kenrich Williams,F-G,OKC,76,13.0,5.0,5.0,1.0,0.0,3.0,26.5,0.35
Kyle Anderson,F-G,MEM,81,16.0,5.0,5.0,0.0,0.0,2.0,27.5,0.34
Austin Rivers,G,DEN,75,12.0,5.0,1.0,2.0,0.0,1.0,24.5,0.33
Saddiq Bey,F,DET,77,14.0,7.0,0.0,0.0,1.0,0.0,25.4,0.33
Ja Morant,G,MEM,85,12.0,7.0,6.0,1.0,0.0,4.0,28.4,0.33
Goga Bitadze,C-F,IND,73,7.0,2.0,2.0,1.0,3.0,0.0,24.4,0.33
Jaylen Hoard,F,OKC,69,13.0,2.0,3.0,1.0,0.0,0.0,22.9,0.33
Dillon Brooks,F-G,MEM,76,14.0,3.0,4.0,1.0,0.0,2.0,24.6,0.32
Isaiah Stewart,C-F,DET,78,9.0,6.0,0.0,1.0,2.0,1.0,24.2,0.31
Pascal Siakam,F,TOR,83,18.0,3.0,4.0,0.0,0.0,2.0,25.6,0.31
Robert Covington,F,POR,77,3.0,11.0,1.0,1.0,1.0,0.0,23.7,0.31
Darius Bazley,F-G,OKC,76,11.0,5.0,3.0,1.0,0.0,1.0,23.5,0.31
Trent Forrest,G,UTA,67,8.0,6.0,3.0,1.0,0.0,2.0,20.7,0.31
Norman Powell,"['G', 'G']",POR,82,18.0,6.0,1.0,0.0,0.0,1.0,25.7,0.31
Dejounte Murray,G,SAS,82,15.0,4.0,5.0,0.0,0.0,2.0,25.3,0.31
Desmond Bane,G,MEM,74,10.0,3.0,3.0,0.0,2.0,2.0,22.1,0.3
Rui Hachimura,F,WAS,79,13.0,6.0,1.0,0.0,1.0,1.0,23.7,0.3
Edmond Sumner,G,IND,73,13.0,2.0,1.0,2.0,0.0,2.0,20.9,0.29
Enes Kanter,C,POR,81,4.0,9.0,2.0,1.0,1.0,0.0,23.799999999999997,0.29
Frank Jackson,G,DET,72,11.0,3.0,1.0,2.0,0.0,1.0,21.1,0.29
Matisse Thybulle,F-G,PHI,74,2.0,3.0,0.0,5.0,0.0,0.0,20.6,0.28
Ish Smith,G,WAS,73,7.0,7.0,4.0,0.0,0.0,1.0,20.4,0.28
Luguentz Dort,G,OKC,77,16.0,4.0,1.0,0.0,0.0,1.0,21.3,0.28
Sekou Doumbouya,F,DET,72,12.0,4.0,1.0,1.0,0.0,1.0,20.3,0.28
Kevon Looney,F,GSW,77,3.0,12.0,1.0,0.0,1.0,0.0,21.9,0.28
Jerami Grant,F,DET,83,14.0,4.0,1.0,0.0,2.0,3.0,23.3,0.28
Jeff Green,F,BKN,76,15.0,5.0,2.0,0.0,0.0,3.0,21.0,0.28
