PLAYER_NAME,POSITION,TEAM,RATING,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Dillon Brooks,F-G,MEM,76,31.0,7.0,2.0,2.0,2.0,1.0,53.4,0.7
Trae Young,G,ATL,87,32.0,7.0,10.0,0.0,0.0,2.0,53.4,0.61
Mike Conley,G,UTA,84,22.0,6.0,11.0,0.0,2.0,2.0,49.7,0.59
Ben Simmons,F-G,PHI,86,6.0,15.0,15.0,1.0,1.0,2.0,50.5,0.59
Tobias Harris,F,PHI,87,37.0,6.0,2.0,2.0,0.0,2.0,51.2,0.59
Devin Booker,G,PHX,89,34.0,7.0,8.0,1.0,0.0,6.0,51.4,0.58
Bradley Beal,G,WAS,90,33.0,10.0,6.0,1.0,0.0,6.0,51.0,0.57
Deandre Ayton,C,PHX,85,21.0,16.0,0.0,0.0,1.0,1.0,42.2,0.5
Kyle Anderson,F-G,MEM,81,14.0,4.0,3.0,6.0,0.0,1.0,40.3,0.5
Bojan Bogdanovic,F,UTA,77,29.0,5.0,0.0,2.0,0.0,4.0,37.0,0.48
LeBron James,F-G,LAL,97,18.0,7.0,10.0,3.0,0.0,5.0,45.4,0.47
Alec Burks,G,NYK,78,27.0,3.0,4.0,0.0,0.0,1.0,35.6,0.46
Derrick Favors,F,UTA,79,12.0,11.0,0.0,0.0,4.0,1.0,36.2,0.46
Ja Morant,G,MEM,85,26.0,4.0,4.0,1.0,0.0,1.0,38.8,0.46
Russell Westbrook,G,WAS,88,16.0,5.0,14.0,0.0,1.0,6.0,40.0,0.45
Jonas Valanciunas,C,MEM,83,15.0,12.0,3.0,0.0,1.0,2.0,34.9,0.42
Joel Embiid,C-F,PHI,95,30.0,6.0,3.0,0.0,1.0,5.0,39.7,0.42
Rudy Gobert,C,UTA,88,11.0,15.0,0.0,0.0,3.0,3.0,35.0,0.4
Derrick Rose,G,NYK,82,17.0,5.0,5.0,1.0,1.0,5.0,31.5,0.38
Bogdan Bogdanovic,G,ATL,81,18.0,4.0,2.0,2.0,0.0,1.0,30.8,0.38
Seth Curry,G,PHI,76,15.0,4.0,1.0,2.0,0.0,0.0,27.3,0.36
Julius Randle,C-F,NYK,89,15.0,12.0,4.0,0.0,0.0,3.0,32.4,0.36
Anthony Davis,C-F,LAL,94,13.0,7.0,2.0,0.0,3.0,0.0,33.4,0.36
Clint Capela,C,ATL,86,9.0,13.0,0.0,0.0,2.0,0.0,30.6,0.36
RJ Barrett,F-G,NYK,83,14.0,11.0,1.0,0.0,0.0,0.0,28.7,0.35
John Collins,C-F,ATL,85,12.0,7.0,0.0,1.0,2.0,1.0,28.4,0.33
Andre Drummond,C,LAL,83,12.0,9.0,0.0,1.0,1.0,2.0,26.799999999999997,0.32
Danny Green,G,PHI,76,11.0,2.0,2.0,2.0,1.0,1.0,24.4,0.32
Taj Gibson,F,NYK,77,5.0,9.0,2.0,1.0,1.0,0.0,24.799999999999997,0.32
