PLAYER_NAME,POSITION,TEAM,RATING,GP,TOP5,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Jrue Holiday,G,MIL,86,2,6.0,20.0,4.5,12.0,0.5,2.0,1.0,61.9,0.58
Giannis Antetokounmpo,F,MIL,96,2,9.0,27.5,12.0,5.0,0.5,0.5,1.0,69.4,0.54
Rudy Gobert,C,UTA,88,3,3.0,14.67,18.0,1.33,0.67,1.67,1.0,50.27,0.5
Bruce Brown,F-G,BKN,78,3,0.0,14.0,9.0,2.67,1.33,1.33,1.0,35.8,0.46
Jordan Clarkson,G,UTA,79,3,1.0,26.67,3.0,3.0,1.0,0.0,1.67,38.1,0.46
Khris Middleton,F,MIL,85,2,1.0,21.5,5.5,6.5,1.0,0.0,3.0,39.85,0.45
Jordan Nwora,F,MIL,73,2,1.0,17.0,7.5,0.0,1.0,1.5,1.5,34.0,0.44
James Harden,G,BKN,95,2,6.0,11.5,6.0,9.0,1.5,2.0,2.0,52.7,0.43
Kyrie Irving,G,BKN,91,2,9.0,19.5,4.0,1.0,2.0,2.0,0.5,55.3,0.41
Kevin Durant,F,BKN,96,3,6.0,16.33,8.0,8.67,0.0,1.0,2.67,51.27,0.41
Jeff Teague,G,MIL,74,2,0.0,15.5,2.0,4.0,1.5,0.5,2.0,27.9,0.38
Brook Lopez,C,MIL,79,2,0.0,19.5,7.0,0.0,0.0,1.0,2.0,28.9,0.37
Mike James,G,BKN,71,3,0.0,11.33,3.33,6.0,0.67,0.0,1.33,25.0,0.35
Serge Ibaka,F,LAC,81,2,0.0,13.5,7.0,3.0,0.0,0.5,0.0,27.9,0.34
Mike Conley,G,UTA,84,2,2.0,10.5,4.0,6.0,1.5,0.0,0.5,32.3,0.34
Patrick Patterson,F,LAC,71,2,0.0,11.5,3.5,3.5,0.5,0.0,0.0,22.45,0.32
Nicolas Claxton,C-F,BKN,76,3,0.0,10.67,6.0,0.0,0.33,2.33,1.33,24.53,0.32
Rajon Rondo,G,LAC,76,2,0.0,9.0,3.5,9.0,0.5,0.0,3.5,24.7,0.32
Bojan Bogdanovic,F,UTA,77,3,1.0,17.33,4.0,2.33,0.33,0.0,3.0,25.63,0.31
Jay Scrubb,G,LAC,67,3,0.0,11.67,4.67,0.33,1.33,0.0,2.0,19.77,0.3
Landry Shamet,G,BKN,74,3,0.0,13.67,2.33,2.0,0.33,0.33,0.33,21.13,0.29
Yogi Ferrell,G,LAC,71,3,0.0,7.67,3.67,2.0,1.0,0.67,0.0,20.07,0.28
Daniel Oturu,C,LAC,71,3,0.0,6.33,5.67,1.0,1.0,1.0,1.33,19.3,0.27
Joe Ingles,F-G,UTA,82,3,1.0,9.67,3.33,5.33,0.67,0.0,2.0,23.67,0.26
DeMarcus Cousins,C,LAC,78,2,0.0,7.5,3.5,1.0,2.0,0.5,1.0,19.7,0.25
Jeff Green,F,BKN,76,3,0.0,16.0,1.0,0.0,0.33,0.33,0.33,18.87,0.25
Royce O'Neale,F,UTA,73,3,0.0,5.67,5.67,2.33,0.33,0.67,1.67,17.3,0.24
Bobby Portis,F,MIL,81,2,0.0,13.0,3.5,1.0,0.5,0.0,0.5,19.7,0.24
Georges Niang,F,UTA,73,3,0.0,10.67,2.0,1.0,1.0,0.0,0.0,17.57,0.24
Derrick Favors,F,UTA,79,3,0.0,6.67,6.0,0.33,0.33,1.0,0.33,18.03,0.23
Reggie Jackson,G,LAC,79,2,1.0,12.5,1.5,1.5,0.0,0.5,0.0,20.05,0.23
Mamadi Diakite,F,MIL,68,2,0.0,6.5,3.5,1.0,1.0,0.0,0.0,15.2,0.22
Luke Kennard,G,LAC,76,3,0.0,12.0,1.0,1.0,1.0,0.0,0.67,17.03,0.22
Blake Griffin,F,BKN,77,3,1.0,8.0,2.67,2.33,0.33,0.33,0.67,18.03,0.21
Pat Connaughton,G,MIL,73,3,0.0,7.0,3.67,0.33,1.0,0.33,0.33,15.57,0.21
Terance Mann,F-G,LAC,76,2,0.0,10.5,2.5,1.0,0.0,0.0,0.0,15.0,0.2
Patrick Beverley,G,LAC,78,2,0.0,6.5,0.0,2.0,0.5,1.5,0.0,15.5,0.2
Nicolas Batum,F-G,LAC,76,2,0.0,8.0,2.5,0.5,0.5,0.5,0.5,14.25,0.19
Marcus Morris Sr.,F,LAC,79,2,0.0,11.0,3.0,0.5,0.0,0.0,1.0,14.35,0.18
Trent Forrest,G,UTA,67,3,0.0,4.67,3.33,1.0,0.67,0.0,1.33,10.83,0.16
Tyler Johnson,G,BKN,71,3,0.0,5.0,2.67,2.0,0.0,0.0,0.67,10.53,0.15
Bryn Forbes,G,MIL,76,2,1.0,11.5,0.0,0.5,0.0,0.0,1.5,12.75,0.14
Ivica Zubac,C,LAC,79,3,0.0,3.67,3.67,0.67,0.0,0.67,1.0,10.07,0.13
Sam Merrill,G,MIL,70,2,0.0,1.0,1.5,0.5,1.5,0.0,0.0,8.05,0.12
P.J. Tucker,F,MIL,74,2,0.0,2.5,2.0,1.5,0.5,0.0,0.0,8.65,0.12
Jarrell Brantley,F,UTA,67,3,0.0,2.33,0.67,0.67,0.67,0.0,0.67,5.47,0.08
Timothe Luwawu-Cabarrot,F-G,BKN,71,3,0.0,2.33,0.67,1.0,0.33,0.0,0.33,5.3,0.07
Miye Oni,F-G,UTA,70,3,0.0,2.0,0.67,0.33,0.33,0.0,0.0,4.3,0.06
Thanasis Antetokounmpo,F,MIL,73,2,1.0,0.0,0.5,1.0,0.5,0.0,0.5,5.1,0.04
Matt Thomas,G,UTA,72,3,0.0,0.0,1.0,0.33,0.33,0.0,0.33,2.37,0.03
Alize Johnson,F,BKN,74,3,1.0,0.67,0.33,0.0,0.0,0.33,0.0,4.07,0.03
Juwan Morgan,F,UTA,70,2,0.0,1.0,0.5,0.0,0.0,0.0,0.0,1.6,0.02
Udoka Azubuike,C-F,UTA,71,3,0.0,1.33,0.0,0.0,0.0,0.0,0.0,1.33,0.02
Reggie Perry,C-F,BKN,72,3,0.0,0.0,1.33,0.0,0.0,0.0,0.33,1.27,0.02
