PLAYER_NAME,POSITION,TEAM,RATING,GP,PTS,REB,AST,TOV,STL,BLK,SCR,AVG
Giannis Antetokounmpo,F,MIL,96,15,30.73,12.87,7.2,3.87,1.67,1.53,62.71,0.65
De'Aaron Fox,G,SAC,86,15,24.6,3.4,8.73,3.33,1.53,0.27,43.85,0.51
Trae Young,G,ATL,87,15,25.8,4.33,9.33,4.6,1.0,0.13,43.8,0.5
Clint Capela,C,ATL,86,12,16.0,14.58,0.67,1.42,0.58,2.42,42.08,0.49
Tobias Harris,F,PHI,86,13,21.08,7.69,4.23,1.15,1.0,0.85,41.04,0.48
Draymond Green,F,GSW,80,13,7.77,8.08,9.77,2.92,1.62,1.08,37.27,0.47
Richaun Holmes,C-F,SAC,81,12,16.5,10.75,1.75,0.75,0.83,1.5,38.28,0.47
LaMelo Ball,G,CHA,85,15,18.87,5.8,6.33,3.4,1.87,0.4,38.73,0.46
Ben Simmons,F-G,PHI,88,11,20.0,7.27,7.18,3.55,1.18,0.45,40.86,0.46
Kawhi Leonard,F,LAC,96,11,25.18,7.45,4.64,2.18,1.36,0.18,43.54,0.45
DeMar DeRozan,F-G,SAS,87,10,19.8,3.5,8.8,1.8,1.2,0.0,39.0,0.45
Dejounte Murray,G,SAS,83,15,17.93,6.87,5.13,1.8,1.67,0.07,37.27,0.45
Terry Rozier,G,CHA,82,15,23.33,3.67,3.47,2.47,1.53,0.13,35.47,0.43
Jonas Valanciunas,C,MEM,82,15,15.2,13.53,1.47,1.73,0.6,0.53,35.31,0.43
Paul George,F,LAC,90,11,20.73,5.91,4.91,2.91,1.0,0.55,36.91,0.41
Ja Morant,G,MEM,86,15,19.4,4.07,6.8,2.73,1.0,0.07,34.95,0.41
Harrison Barnes,F,SAC,80,12,17.25,6.58,3.67,1.5,0.75,0.08,31.65,0.4
Khris Middleton,F,MIL,86,15,19.47,5.93,4.33,3.47,1.27,0.27,34.22,0.4
Buddy Hield,G,SAC,77,15,17.8,4.07,3.87,1.4,0.73,0.33,30.28,0.39
Jakob Poeltl,C,SAS,78,15,9.2,9.53,1.8,1.47,0.73,2.0,30.07,0.39
Kelly Oubre Jr.,F-G,GSW,79,13,17.08,5.46,1.15,1.08,1.31,0.69,30.28,0.38
Jordan Poole,G,GSW,72,6,20.0,1.83,2.17,0.33,0.67,0.17,27.62,0.38
John Collins,C-F,ATL,84,15,17.8,7.4,1.0,1.13,0.47,1.27,32.25,0.38
Kyle Kuzma,F,LAL,76,14,15.29,8.07,1.5,1.86,0.64,0.43,28.58,0.38
Gordon Hayward,F,CHA,85,12,15.25,5.58,4.67,2.0,1.75,0.17,32.7,0.38
P.J. Washington,F,CHA,80,13,14.62,5.69,2.54,2.31,1.15,1.08,29.64,0.37
Andrew Wiggins,F-G,GSW,79,15,17.93,4.4,2.07,2.33,1.4,0.27,28.98,0.37
Montrezl Harrell,C-F,LAL,82,15,15.73,6.67,1.27,0.73,0.67,0.8,29.3,0.36
Dennis Schroder,G,LAL,77,11,15.27,2.45,5.27,3.55,1.27,0.45,27.76,0.36
Tyrese Haliburton,G,SAC,83,11,12.27,3.45,4.82,1.27,1.55,0.55,28.65,0.35
Donte DiVincenzo,G,MIL,77,15,12.0,6.2,3.8,1.4,0.8,0.13,26.54,0.34
Danilo Gallinari,F,ATL,79,15,15.07,4.93,1.53,0.87,0.93,0.27,26.02,0.33
Brook Lopez,C,MIL,78,15,12.07,5.07,0.87,1.13,0.6,1.6,24.91,0.32
Derrick White,G,SAS,79,9,13.44,2.67,3.0,1.33,0.89,0.89,25.14,0.32
Dillon Brooks,F-G,MEM,76,12,14.83,1.92,2.17,1.42,1.33,0.42,24.22,0.32
Kyle Anderson,F-G,MEM,81,13,11.46,4.85,2.31,1.38,1.46,0.38,24.89,0.31
