PLAYER_NAME,POSITION,TEAM,RATING,GP,PTS,REB,AST,TOV,STL,BLK,SCR,AVG
De'Aaron Fox,G,SAC,86,3,37.0,3.33,5.33,2.67,2.33,0.33,51.67,0.6
Russell Westbrook,G,WAS,86,3,18.67,11.67,11.33,6.67,2.0,1.33,49.67,0.58
Zion Williamson,F,NOP,89,3,32.0,8.33,3.67,2.67,1.0,1.0,48.83,0.55
Karl-Anthony Towns,C-F,MIN,89,3,28.0,10.33,5.0,2.67,0.67,0.67,47.9,0.54
Donovan Mitchell,G,UTA,88,3,30.67,5.67,6.33,1.33,1.0,0.0,47.63,0.54
Jayson Tatum,F-G,BOS,90,2,26.0,7.0,6.0,2.0,1.0,1.5,46.4,0.52
Ja Morant,G,MEM,86,3,24.0,4.67,9.0,2.0,0.67,0.67,43.77,0.51
Moses Brown,C,OKC,67,3,12.0,14.67,0.0,1.67,1.33,1.67,33.93,0.51
John Wall,G,HOU,82,3,17.67,5.33,10.67,3.67,1.33,1.33,41.73,0.51
Richaun Holmes,C-F,SAC,81,3,19.33,11.67,1.67,0.33,0.67,2.0,40.83,0.5
Jonas Valanciunas,C,MEM,82,3,15.33,17.33,1.33,0.67,0.67,0.67,40.13,0.49
RJ Barrett,F-G,NYK,79,3,21.33,7.67,4.67,3.0,1.33,0.67,38.53,0.49
Nikola Vucevic,C,CHI,87,2,22.5,10.5,3.0,1.0,0.5,1.0,41.6,0.48
Brandon Ingram,F,NOP,85,3,26.33,4.0,5.67,2.33,0.67,0.67,39.97,0.47
Rudy Gobert,C,UTA,88,3,18.0,10.0,1.0,0.33,0.0,4.67,40.5,0.46
Khris Middleton,F,MIL,86,3,23.67,8.0,4.67,3.0,0.67,0.33,39.27,0.46
Alec Burks,G,NYK,77,3,22.33,5.0,2.33,1.0,1.67,0.33,34.83,0.45
Mason Plumlee,C-F,DET,80,3,12.33,10.0,4.0,1.67,2.0,1.0,34.67,0.43
Dillon Brooks,F-G,MEM,76,3,23.67,3.67,2.33,1.33,1.0,0.33,32.9,0.43
Luguentz Dort,G,OKC,76,2,18.5,3.0,3.0,1.0,2.0,1.5,32.6,0.43
Kemba Walker,G,BOS,85,2,22.0,2.0,5.5,3.0,3.0,0.5,36.65,0.43
Tobias Harris,F,PHI,86,3,20.67,7.67,4.33,3.0,1.33,0.67,37.37,0.43
Larry Nance Jr.,C-F,CLE,78,3,11.67,9.67,4.0,1.0,1.67,0.67,32.93,0.42
Josh Hart,G,NOP,77,3,8.0,10.67,4.33,1.0,2.33,0.33,31.63,0.41
Jaylen Brown,F-G,BOS,89,3,23.0,8.0,3.0,2.33,0.67,0.33,36.77,0.41
Jerami Grant,F,DET,83,3,24.67,3.0,2.33,3.0,0.67,1.67,33.43,0.4
Jrue Holiday,G,MIL,86,3,19.33,3.33,7.0,3.0,1.67,0.33,34.83,0.4
Robert Williams III,C-F,BOS,77,3,10.0,6.67,3.67,0.33,1.0,3.0,31.17,0.4
Al-Farouq Aminu,F,CHI,75,2,11.5,10.0,3.5,3.0,1.0,1.0,29.75,0.4
Nickeil Alexander-Walker,G,NOP,76,3,17.33,5.0,3.0,2.67,1.33,1.33,30.5,0.4
Marcus Smart,G,BOS,80,3,17.0,5.0,4.67,2.0,1.0,0.67,31.33,0.39
Jarrett Allen,C,CLE,84,3,14.33,9.67,2.0,1.33,1.0,1.67,32.93,0.39
Jae'Sean Tate,F,HOU,77,3,13.67,5.67,4.0,0.67,1.33,0.67,29.8,0.39
Ivica Zubac,C,LAC,79,3,12.0,10.0,1.0,1.0,0.67,2.67,31.17,0.39
Terance Mann,F-G,LAC,72,3,12.67,9.67,2.0,0.67,0.33,0.0,27.27,0.38
Rui Hachimura,F,WAS,77,3,17.33,8.67,1.0,1.0,0.33,0.33,29.57,0.38
Ben Simmons,F-G,PHI,88,3,15.67,7.67,6.67,5.33,1.33,0.67,33.53,0.38
Anthony Edwards,G,MIN,77,3,19.0,4.33,2.67,1.0,1.0,0.0,29.2,0.38
Paul George,F,LAC,90,3,16.33,7.33,5.0,2.33,1.0,0.33,32.97,0.37
DeMar DeRozan,F-G,SAS,87,3,23.33,3.0,3.33,2.33,1.33,0.0,32.27,0.37
Danny Green,F-G,PHI,75,3,16.67,3.33,0.67,1.0,2.0,1.67,28.0,0.37
Aleksej Pokusevski,C,OKC,71,3,11.67,7.0,3.0,2.67,0.67,1.33,25.9,0.36
